Origin Time:2023/01/12 13:15:52
Lon:120.66E
Lat:22.83N
Depth:19.6km
Mag:4.4
Stacode=SSD ,Staname=,Stalon=120.64,Stalat=22.74,Dist=  10.20,BAZ= 11.71,PGA(V)=  15.68,PGA(NS)=  30.47,PGA(EW)=  24.28,PGV(V)=   0.32,PGV(NS)=   0.72,PGV(EW)=   0.58,Int= 3,PGA(SUM)=  21.74,PGV(SUM)=   0.74
Stacode=SMG ,Staname=嚎產  ,Stalon=120.64,Stalat=22.71,Dist=  14.39,BAZ=  6.29,PGA(V)=   7.17,PGA(NS)=   9.09,PGA(EW)=   6.81,PGV(V)=   0.12,PGV(NS)=   0.16,PGV(EW)=   0.23,Int= 2,PGA(SUM)=   6.71,PGV(SUM)=   0.25
Stacode=SLG ,Staname=せ纓  ,Stalon=120.65,Stalat=22.99,Dist=  17.64,BAZ=175.38,PGA(V)=   1.78,PGA(NS)=   3.06,PGA(EW)=   3.52,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 2,PGA(SUM)=   3.66,PGV(SUM)=   0.11
Stacode=SCS ,Staname=篨  ,Stalon=120.49,Stalat=22.89,Dist=  17.98,BAZ=108.31,PGA(V)=   7.09,PGA(NS)=  14.43,PGA(EW)=  10.04,PGV(V)=   0.18,PGV(NS)=   0.45,PGV(EW)=   0.24,Int= 3,PGA(SUM)=  13.96,PGV(SUM)=   0.46
Stacode=SGL ,Staname=  ,Stalon=120.50,Stalat=22.72,Dist=  20.64,BAZ= 53.42,PGA(V)=   2.32,PGA(NS)=   4.25,PGA(EW)=   4.54,PGV(V)=   0.05,PGV(NS)=   0.15,PGV(EW)=   0.27,Int= 2,PGA(SUM)=   5.90,PGV(SUM)=   0.27
Stacode=SPT ,Staname=狥カ,Stalon=120.50,Stalat=22.68,Dist=  24.27,BAZ= 43.95,PGA(V)=   2.54,PGA(NS)=   3.77,PGA(EW)=   5.47,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.25,Int= 2,PGA(SUM)=   5.56,PGV(SUM)=   0.25
Stacode=SGS ,Staname=ヒ  ,Stalon=120.59,Stalat=23.08,Dist=  28.14,BAZ=165.36,PGA(V)=   0.48,PGA(NS)=   1.04,PGA(EW)=   0.76,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1,PGA(SUM)=   1.01,PGV(SUM)=   0.04
Stacode=SNJ ,Staname=罚标  ,Stalon=120.34,Stalat=22.75,Dist=  34.55,BAZ= 74.92,PGA(V)=   2.49,PGA(NS)=   2.12,PGA(EW)=   1.81,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1,PGA(SUM)=   2.28,PGV(SUM)=   0.10
Stacode=SHH ,Staname=穝て  ,Stalon=120.35,Stalat=23.02,Dist=  38.13,BAZ=122.86,PGA(V)=   1.09,PGA(NS)=   1.68,PGA(EW)=   1.57,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1,PGA(SUM)=   1.63,PGV(SUM)=   0.07
Stacode=SSP ,Staname=穝榜  ,Stalon=120.57,Stalat=22.48,Dist=  40.00,BAZ= 13.68,PGA(V)=   0.67,PGA(NS)=   1.39,PGA(EW)=   1.36,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1,PGA(SUM)=   1.39,PGV(SUM)=   0.08
Stacode=STYH,Staname=方  ,Stalon=120.78,Stalat=23.18,Dist=  40.15,BAZ=197.99,PGA(V)=   0.58,PGA(NS)=   0.86,PGA(EW)=   0.85,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1,PGA(SUM)=   0.81,PGV(SUM)=   0.03
