Origin Time:2023/02/07 04:20:17
Lon:121.76°E
Lat:24.27°N
Depth:22.1km
Mag:5.1
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=   4.17,BAZ=165.02,PGA(V)=  31.76,PGA(NS)=  73.60,PGA(EW)=  52.53,PGV(V)=   1.38,PGV(NS)=   3.79,PGV(EW)=   2.55,Int= 4級,PGA(SUM)=  71.44,PGV(SUM)=   4.18
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=   6.62,BAZ=161.48,PGA(V)=  24.40,PGA(NS)=  31.03,PGA(EW)=  29.76,PGV(V)=   0.67,PGV(NS)=   0.98,PGV(EW)=   1.17,Int= 4級,PGA(SUM)=  28.18,PGV(SUM)=   1.25
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  17.01,BAZ=176.24,PGA(V)=  13.76,PGA(NS)=  51.84,PGA(EW)=  60.26,PGV(V)=   0.22,PGV(NS)=   0.93,PGV(EW)=   0.90,Int= 4級,PGA(SUM)=  28.77,PGV(SUM)=   0.97
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  18.79,BAZ= 47.81,PGA(V)=  15.04,PGA(NS)=  65.35,PGA(EW)=  30.67,PGV(V)=   0.23,PGV(NS)=   1.11,PGV(EW)=   0.57,Int= 4級,PGA(SUM)=  41.56,PGV(SUM)=   1.12
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  19.18,BAZ=185.55,PGA(V)=  23.98,PGA(NS)=  20.16,PGA(EW)=  20.09,PGV(V)=   0.35,PGV(NS)=   0.89,PGV(EW)=   1.06,Int= 3級,PGA(SUM)=  20.19,PGV(SUM)=   1.16
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  26.44,BAZ= 36.69,PGA(V)=   8.12,PGA(NS)=   8.15,PGA(EW)=   4.55,PGV(V)=   0.20,PGV(NS)=   0.23,PGV(EW)=   0.15,Int= 3級,PGA(SUM)=   8.97,PGV(SUM)=   0.27
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  29.19,BAZ= 75.53,PGA(V)=  16.57,PGA(NS)=  25.46,PGA(EW)=  19.31,PGV(V)=   0.58,PGV(NS)=   0.93,PGV(EW)=   0.57,Int= 3級,PGA(SUM)=  22.22,PGV(SUM)=   0.99
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  36.18,BAZ= 24.31,PGA(V)=   2.72,PGA(NS)=   7.35,PGA(EW)=   6.60,PGV(V)=   0.14,PGV(NS)=   0.29,PGV(EW)=   0.32,Int= 2級,PGA(SUM)=   7.75,PGV(SUM)=   0.34
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  38.52,BAZ=195.26,PGA(V)=   3.86,PGA(NS)=   4.48,PGA(EW)=   9.60,PGV(V)=   0.14,PGV(NS)=   0.21,PGV(EW)=   0.35,Int= 3級,PGA(SUM)=   9.41,PGV(SUM)=   0.38
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  40.26,BAZ=173.75,PGA(V)=   3.94,PGA(NS)=   7.52,PGA(EW)=   5.41,PGV(V)=   0.12,PGV(NS)=   0.25,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   7.38,PGV(SUM)=   0.25
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  42.54,BAZ=115.40,PGA(V)=   7.00,PGA(NS)=  16.66,PGA(EW)=  14.57,PGV(V)=   0.25,PGV(NS)=   1.12,PGV(EW)=   0.76,Int= 3級,PGA(SUM)=  19.85,PGV(SUM)=   1.21
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  43.50,BAZ= 38.64,PGA(V)=   5.17,PGA(NS)=   8.71,PGA(EW)=   6.19,PGV(V)=   0.17,PGV(NS)=   0.30,PGV(EW)=   0.21,Int= 3級,PGA(SUM)=   8.18,PGV(SUM)=   0.30
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  43.94,BAZ= 21.49,PGA(V)=   4.80,PGA(NS)=  14.22,PGA(EW)=  15.01,PGV(V)=   0.26,PGV(NS)=   0.56,PGV(EW)=   0.59,Int= 3級,PGA(SUM)=  15.91,PGV(SUM)=   0.68
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  44.30,BAZ=145.55,PGA(V)=   1.02,PGA(NS)=   2.79,PGA(EW)=   2.67,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   2.75,PGV(SUM)=   0.13
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  44.64,BAZ=154.97,PGA(V)=   2.51,PGA(NS)=   8.92,PGA(EW)=   7.65,PGV(V)=   0.07,PGV(NS)=   0.18,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   7.62,PGV(SUM)=   0.18
