Origin Time:2023/02/08 18:49:59
Lon:121.55°E
Lat:23.44°N
Depth:36.7km
Mag:5.6
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  17.35,BAZ= 35.13,PGA(V)=  32.11,PGA(NS)=  81.88,PGA(EW)=  85.30,PGV(V)=   1.06,PGV(NS)=   3.06,PGV(EW)=   2.72,Int= 4級,PGA(SUM)=  72.72,PGV(SUM)=   3.07
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  23.31,BAZ=106.37,PGA(V)=   7.85,PGA(NS)=  17.33,PGA(EW)=  18.00,PGV(V)=   0.29,PGV(NS)=   0.41,PGV(EW)=   0.59,Int= 3級,PGA(SUM)=  13.75,PGV(SUM)=   0.62
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  25.83,BAZ= 65.35,PGA(V)=  11.46,PGA(NS)=  11.66,PGA(EW)=  12.69,PGV(V)=   0.29,PGV(NS)=   0.68,PGV(EW)=   0.75,Int= 3級,PGA(SUM)=  12.36,PGV(SUM)=   0.76
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  27.77,BAZ=153.51,PGA(V)=  20.63,PGA(NS)=  23.39,PGA(EW)=  27.42,PGV(V)=   0.48,PGV(NS)=   1.03,PGV(EW)=   0.94,Int= 4級,PGA(SUM)=  27.77,PGV(SUM)=   1.15
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  29.16,BAZ=179.75,PGA(V)=  17.51,PGA(NS)=  46.81,PGA(EW)=  34.20,PGV(V)=   0.51,PGV(NS)=   1.26,PGV(EW)=   1.25,Int= 4級,PGA(SUM)=  46.02,PGV(SUM)=   1.54
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  37.68,BAZ= 43.77,PGA(V)=   7.85,PGA(NS)=  21.46,PGA(EW)=  18.69,PGV(V)=   0.35,PGV(NS)=   0.66,PGV(EW)=   0.68,Int= 3級,PGA(SUM)=  21.82,PGV(SUM)=   0.85
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  38.01,BAZ=182.13,PGA(V)=  10.15,PGA(NS)=  22.47,PGA(EW)=  21.81,PGV(V)=   0.38,PGV(NS)=   0.74,PGV(EW)=   0.87,Int= 3級,PGA(SUM)=  23.21,PGV(SUM)=   0.88
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  42.15,BAZ=164.95,PGA(V)=   5.94,PGA(NS)=  16.16,PGA(EW)=  18.95,PGV(V)=   0.16,PGV(NS)=   0.48,PGV(EW)=   0.50,Int= 3級,PGA(SUM)=  13.22,PGV(SUM)=   0.53
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  42.40,BAZ= 25.09,PGA(V)=  21.58,PGA(NS)=  95.65,PGA(EW)=  64.75,PGV(V)=   0.62,PGV(NS)=   3.29,PGV(EW)=   1.58,Int= 4級,PGA(SUM)=  99.86,PGV(SUM)=   3.34
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  47.97,BAZ= 46.95,PGA(V)=   4.91,PGA(NS)=  15.78,PGA(EW)=   7.69,PGV(V)=   0.15,PGV(NS)=   0.58,PGV(EW)=   0.31,Int= 3級,PGA(SUM)=  17.03,PGV(SUM)=   0.63
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  51.12,BAZ=186.05,PGA(V)=  10.29,PGA(NS)=  26.89,PGA(EW)=  29.73,PGV(V)=   0.49,PGV(NS)=   1.09,PGV(EW)=   1.38,Int= 4級,PGA(SUM)=  30.37,PGV(SUM)=   1.54
