Origin Time:2023/04/17 16:49:04
Lon:121.67¢XE
Lat:24.37¢XN
Depth:23.0km
Mag:4.7
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist=   8.20,BAZ=301.38,PGA(V)=   9.62,PGA(NS)=  18.76,PGA(EW)=  13.33,PGV(V)=   0.16,PGV(NS)=   0.32,PGV(EW)=   0.22,Int= 3¯Å,PGA(SUM)=   8.64,PGV(SUM)=   0.32
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  10.25,BAZ=231.13,PGA(V)=  20.07,PGA(NS)=  80.17,PGA(EW)=  83.43,PGV(V)=   0.29,PGV(NS)=   1.08,PGV(EW)=   1.34,Int= 4¯Å,PGA(SUM)=  54.16,PGV(SUM)=   1.39
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  10.34,BAZ=309.08,PGA(V)=  12.36,PGA(NS)=  19.33,PGA(EW)=  15.25,PGV(V)=   0.24,PGV(NS)=   0.50,PGV(EW)=   0.38,Int= 3¯Å,PGA(SUM)=  14.72,PGV(SUM)=   0.53
Stacode=EWT ,Staname=ªZ¶ð  ,Stalon=121.78,Stalat=24.45,Dist=  13.89,BAZ=232.03,PGA(V)=  26.32,PGA(NS)=  22.95,PGA(EW)=  22.60,PGV(V)=   0.28,PGV(NS)=   0.46,PGV(EW)=   0.46,Int= 3¯Å,PGA(SUM)=  12.15,PGV(SUM)=   0.54
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  23.66,BAZ= 11.75,PGA(V)=  32.72,PGA(NS)=  43.98,PGA(EW)=  44.64,PGV(V)=   0.32,PGV(NS)=   0.99,PGV(EW)=   0.56,Int= 4¯Å,PGA(SUM)=  26.15,PGV(SUM)=   1.00
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist=  26.17,BAZ= 47.03,PGA(V)=  19.44,PGA(NS)=  31.71,PGA(EW)=  20.87,PGV(V)=   0.41,PGV(NS)=   0.55,PGV(EW)=   0.50,Int= 3¯Å,PGA(SUM)=  24.63,PGV(SUM)=   0.62
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist=  29.85,BAZ=189.07,PGA(V)=   2.07,PGA(NS)=   2.56,PGA(EW)=   2.43,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.03,PGV(SUM)=   0.14
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=  30.31,BAZ=104.73,PGA(V)=   1.28,PGA(NS)=   4.81,PGA(EW)=   4.55,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   3.87,PGV(SUM)=   0.13
Stacode=NDT ,Staname=¤j¦P  ,Stalon=121.51,Stalat=24.60,Dist=  30.50,BAZ=148.44,PGA(V)=   1.49,PGA(NS)=   2.43,PGA(EW)=   4.05,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.65,PGV(SUM)=   0.16
Stacode=ENT ,Staname=¤û°«  ,Stalon=121.57,Stalat=24.64,Dist=  31.46,BAZ=161.87,PGA(V)=   2.45,PGA(NS)=   8.79,PGA(EW)=  11.45,PGV(V)=   0.06,PGV(NS)=   0.22,PGV(EW)=   0.22,Int= 3¯Å,PGA(SUM)=  10.94,PGV(SUM)=   0.25
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  32.44,BAZ= 11.89,PGA(V)=   7.48,PGA(NS)=   5.63,PGA(EW)=   4.33,PGV(V)=   0.14,PGV(NS)=   0.17,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   5.83,PGV(SUM)=   0.17
