Origin Time:2023/05/13 01:30:21
Lon:121.47¢XE
Lat:23.21¢XN
Depth:30.3km
Mag:4.7
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  11.82,BAZ=168.53,PGA(V)=  13.97,PGA(NS)=  29.24,PGA(EW)=  29.39,PGV(V)=   0.47,PGV(NS)=   0.62,PGV(EW)=   1.05,Int= 4¯Å,PGA(SUM)=  32.82,PGV(SUM)=   1.10
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  16.33,BAZ= 39.33,PGA(V)=  16.96,PGA(NS)= 109.50,PGA(EW)=  67.40,PGV(V)=   0.45,PGV(NS)=   3.60,PGV(EW)=   1.74,Int= 4¯Å,PGA(SUM)= 110.76,PGV(SUM)=   3.94
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  18.51,BAZ= 85.53,PGA(V)=   4.29,PGA(NS)=   7.97,PGA(EW)=   8.24,PGV(V)=   0.18,PGV(NS)=   0.23,PGV(EW)=   0.38,Int= 3¯Å,PGA(SUM)=   9.13,PGV(SUM)=   0.42
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  21.83,BAZ=133.38,PGA(V)=   4.61,PGA(NS)=   3.87,PGA(EW)=   5.26,PGV(V)=   0.12,PGV(NS)=   0.21,PGV(EW)=   0.27,Int= 2¯Å,PGA(SUM)=   5.41,PGV(SUM)=   0.30
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  28.32,BAZ= 75.73,PGA(V)=   3.73,PGA(NS)=   3.98,PGA(EW)=   2.38,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   4.00,PGV(SUM)=   0.15
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  29.13,BAZ= 63.68,PGA(V)=   3.75,PGA(NS)=   5.41,PGA(EW)=   5.60,PGV(V)=   0.14,PGV(NS)=   0.36,PGV(EW)=   0.29,Int= 2¯Å,PGA(SUM)=   6.97,PGV(SUM)=   0.40
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  31.72,BAZ= 33.33,PGA(V)=  20.09,PGA(NS)=  34.95,PGA(EW)=  29.99,PGV(V)=   0.58,PGV(NS)=   0.69,PGV(EW)=   0.63,Int= 4¯Å,PGA(SUM)=  33.54,PGV(SUM)=   0.89
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  35.54,BAZ=155.48,PGA(V)=   1.10,PGA(NS)=   1.73,PGA(EW)=   2.29,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.10,PGV(SUM)=   0.11
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  46.05,BAZ= 86.59,PGA(V)=   1.64,PGA(NS)=   3.52,PGA(EW)=   3.16,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   2.58,PGV(SUM)=   0.12
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  48.88,BAZ= 46.19,PGA(V)=   1.36,PGA(NS)=   1.10,PGA(EW)=   1.63,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.49,PGV(SUM)=   0.07
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  50.84,BAZ=174.62,PGA(V)=   0.97,PGA(NS)=   1.00,PGA(EW)=   1.03,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.16,PGV(SUM)=   0.05
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  55.44,BAZ=187.78,PGA(V)=   1.46,PGA(NS)=   2.16,PGA(EW)=   1.99,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.27,PGV(SUM)=   0.09
