Origin Time:2023/06/10 17:12:33
Lon:120.64°E
Lat:22.87°N
Depth:16.0km
Mag:5.0
Stacode=SLG ,Staname=六龜  ,Stalon=120.65,Stalat=22.99,Dist=  13.47,BAZ=180.82,PGA(V)=   9.23,PGA(NS)=  18.19,PGA(EW)=  20.09,PGV(V)=   0.22,PGV(NS)=   0.70,PGV(EW)=   0.53,Int= 3級,PGA(SUM)=  18.88,PGV(SUM)=   0.70
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist=  14.11,BAZ=  1.81,PGA(V)=  27.00,PGA(NS)=  65.48,PGA(EW)=  89.00,PGV(V)=   0.72,PGV(NS)=   1.18,PGV(EW)=   1.72,Int= 4級,PGA(SUM)=  68.92,PGV(SUM)=   1.86
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist=  15.52,BAZ= 95.66,PGA(V)=  14.70,PGA(NS)=  21.01,PGA(EW)=  16.27,PGV(V)=   0.56,PGV(NS)=   0.77,PGV(EW)=   0.71,Int= 3級,PGA(SUM)=  24.05,PGV(SUM)=   0.86
Stacode=SMG ,Staname=瑪家  ,Stalon=120.64,Stalat=22.71,Dist=  18.42,BAZ=359.88,PGA(V)=  11.87,PGA(NS)=  25.48,PGA(EW)=  23.96,PGV(V)=   0.24,PGV(NS)=   0.47,PGV(EW)=   0.64,Int= 3級,PGA(SUM)=  20.69,PGV(SUM)=   0.69
Stacode=SGL ,Staname=九如  ,Stalon=120.50,Stalat=22.72,Dist=  22.21,BAZ= 42.32,PGA(V)=   4.40,PGA(NS)=   7.75,PGA(EW)=   5.56,PGV(V)=   0.13,PGV(NS)=   0.37,PGV(EW)=   0.38,Int= 2級,PGA(SUM)=   7.78,PGV(SUM)=   0.47
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist=  23.76,BAZ=166.64,PGA(V)=   2.55,PGA(NS)=   5.23,PGA(EW)=   5.06,PGV(V)=   0.16,PGV(NS)=   0.22,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   5.39,PGV(SUM)=   0.22
Stacode=SPT ,Staname=屏東市,Stalon=120.50,Stalat=22.68,Dist=  26.42,BAZ= 35.18,PGA(V)=   4.64,PGA(NS)=   6.01,PGA(EW)=   5.51,PGV(V)=   0.13,PGV(NS)=   0.35,PGV(EW)=   0.32,Int= 2級,PGA(SUM)=   6.17,PGV(SUM)=   0.37
Stacode=SNJ ,Staname=楠梓  ,Stalon=120.34,Stalat=22.75,Dist=  34.33,BAZ= 67.56,PGA(V)=   3.11,PGA(NS)=   4.22,PGA(EW)=   3.50,PGV(V)=   0.11,PGV(NS)=   0.27,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   4.40,PGV(SUM)=   0.31
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist=  34.62,BAZ=118.60,PGA(V)=   3.33,PGA(NS)=   4.32,PGA(EW)=   5.36,PGV(V)=   0.17,PGV(NS)=   0.26,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   5.56,PGV(SUM)=   0.29
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.18,Dist=  36.66,BAZ=161.12,PGA(V)=   1.94,PGA(NS)=   4.14,PGA(EW)=   3.55,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   4.79,PGV(SUM)=   0.20
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  36.84,BAZ=202.36,PGA(V)=   2.28,PGA(NS)=   4.00,PGA(EW)=   4.54,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   4.79,PGV(SUM)=   0.16
