Origin Time:2023/07/07 02:03:56
Lon:121.18¢XE
Lat:23.13¢XN
Depth:11.0km
Mag:4.9
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=   2.91,BAZ=235.67,PGA(V)=  25.21,PGA(NS)=  48.95,PGA(EW)=  49.87,PGV(V)=   0.46,PGV(NS)=   1.41,PGV(EW)=   1.13,Int= 4¯Å,PGA(SUM)=  44.32,PGV(SUM)=   1.53
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=   5.70,BAZ=318.95,PGA(V)=  35.25,PGA(NS)=  64.58,PGA(EW)=  72.45,PGV(V)=   1.95,PGV(NS)=   2.64,PGV(EW)=   3.20,Int= 4¯Å,PGA(SUM)=  81.03,PGV(SUM)=   3.77
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  13.46,BAZ=237.78,PGA(V)=  10.05,PGA(NS)=  19.61,PGA(EW)=  20.49,PGV(V)=   0.30,PGV(NS)=   0.59,PGV(EW)=   0.68,Int= 3¯Å,PGA(SUM)=  21.46,PGV(SUM)=   0.81
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  17.17,BAZ=110.03,PGA(V)=  30.19,PGA(NS)=  27.80,PGA(EW)=  30.25,PGV(V)=   0.75,PGV(NS)=   0.86,PGV(EW)=   0.68,Int= 4¯Å,PGA(SUM)=  28.69,PGV(SUM)=   1.14
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  19.91,BAZ=281.62,PGA(V)=   5.71,PGA(NS)=  17.08,PGA(EW)=  14.37,PGV(V)=   0.28,PGV(NS)=   0.87,PGV(EW)=   0.98,Int= 3¯Å,PGA(SUM)=  17.37,PGV(SUM)=   1.06
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  21.78,BAZ=325.19,PGA(V)=   4.62,PGA(NS)=   9.43,PGA(EW)=  10.83,PGV(V)=   0.16,PGV(NS)=   0.39,PGV(EW)=   0.46,Int= 3¯Å,PGA(SUM)=  10.99,PGV(SUM)=   0.46
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  25.79,BAZ= 12.10,PGA(V)=  11.33,PGA(NS)=  25.51,PGA(EW)=  25.85,PGV(V)=   0.30,PGV(NS)=   1.01,PGV(EW)=   1.34,Int= 4¯Å,PGA(SUM)=  32.17,PGV(SUM)=   1.66
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  27.43,BAZ=210.60,PGA(V)=   2.22,PGA(NS)=   3.13,PGA(EW)=   2.02,PGV(V)=   0.08,PGV(NS)=   0.15,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   3.08,PGV(SUM)=   0.21
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  34.11,BAZ=233.68,PGA(V)=   1.12,PGA(NS)=   1.56,PGA(EW)=   1.57,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   1.62,PGV(SUM)=   0.19
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  36.61,BAZ= 16.71,PGA(V)=   4.00,PGA(NS)=   5.72,PGA(EW)=   6.04,PGV(V)=   0.12,PGV(NS)=   0.19,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   5.53,PGV(SUM)=   0.26
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  41.42,BAZ= 96.96,PGA(V)=   5.64,PGA(NS)=  12.54,PGA(EW)=  11.55,PGV(V)=   0.12,PGV(NS)=   0.30,PGV(EW)=   0.29,Int= 3¯Å,PGA(SUM)=  12.81,PGV(SUM)=   0.37
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  42.38,BAZ=  3.85,PGA(V)=   0.98,PGA(NS)=   2.57,PGA(EW)=   2.17,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   3.39,PGV(SUM)=   0.16
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  43.63,BAZ=200.19,PGA(V)=   1.66,PGA(NS)=   4.53,PGA(EW)=   3.59,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.05,Int= 2¯Å,PGA(SUM)=   3.49,PGV(SUM)=   0.11
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  56.08,BAZ=137.67,PGA(V)=   0.77,PGA(NS)=   2.22,PGA(EW)=   1.34,PGV(V)=   0.05,PGV(NS)=   0.19,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.22,PGV(SUM)=   0.19
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  57.13,BAZ= 74.17,PGA(V)=   0.81,PGA(NS)=   2.60,PGA(EW)=   1.34,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.61,PGV(SUM)=   0.09
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  58.64,BAZ=101.97,PGA(V)=   1.35,PGA(NS)=   2.14,PGA(EW)=   2.29,PGV(V)=   0.10,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   2.51,PGV(SUM)=   0.17
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  58.88,BAZ=330.05,PGA(V)=   2.03,PGA(NS)=   3.71,PGA(EW)=   2.71,PGV(V)=   0.09,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   4.23,PGV(SUM)=   0.21
