Origin Time:2023/07/09 03:47:12
Lon:121.60¢XE
Lat:21.91¢XN
Depth:23.1km
Mag:5.4
Stacode=LAY ,Staname=ÄõÀ¬  ,Stalon=121.56,Stalat=22.04,Dist=  14.71,BAZ=161.91,PGA(V)=  44.92,PGA(NS)= 163.34,PGA(EW)=  82.45,PGV(V)=   1.64,PGV(NS)=   7.95,PGV(EW)=   3.50,Int= 4¯Å,PGA(SUM)= 166.09,PGV(SUM)=   8.14
Stacode=SEB ,Staname=ÃZÆq»ó,Stalon=120.86,Stalat=21.90,Dist=  77.20,BAZ= 89.17,PGA(V)=   0.97,PGA(NS)=   2.02,PGA(EW)=   1.88,PGV(V)=   0.17,PGV(NS)=   0.25,PGV(EW)=   0.27,Int= 1¯Å,PGA(SUM)=   2.03,PGV(SUM)=   0.27
Stacode=SMS ,Staname=º¡¦{  ,Stalon=120.84,Stalat=22.02,Dist=  79.94,BAZ= 98.72,PGA(V)=   1.50,PGA(NS)=   3.67,PGA(EW)=   2.65,PGV(V)=   0.16,PGV(NS)=   0.21,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   3.85,PGV(SUM)=   0.24
Stacode=TWK1,Staname=¾Á¤B  ,Stalon=120.81,Stalat=21.94,Dist=  81.53,BAZ= 92.26,PGA(V)=   0.60,PGA(NS)=   0.89,PGA(EW)=   1.03,PGV(V)=   0.09,PGV(NS)=   0.19,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.21
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  85.52,BAZ=170.77,PGA(V)=   1.46,PGA(NS)=   1.91,PGA(EW)=   1.64,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.94,PGV(SUM)=   0.18
Stacode=TAWH,Staname=¤jªZ  ,Stalon=120.89,Stalat=22.34,Dist=  87.66,BAZ=122.80,PGA(V)=   0.88,PGA(NS)=   1.75,PGA(EW)=   1.74,PGV(V)=   0.09,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.89,PGV(SUM)=   0.15
Stacode=SNW ,Staname=«nÆW  ,Stalon=120.75,Stalat=21.96,Dist=  88.24,BAZ= 93.51,PGA(V)=   2.05,PGA(NS)=   2.65,PGA(EW)=   2.19,PGV(V)=   0.17,PGV(NS)=   0.27,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   2.90,PGV(SUM)=   0.30
Stacode=HEN ,Staname=«í¬K  ,Stalon=120.75,Stalat=22.00,Dist=  89.03,BAZ= 96.63,PGA(V)=   1.00,PGA(NS)=   2.13,PGA(EW)=   1.93,PGV(V)=   0.15,PGV(NS)=   0.28,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   2.52,PGV(SUM)=   0.29
Stacode=SLIU,Staname=·à¤l  ,Stalon=120.80,Stalat=22.22,Dist=  89.53,BAZ=112.18,PGA(V)=   1.13,PGA(NS)=   1.25,PGA(EW)=   0.92,PGV(V)=   0.07,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.34,PGV(SUM)=   0.08
Stacode=EAS ,Staname=¹F¤¯  ,Stalon=120.86,Stalat=22.38,Dist=  92.94,BAZ=124.13,PGA(V)=   1.11,PGA(NS)=   1.69,PGA(EW)=   1.38,PGV(V)=   0.09,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.66,PGV(SUM)=   0.13
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist= 100.53,BAZ=138.95,PGA(V)=   0.51,PGA(NS)=   0.74,PGA(EW)=   0.98,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.08
