Origin Time:2023/07/10 06:11:33
Lon:121.51°E
Lat:24.05°N
Depth:20.1km
Mag:5.3
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=   9.78,BAZ= 12.43,PGA(V)= 368.68,PGA(NS)= 231.32,PGA(EW)= 197.77,PGV(V)=   7.18,PGV(NS)=   6.79,PGV(EW)=   3.69,Int= 4級,PGA(SUM)= 220.03,PGV(SUM)=   7.56
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=   9.80,BAZ=250.84,PGA(V)=  52.04,PGA(NS)=  88.55,PGA(EW)=  72.94,PGV(V)=   1.12,PGV(NS)=   2.95,PGV(EW)=   1.59,Int= 4級,PGA(SUM)=  84.20,PGV(SUM)=   3.02
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  13.29,BAZ=310.03,PGA(V)=  70.58,PGA(NS)= 125.04,PGA(EW)= 105.29,PGV(V)=   1.93,PGV(NS)=   5.42,PGV(EW)=   5.10,Int= 4級,PGA(SUM)= 134.73,PGV(SUM)=   5.70
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  16.21,BAZ=223.31,PGA(V)=  41.51,PGA(NS)=  89.70,PGA(EW)=  81.98,PGV(V)=   0.52,PGV(NS)=   2.63,PGV(EW)=   0.90,Int= 4級,PGA(SUM)=  66.27,PGV(SUM)=   2.70
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  17.43,BAZ=169.31,PGA(V)=  65.73,PGA(NS)= 112.50,PGA(EW)=  98.56,PGV(V)=   2.21,PGV(NS)=   4.93,PGV(EW)=   4.04,Int= 4級,PGA(SUM)= 112.11,PGV(SUM)=   5.36
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  18.75,BAZ=331.41,PGA(V)=  31.52,PGA(NS)=  54.29,PGA(EW)=  58.21,PGV(V)=   1.36,PGV(NS)=   2.21,PGV(EW)=   2.35,Int= 4級,PGA(SUM)=  60.56,PGV(SUM)=   2.81
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  26.50,BAZ=112.41,PGA(V)=  18.25,PGA(NS)=  26.00,PGA(EW)=  37.44,PGV(V)=   1.17,PGV(NS)=   1.34,PGV(EW)=   1.83,Int= 4級,PGA(SUM)=  41.78,PGV(SUM)=   1.95
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  27.59,BAZ= 15.38,PGA(V)=  33.83,PGA(NS)= 110.09,PGA(EW)= 110.28,PGV(V)=   0.67,PGV(NS)=   1.44,PGV(EW)=   1.78,Int= 4級,PGA(SUM)=  66.23,PGV(SUM)=   1.99
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  29.74,BAZ=350.30,PGA(V)=  14.80,PGA(NS)=  40.74,PGA(EW)=  29.07,PGV(V)=   0.52,PGV(NS)=   1.37,PGV(EW)=   1.18,Int= 4級,PGA(SUM)=  40.48,PGV(SUM)=   1.47
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  34.92,BAZ=128.30,PGA(V)=   9.05,PGA(NS)=  37.88,PGA(EW)=  28.75,PGV(V)=   0.44,PGV(NS)=   1.91,PGV(EW)=   1.09,Int= 4級,PGA(SUM)=  40.20,PGV(SUM)=   2.01
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  36.02,BAZ= 72.52,PGA(V)=  45.68,PGA(NS)=  48.33,PGA(EW)=  43.20,PGV(V)=   1.08,PGV(NS)=   1.40,PGV(EW)=   1.25,Int= 4級,PGA(SUM)=  56.61,PGV(SUM)=   1.52
