Origin Time:2023/07/14 10:09:27
Lon:121.31¢XE
Lat:23.49¢XN
Depth:13.4km
Mag:4.5
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=   2.73,BAZ=241.84,PGA(V)=  12.15,PGA(NS)=  42.60,PGA(EW)=  48.41,PGV(V)=   0.22,PGV(NS)=   0.85,PGV(EW)=   0.97,Int= 4¯Å,PGA(SUM)=  36.44,PGV(SUM)=   1.02
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  16.11,BAZ=355.36,PGA(V)=   3.15,PGA(NS)=   3.55,PGA(EW)=   3.03,PGV(V)=   0.09,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.45,PGV(SUM)=   0.14
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  23.15,BAZ=212.29,PGA(V)=   4.69,PGA(NS)=   6.07,PGA(EW)=   6.47,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   5.30,PGV(SUM)=   0.17
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  24.46,BAZ=322.74,PGA(V)=   1.41,PGA(NS)=   3.03,PGA(EW)=   3.06,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   2.98,PGV(SUM)=   0.25
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  32.51,BAZ=  2.24,PGA(V)=   1.20,PGA(NS)=   2.53,PGA(EW)=   2.74,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   2.86,PGV(SUM)=   0.12
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  34.30,BAZ=225.87,PGA(V)=   0.75,PGA(NS)=   1.06,PGA(EW)=   1.10,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.07,PGV(SUM)=   0.05
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  38.01,BAZ=201.28,PGA(V)=   1.97,PGA(NS)=   5.35,PGA(EW)=   4.66,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.35,PGV(SUM)=   0.06
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  39.38,BAZ= 15.09,PGA(V)=   3.02,PGA(NS)=   4.54,PGA(EW)=   3.04,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   4.36,PGV(SUM)=   0.15
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  44.20,BAZ=351.11,PGA(V)=   0.32,PGA(NS)=   0.71,PGA(EW)=   0.88,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.84,PGV(SUM)=   0.05
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  44.86,BAZ= 11.46,PGA(V)=   0.98,PGA(NS)=   1.22,PGA(EW)=   1.21,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.29,PGV(SUM)=   0.05
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  50.37,BAZ= 92.05,PGA(V)=   0.59,PGA(NS)=   0.91,PGA(EW)=   1.13,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.18,PGV(SUM)=   0.08
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  51.46,BAZ=116.03,PGA(V)=   0.49,PGA(NS)=   2.49,PGA(EW)=   1.37,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.38,PGV(SUM)=   0.11
