Origin Time:2023/08/16 01:09:18
Lon:121.67°E
Lat:24.17°N
Depth:27.7km
Mag:4.8
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=   5.19,BAZ= 80.63,PGA(V)=   8.12,PGA(NS)=  15.52,PGA(EW)=  10.51,PGV(V)=   0.11,PGV(NS)=   0.32,PGV(EW)=   0.24,Int= 3級,PGA(SUM)=  11.10,PGV(SUM)=   0.40
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  11.74,BAZ= 36.57,PGA(V)=   3.44,PGA(NS)=   4.07,PGA(EW)=   4.08,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   4.04,PGV(SUM)=   0.15
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  17.59,BAZ=206.05,PGA(V)=   9.22,PGA(NS)=  10.68,PGA(EW)=   9.88,PGV(V)=   0.18,PGV(NS)=   0.29,PGV(EW)=   0.26,Int= 3級,PGA(SUM)=  12.12,PGV(SUM)=   0.35
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  19.25,BAZ=200.36,PGA(V)=   6.08,PGA(NS)=   7.08,PGA(EW)=   6.40,PGV(V)=   0.14,PGV(NS)=   0.40,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   6.62,PGV(SUM)=   0.41
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  19.98,BAZ=102.96,PGA(V)=  16.43,PGA(NS)=  19.98,PGA(EW)=  23.84,PGV(V)=   0.37,PGV(NS)=   0.34,PGV(EW)=   0.32,Int= 3級,PGA(SUM)=  18.95,PGV(SUM)=   0.47
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  22.05,BAZ= 16.02,PGA(V)=   2.49,PGA(NS)=   4.35,PGA(EW)=   5.12,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   5.05,PGV(SUM)=   0.21
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  28.81,BAZ= 39.59,PGA(V)=   3.54,PGA(NS)=   6.12,PGA(EW)=   6.03,PGV(V)=   0.13,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   4.67,PGV(SUM)=   0.15
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  29.76,BAZ=194.96,PGA(V)=   7.70,PGA(NS)=  29.51,PGA(EW)=  16.30,PGV(V)=   0.14,PGV(NS)=   0.42,PGV(EW)=   0.29,Int= 3級,PGA(SUM)=  19.49,PGV(SUM)=   0.44
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  30.01,BAZ= 14.05,PGA(V)=   1.94,PGA(NS)=   3.91,PGA(EW)=   5.14,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   5.06,PGV(SUM)=   0.19
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  32.65,BAZ=199.04,PGA(V)=   4.76,PGA(NS)=   8.73,PGA(EW)=   8.49,PGV(V)=   0.13,PGV(NS)=   0.17,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   6.04,PGV(SUM)=   0.22
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  40.81,BAZ= 86.43,PGA(V)=   1.96,PGA(NS)=   5.86,PGA(EW)=   6.55,PGV(V)=   0.08,PGV(NS)=   0.19,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   7.03,PGV(SUM)=   0.26
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  42.19,BAZ=135.37,PGA(V)=   1.86,PGA(NS)=   6.03,PGA(EW)=   4.54,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   5.11,PGV(SUM)=   0.15
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  43.44,BAZ= 15.02,PGA(V)=   1.00,PGA(NS)=   1.79,PGA(EW)=   2.07,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.15,PGV(SUM)=   0.11
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  44.55,BAZ=101.66,PGA(V)=   1.42,PGA(NS)=   2.99,PGA(EW)=   2.08,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   3.15,PGV(SUM)=   0.13
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  45.78,BAZ= 31.00,PGA(V)=   1.38,PGA(NS)=   2.74,PGA(EW)=   4.44,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.04,PGV(SUM)=   0.07
