Origin Time:2023/09/06 13:21:37
Lon:120.68E
Lat:22.90N
Depth:5.8km
Mag:4.4
Stacode=SLG ,Staname=せ纓  ,Stalon=120.65,Stalat=22.99,Dist=  11.18,BAZ=161.94,PGA(V)=  53.00,PGA(NS)=  32.58,PGA(EW)=  49.07,PGV(V)=   0.58,PGV(NS)=   0.54,PGV(EW)=   0.72,Int= 4,PGA(SUM)=  25.10,PGV(SUM)=   0.82
Stacode=SSD ,Staname=,Stalon=120.64,Stalat=22.74,Dist=  17.44,BAZ= 13.62,PGA(V)=   5.47,PGA(NS)=   9.49,PGA(EW)=  11.53,PGV(V)=   0.15,PGV(NS)=   0.15,PGV(EW)=   0.22,Int= 2,PGA(SUM)=   7.42,PGV(SUM)=   0.26
Stacode=SCS ,Staname=篨  ,Stalon=120.49,Stalat=22.89,Dist=  19.15,BAZ= 86.08,PGA(V)=   5.21,PGA(NS)=   9.91,PGA(EW)=   6.62,PGV(V)=   0.17,PGV(NS)=   0.29,PGV(EW)=   0.30,Int= 3,PGA(SUM)=   9.71,PGV(SUM)=   0.38
Stacode=SMG ,Staname=嚎產  ,Stalon=120.64,Stalat=22.71,Dist=  21.57,BAZ=  9.67,PGA(V)=   2.62,PGA(NS)=   3.29,PGA(EW)=   3.74,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 2,PGA(SUM)=   2.95,PGV(SUM)=   0.08
Stacode=SGS ,Staname=ヒ  ,Stalon=120.59,Stalat=23.08,Dist=  22.24,BAZ=155.72,PGA(V)=   3.92,PGA(NS)=   7.68,PGA(EW)=   7.58,PGV(V)=   0.20,PGV(NS)=   0.24,PGV(EW)=   0.29,Int= 3,PGA(SUM)=   9.06,PGV(SUM)=   0.38
Stacode=SGL ,Staname=  ,Stalon=120.50,Stalat=22.72,Dist=  26.78,BAZ= 44.01,PGA(V)=   1.19,PGA(NS)=   1.83,PGA(EW)=   1.64,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1,PGA(SUM)=   2.00,PGV(SUM)=   0.10
Stacode=SPT ,Staname=狥カ,Stalon=120.50,Stalat=22.68,Dist=  30.88,BAZ= 37.69,PGA(V)=   1.12,PGA(NS)=   0.80,PGA(EW)=   1.37,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1,PGA(SUM)=   1.44,PGV(SUM)=   0.10
Stacode=STYH,Staname=方  ,Stalon=120.78,Stalat=23.18,Dist=  32.90,BAZ=198.36,PGA(V)=   8.36,PGA(NS)=   7.53,PGA(EW)=   5.16,PGV(V)=   0.13,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 2,PGA(SUM)=   5.13,PGV(SUM)=   0.15
Stacode=CHN1,Staname=罚﹁  ,Stalon=120.53,Stalat=23.18,Dist=  35.42,BAZ=154.03,PGA(V)=   2.00,PGA(NS)=   2.69,PGA(EW)=   4.26,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 2,PGA(SUM)=   4.80,PGV(SUM)=   0.14
Stacode=SSH ,Staname=到て  ,Stalon=120.29,Stalat=23.14,Dist=  48.08,BAZ=123.36,PGA(V)=   0.64,PGA(NS)=   0.81,PGA(EW)=   0.79,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1,PGA(SUM)=   0.97,PGV(SUM)=   0.06
Stacode=WCKO,Staname=礷隔  ,Stalon=120.60,Stalat=23.44,Dist=  60.44,BAZ=172.67,PGA(V)=   0.81,PGA(NS)=   2.04,PGA(EW)=   2.22,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.12,Int= 2,PGA(SUM)=   2.58,PGV(SUM)=   0.12
