Origin Time:2023/09/12 19:03:17
Lon:121.08°E
Lat:19.30°N
Depth:59.9km
Mag:6.8
Stacode=SEB ,Staname=鵝鑾鼻,Stalon=120.86,Stalat=21.90,Dist= 288.95,BAZ=175.35,PGA(V)=   1.37,PGA(NS)=   1.74,PGA(EW)=   2.72,PGV(V)=   0.10,PGV(NS)=   0.22,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   2.70,PGV(SUM)=   0.27
Stacode=SNW ,Staname=南灣  ,Stalon=120.75,Stalat=21.96,Dist= 296.52,BAZ=173.33,PGA(V)=   1.24,PGA(NS)=   3.12,PGA(EW)=   4.63,PGV(V)=   0.14,PGV(NS)=   0.30,PGV(EW)=   0.34,Int= 2級,PGA(SUM)=   4.90,PGV(SUM)=   0.34
Stacode=HEN ,Staname=恆春  ,Stalon=120.75,Stalat=22.00,Dist= 301.41,BAZ=173.37,PGA(V)=   0.75,PGA(NS)=   2.10,PGA(EW)=   2.20,PGV(V)=   0.14,PGV(NS)=   0.29,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   2.37,PGV(SUM)=   0.30
Stacode=SMS ,Staname=滿州  ,Stalon=120.84,Stalat=22.02,Dist= 302.30,BAZ=175.20,PGA(V)=   1.05,PGA(NS)=   2.81,PGA(EW)=   2.97,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.89,PGV(SUM)=   0.16
Stacode=LAY ,Staname=蘭嶼  ,Stalon=121.56,Stalat=22.04,Dist= 307.16,BAZ=189.33,PGA(V)=   1.84,PGA(NS)=   7.20,PGA(EW)=   4.88,PGV(V)=   0.17,PGV(NS)=   0.52,PGV(EW)=   0.43,Int= 2級,PGA(SUM)=   7.05,PGV(SUM)=   0.52
Stacode=SLIU,Staname=獅子  ,Stalon=120.80,Stalat=22.22,Dist= 324.23,BAZ=174.82,PGA(V)=   0.46,PGA(NS)=   0.74,PGA(EW)=   1.07,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.12
Stacode=TAWH,Staname=大武  ,Stalon=120.89,Stalat=22.34,Dist= 337.19,BAZ=176.60,PGA(V)=   0.43,PGA(NS)=   0.86,PGA(EW)=   0.86,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.08
Stacode=EAS ,Staname=達仁  ,Stalon=120.86,Stalat=22.38,Dist= 342.06,BAZ=176.10,PGA(V)=   0.53,PGA(NS)=   0.93,PGA(EW)=   1.30,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.42,PGV(SUM)=   0.11
Stacode=SCZ ,Staname=春日  ,Stalon=120.63,Stalat=22.37,Dist= 343.21,BAZ=172.13,PGA(V)=   0.30,PGA(NS)=   0.73,PGA(EW)=   0.68,PGV(V)=   0.07,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.09
Stacode=WLC ,Staname=小琉球,Stalon=120.37,Stalat=22.35,Dist= 345.38,BAZ=167.63,PGA(V)=   0.33,PGA(NS)=   1.08,PGA(EW)=   1.26,PGV(V)=   0.07,PGV(NS)=   0.07,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.35,PGV(SUM)=   0.12
Stacode=SSP ,Staname=新埤  ,Stalon=120.57,Stalat=22.48,Dist= 356.51,BAZ=171.41,PGA(V)=   0.65,PGA(NS)=   1.01,PGA(EW)=   1.70,PGV(V)=   0.13,PGV(NS)=   0.25,PGV(EW)=   0.31,Int= 1級,PGA(SUM)=   1.71,PGV(SUM)=   0.32
