Origin Time:2023/10/11 18:36:57
Lon:121.24°E
Lat:23.27°N
Depth:14.5km
Mag:5.8
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=   9.74,BAZ=328.37,PGA(V)= 163.69,PGA(NS)= 293.93,PGA(EW)= 543.52,PGV(V)=   6.59,PGV(NS)=  16.72,PGV(EW)=  27.98,Int= 5弱,PGA(SUM)= 554.30,PGV(SUM)=  29.59
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  11.19,BAZ=223.32,PGA(V)=  20.11,PGA(NS)=  24.19,PGA(EW)=  22.89,PGV(V)=   0.76,PGV(NS)=   1.67,PGV(EW)=   1.78,Int= 3級,PGA(SUM)=  23.67,PGV(SUM)=   2.02
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  14.36,BAZ= 15.67,PGA(V)= 114.86,PGA(NS)= 136.49,PGA(EW)= 249.03,PGV(V)=   2.66,PGV(NS)=   4.63,PGV(EW)=   9.28,Int= 4級,PGA(SUM)= 269.57,PGV(SUM)=  10.11
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  19.93,BAZ=  7.32,PGA(V)=  44.48,PGA(NS)= 106.13,PGA(EW)=  83.27,PGV(V)=   2.45,PGV(NS)=   3.98,PGV(EW)=   3.78,Int= 4級,PGA(SUM)= 129.48,PGV(SUM)=   5.27
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  21.71,BAZ=257.41,PGA(V)=  21.31,PGA(NS)=  51.21,PGA(EW)=  49.33,PGV(V)=   1.42,PGV(NS)=   4.21,PGV(EW)=   2.79,Int= 4級,PGA(SUM)=  55.69,PGV(SUM)=   5.19
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  23.54,BAZ=325.84,PGA(V)=  11.26,PGA(NS)=  41.93,PGA(EW)=  42.45,PGV(V)=   0.64,PGV(NS)=   1.28,PGV(EW)=   1.84,Int= 4級,PGA(SUM)=  41.44,PGV(SUM)=   1.85
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  24.37,BAZ= 66.83,PGA(V)=  38.28,PGA(NS)=  39.81,PGA(EW)=  38.16,PGV(V)=   0.78,PGV(NS)=   1.00,PGV(EW)=   0.71,Int= 4級,PGA(SUM)=  34.40,PGV(SUM)=   1.22
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  26.96,BAZ=199.01,PGA(V)=  55.27,PGA(NS)= 115.02,PGA(EW)= 165.11,PGV(V)=   1.87,PGV(NS)=   4.43,PGV(EW)=   4.87,Int= 4級,PGA(SUM)= 126.05,PGV(SUM)=   5.18
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist=  42.33,BAZ= 16.03,PGA(V)=   6.72,PGA(NS)=  21.80,PGA(EW)=  26.43,PGV(V)=   0.46,PGV(NS)=   1.04,PGV(EW)=   1.16,Int= 4級,PGA(SUM)=  34.10,PGV(SUM)=   1.44
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  47.62,BAZ=203.18,PGA(V)=  12.00,PGA(NS)=  39.56,PGA(EW)=  37.12,PGV(V)=   0.51,PGV(NS)=   1.24,PGV(EW)=   1.36,Int= 4級,PGA(SUM)=  44.03,PGV(SUM)=   1.39
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  48.51,BAZ= 77.56,PGA(V)=   8.04,PGA(NS)=   8.95,PGA(EW)=   9.14,PGV(V)=   0.34,PGV(NS)=   0.30,PGV(EW)=   0.48,Int= 3級,PGA(SUM)=  10.43,PGV(SUM)=   0.48
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  51.12,BAZ=120.57,PGA(V)=   4.54,PGA(NS)=   9.03,PGA(EW)=  10.47,PGV(V)=   0.40,PGV(NS)=   0.81,PGV(EW)=   1.02,Int= 3級,PGA(SUM)=  12.84,PGV(SUM)=   1.14
