Origin Time:2023/10/12 20:16:29
Lon:120.56°E
Lat:22.92°N
Depth:15.6km
Mag:4.9
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist=   7.86,BAZ= 58.75,PGA(V)=  33.31,PGA(NS)=  35.99,PGA(EW)=  29.32,PGV(V)=   1.70,PGV(NS)=   1.68,PGV(EW)=   1.40,Int= 4級,PGA(SUM)=  39.87,PGV(SUM)=   1.84
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist=  17.80,BAZ=190.44,PGA(V)=   4.19,PGA(NS)=  12.04,PGA(EW)=  10.31,PGV(V)=   0.19,PGV(NS)=   0.67,PGV(EW)=   0.29,Int= 3級,PGA(SUM)=  12.29,PGV(SUM)=   0.67
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist=  21.38,BAZ=337.22,PGA(V)=  16.09,PGA(NS)=  35.08,PGA(EW)=  22.79,PGV(V)=   0.38,PGV(NS)=   0.82,PGV(EW)=   0.63,Int= 4級,PGA(SUM)=  25.18,PGV(SUM)=   0.92
Stacode=SGL ,Staname=九如  ,Stalon=120.50,Stalat=22.72,Dist=  22.89,BAZ= 15.77,PGA(V)=   1.78,PGA(NS)=   5.48,PGA(EW)=   4.69,PGV(V)=   0.07,PGV(NS)=   0.38,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   6.03,PGV(SUM)=   0.42
Stacode=SMG ,Staname=瑪家  ,Stalon=120.64,Stalat=22.71,Dist=  25.58,BAZ=339.97,PGA(V)=   6.38,PGA(NS)=  16.29,PGA(EW)=  21.24,PGV(V)=   0.21,PGV(NS)=   0.32,PGV(EW)=   0.57,Int= 3級,PGA(SUM)=  19.42,PGV(SUM)=   0.57
Stacode=SPT ,Staname=屏東市,Stalon=120.50,Stalat=22.68,Dist=  27.96,BAZ= 13.42,PGA(V)=   2.33,PGA(NS)=   4.99,PGA(EW)=   5.36,PGV(V)=   0.09,PGV(NS)=   0.36,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   5.56,PGV(SUM)=   0.36
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.18,Dist=  29.25,BAZ=173.82,PGA(V)=   4.32,PGA(NS)=  11.57,PGA(EW)=   7.00,PGV(V)=   0.17,PGV(NS)=   0.31,PGV(EW)=   0.25,Int= 3級,PGA(SUM)=  11.90,PGV(SUM)=   0.35
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist=  35.48,BAZ=111.16,PGA(V)=   1.46,PGA(NS)=   2.48,PGA(EW)=   2.59,PGV(V)=   0.10,PGV(NS)=   0.18,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   2.99,PGV(SUM)=   0.23
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  36.18,BAZ=190.27,PGA(V)=   2.58,PGA(NS)=   4.62,PGA(EW)=   6.02,PGV(V)=   0.15,PGV(NS)=   0.31,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   5.59,PGV(SUM)=   0.31
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  36.42,BAZ=218.61,PGA(V)=   4.64,PGA(NS)=   3.77,PGA(EW)=   6.58,PGV(V)=   0.15,PGV(NS)=   0.13,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   6.95,PGV(SUM)=   0.19
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist=  36.50,BAZ=130.43,PGA(V)=   2.23,PGA(NS)=   6.11,PGA(EW)=   4.30,PGV(V)=   0.15,PGV(NS)=   0.43,PGV(EW)=   0.32,Int= 2級,PGA(SUM)=   6.47,PGV(SUM)=   0.44
