Origin Time:2023/10/23 21:19:20
Lon:121.32¢XE
Lat:23.00¢XN
Depth:21.3km
Mag:4.9
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  12.14,BAZ=205.03,PGA(V)=   7.99,PGA(NS)=  16.69,PGA(EW)=  29.64,PGV(V)=   0.19,PGV(NS)=   0.52,PGV(EW)=   0.96,Int= 4¯Å,PGA(SUM)=  27.10,PGV(SUM)=   1.02
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  15.09,BAZ=135.19,PGA(V)=   8.86,PGA(NS)=  17.71,PGA(EW)=  15.55,PGV(V)=   0.41,PGV(NS)=   0.94,PGV(EW)=   0.85,Int= 3¯Å,PGA(SUM)=  20.94,PGV(SUM)=   1.27
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  20.51,BAZ=144.26,PGA(V)=  10.48,PGA(NS)=   9.86,PGA(EW)=   8.57,PGV(V)=   0.35,PGV(NS)=   0.37,PGV(EW)=   0.32,Int= 3¯Å,PGA(SUM)=  10.46,PGV(SUM)=   0.38
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  22.28,BAZ= 62.72,PGA(V)=   5.69,PGA(NS)=   9.84,PGA(EW)=   6.78,PGV(V)=   0.18,PGV(NS)=   0.37,PGV(EW)=   0.26,Int= 3¯Å,PGA(SUM)=   8.65,PGV(SUM)=   0.39
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  22.38,BAZ=172.35,PGA(V)=   2.79,PGA(NS)=   6.77,PGA(EW)=   6.96,PGV(V)=   0.17,PGV(NS)=   0.28,PGV(EW)=   0.44,Int= 3¯Å,PGA(SUM)=   8.87,PGV(SUM)=   0.49
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  31.99,BAZ= 51.18,PGA(V)=   2.33,PGA(NS)=   2.68,PGA(EW)=   2.40,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   3.20,PGV(SUM)=   0.15
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  32.27,BAZ= 32.31,PGA(V)=   1.04,PGA(NS)=   2.25,PGA(EW)=   2.30,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   2.32,PGV(SUM)=   0.17
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  36.98,BAZ=124.39,PGA(V)=   2.70,PGA(NS)=   4.27,PGA(EW)=   3.50,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.47,PGV(SUM)=   0.13
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  37.57,BAZ=200.45,PGA(V)=   2.28,PGA(NS)=   6.08,PGA(EW)=   5.41,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   4.26,PGV(SUM)=   0.18
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  38.62,BAZ=179.41,PGA(V)=   1.44,PGA(NS)=   2.26,PGA(EW)=   2.14,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.25,PGV(SUM)=   0.14
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  39.01,BAZ=337.38,PGA(V)=   2.93,PGA(NS)=   5.69,PGA(EW)=   4.22,PGV(V)=   0.10,PGV(NS)=   0.21,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   4.92,PGV(SUM)=   0.22
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  55.96,BAZ=180.72,PGA(V)=   0.61,PGA(NS)=   1.17,PGA(EW)=   1.57,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.69,PGV(SUM)=   0.07
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  59.01,BAZ=109.83,PGA(V)=   1.54,PGA(NS)=   3.64,PGA(EW)=   4.91,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   4.58,PGV(SUM)=   0.13
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  69.38,BAZ= 89.52,PGA(V)=   0.71,PGA(NS)=   1.11,PGA(EW)=   1.25,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.46,PGV(SUM)=   0.07
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist=  75.52,BAZ= 68.11,PGA(V)=   0.67,PGA(NS)=   1.16,PGA(EW)=   0.71,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.03
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  75.58,BAZ= 96.89,PGA(V)=   0.42,PGA(NS)=   1.07,PGA(EW)=   0.85,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.07,PGV(SUM)=   0.07
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  76.73,BAZ=110.73,PGA(V)=   0.51,PGA(NS)=   1.47,PGA(EW)=   1.24,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.51,PGV(SUM)=   0.08
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  76.80,BAZ= 64.99,PGA(V)=   0.34,PGA(NS)=   1.08,PGA(EW)=   0.54,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.03
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  76.86,BAZ=137.28,PGA(V)=   0.44,PGA(NS)=   1.05,PGA(EW)=   1.20,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.22,PGV(SUM)=   0.09
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.18,Dist=  83.95,BAZ=104.23,PGA(V)=   0.82,PGA(NS)=   1.02,PGA(EW)=   1.02,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.09,PGV(SUM)=   0.06
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  85.95,BAZ= 81.63,PGA(V)=   0.69,PGA(NS)=   1.06,PGA(EW)=   1.02,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.37,PGV(SUM)=   0.08
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  88.20,BAZ=123.54,PGA(V)=   0.82,PGA(NS)=   2.46,PGA(EW)=   2.13,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   2.60,PGV(SUM)=   0.16
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  93.61,BAZ=135.10,PGA(V)=   0.72,PGA(NS)=   2.14,PGA(EW)=   2.56,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   2.89,PGV(SUM)=   0.19
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist= 104.19,BAZ=195.86,PGA(V)=   0.38,PGA(NS)=   0.79,PGA(EW)=   0.87,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.06
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist= 104.92,BAZ= 75.00,PGA(V)=   0.80,PGA(NS)=   1.57,PGA(EW)=   1.19,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.57,PGV(SUM)=   0.10
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 105.01,BAZ=124.23,PGA(V)=   0.72,PGA(NS)=   1.46,PGA(EW)=   1.21,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.54,PGV(SUM)=   0.10
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 106.49,BAZ=121.18,PGA(V)=   0.45,PGA(NS)=   1.80,PGA(EW)=   1.10,PGV(V)=   0.02,PGV(NS)=   0.12,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.85,PGV(SUM)=   0.12
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist= 107.11,BAZ= 98.18,PGA(V)=   0.33,PGA(NS)=   1.06,PGA(EW)=   1.09,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.10
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 108.13,BAZ=134.62,PGA(V)=   0.54,PGA(NS)=   1.18,PGA(EW)=   0.79,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.32,PGV(SUM)=   0.09
Stacode=LAY ,Staname=ÄõÀ¬  ,Stalon=121.56,Stalat=22.04,Dist= 109.15,BAZ=347.20,PGA(V)=   0.32,PGA(NS)=   1.29,PGA(EW)=   0.83,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.26,PGV(SUM)=   0.05
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist= 111.43,BAZ= 92.25,PGA(V)=   0.28,PGA(NS)=   0.88,PGA(EW)=   0.64,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.07
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 112.81,BAZ=134.69,PGA(V)=   0.49,PGA(NS)=   2.29,PGA(EW)=   0.87,PGV(V)=   0.04,PGV(NS)=   0.15,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.28,PGV(SUM)=   0.15
Stacode=TAI ,Staname=»O«n¥«,Stalon=120.20,Stalat=22.99,Dist= 114.64,BAZ= 89.71,PGA(V)=   0.69,PGA(NS)=   1.34,PGA(EW)=   1.77,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.83,PGV(SUM)=   0.14
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist= 116.49,BAZ= 99.62,PGA(V)=   0.32,PGA(NS)=   0.89,PGA(EW)=   1.55,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.63,PGV(SUM)=   0.13
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist= 116.65,BAZ=146.48,PGA(V)=   0.32,PGA(NS)=   1.34,PGA(EW)=   0.83,PGV(V)=   0.01,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.38,PGV(SUM)=   0.09
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist= 116.91,BAZ=115.74,PGA(V)=   0.96,PGA(NS)=   1.80,PGA(EW)=   2.15,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   2.49,PGV(SUM)=   0.17
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist= 119.08,BAZ=108.93,PGA(V)=   0.51,PGA(NS)=   0.82,PGA(EW)=   1.66,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.76,PGV(SUM)=   0.17
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist= 120.16,BAZ=146.87,PGA(V)=   0.45,PGA(NS)=   0.54,PGA(EW)=   0.83,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.98,PGV(SUM)=   0.05
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 122.28,BAZ=128.62,PGA(V)=   0.28,PGA(NS)=   1.09,PGA(EW)=   0.96,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.21,PGV(SUM)=   0.09
