Origin Time:2023/10/31 20:33:54
Lon:121.60¢XE
Lat:23.24¢XN
Depth:44.6km
Mag:4.7
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  17.43,BAZ=117.52,PGA(V)=   5.84,PGA(NS)=  21.36,PGA(EW)=  18.23,PGV(V)=   0.13,PGV(NS)=   0.51,PGV(EW)=   0.48,Int= 3¯Å,PGA(SUM)=  16.57,PGV(SUM)=   0.56
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  28.49,BAZ= 55.46,PGA(V)=   7.31,PGA(NS)=  20.10,PGA(EW)=  27.10,PGV(V)=   0.11,PGV(NS)=   0.34,PGV(EW)=   0.52,Int= 3¯Å,PGA(SUM)=  22.14,PGV(SUM)=   0.56
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  31.16,BAZ=111.59,PGA(V)=   2.15,PGA(NS)=   1.71,PGA(EW)=   1.61,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.70,PGV(SUM)=   0.17
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  31.95,BAZ= 81.05,PGA(V)=   1.67,PGA(NS)=   4.63,PGA(EW)=   5.69,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   5.65,PGV(SUM)=   0.25
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  40.07,BAZ=135.97,PGA(V)=   0.95,PGA(NS)=   2.50,PGA(EW)=   2.25,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.15,PGV(SUM)=   0.03
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  41.90,BAZ= 75.48,PGA(V)=   3.19,PGA(NS)=   2.64,PGA(EW)=   2.12,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.62,PGV(SUM)=   0.12
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  42.53,BAZ= 67.26,PGA(V)=   1.75,PGA(NS)=   3.02,PGA(EW)=   2.60,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   2.63,PGV(SUM)=   0.17
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  50.37,BAZ=159.23,PGA(V)=   1.45,PGA(NS)=   1.14,PGA(EW)=   1.42,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.05
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  51.70,BAZ=173.79,PGA(V)=   0.55,PGA(NS)=   1.57,PGA(EW)=   1.60,PGV(V)=   0.33,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.39,PGV(SUM)=   0.33
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  59.41,BAZ= 83.95,PGA(V)=   1.91,PGA(NS)=   3.36,PGA(EW)=   3.46,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.36,PGV(SUM)=   0.07
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  61.14,BAZ= 52.34,PGA(V)=   1.23,PGA(NS)=   1.66,PGA(EW)=   1.38,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.26,PGV(SUM)=   0.06
