Origin Time:2023/11/21 01:16:35
Lon:120.86°E
Lat:23.82°N
Depth:28.9km
Mag:4.6
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=   8.61,BAZ=217.14,PGA(V)=   7.29,PGA(NS)=   3.71,PGA(EW)=   5.18,PGV(V)=   0.11,PGV(NS)=   0.25,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   4.98,PGV(SUM)=   0.26
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=   9.57,BAZ=187.72,PGA(V)=   7.10,PGA(NS)=   4.69,PGA(EW)=   3.86,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   4.52,PGV(SUM)=   0.19
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  13.17,BAZ= 91.24,PGA(V)=   2.80,PGA(NS)=   3.51,PGA(EW)=   4.81,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   4.92,PGV(SUM)=   0.21
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  13.65,BAZ=  1.70,PGA(V)=   3.30,PGA(NS)=  17.06,PGA(EW)=   6.00,PGV(V)=   0.08,PGV(NS)=   0.42,PGV(EW)=   0.15,Int= 3級,PGA(SUM)=  15.96,PGV(SUM)=   0.43
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  17.93,BAZ=110.71,PGA(V)=   8.58,PGA(NS)=  40.19,PGA(EW)=  28.96,PGV(V)=   0.11,PGV(NS)=   0.57,PGV(EW)=   0.63,Int= 3級,PGA(SUM)=  21.33,PGV(SUM)=   0.71
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  20.48,BAZ=118.34,PGA(V)=   6.45,PGA(NS)=   5.74,PGA(EW)=  12.03,PGV(V)=   0.15,PGV(NS)=   0.17,PGV(EW)=   0.47,Int= 3級,PGA(SUM)=  11.24,PGV(SUM)=   0.49
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  23.69,BAZ=205.49,PGA(V)=   3.67,PGA(NS)=   2.37,PGA(EW)=   4.30,PGV(V)=   0.05,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.40,PGV(SUM)=   0.06
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  26.86,BAZ=191.93,PGA(V)=   6.87,PGA(NS)=   2.65,PGA(EW)=   3.85,PGV(V)=   0.12,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   3.33,PGV(SUM)=   0.12
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  30.71,BAZ= 36.77,PGA(V)=   2.07,PGA(NS)=   5.92,PGA(EW)=   7.05,PGV(V)=   0.06,PGV(NS)=   0.21,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   6.48,PGV(SUM)=   0.22
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  32.27,BAZ=118.98,PGA(V)=  13.44,PGA(NS)=  30.22,PGA(EW)=  26.54,PGV(V)=   0.38,PGV(NS)=   0.53,PGV(EW)=   0.81,Int= 3級,PGA(SUM)=  22.65,PGV(SUM)=   0.83
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  32.84,BAZ= 62.93,PGA(V)=   2.86,PGA(NS)=   7.32,PGA(EW)=   5.96,PGV(V)=   0.06,PGV(NS)=   0.18,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   5.48,PGV(SUM)=   0.20
