Origin Time:2023/12/02 06:27:30
Lon:121.44°E
Lat:23.42°N
Depth:23.8km
Mag:4.9
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  11.45,BAZ=353.75,PGA(V)=   9.13,PGA(NS)=  33.51,PGA(EW)=  29.93,PGV(V)=   0.17,PGV(NS)=   0.76,PGV(EW)=   0.47,Int= 4級,PGA(SUM)=  27.65,PGV(SUM)=   0.90
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  14.56,BAZ=130.06,PGA(V)=   4.82,PGA(NS)=   5.42,PGA(EW)=   7.39,PGV(V)=   0.12,PGV(NS)=   0.15,PGV(EW)=   0.26,Int= 3級,PGA(SUM)=   8.49,PGV(SUM)=   0.27
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  14.62,BAZ= 56.96,PGA(V)=   3.01,PGA(NS)=   3.61,PGA(EW)=   3.26,PGV(V)=   0.10,PGV(NS)=   0.22,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   4.50,PGV(SUM)=   0.24
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  27.68,BAZ=177.57,PGA(V)=   2.30,PGA(NS)=   2.76,PGA(EW)=   2.81,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   3.20,PGV(SUM)=   0.13
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  28.56,BAZ= 31.30,PGA(V)=   2.01,PGA(NS)=   4.27,PGA(EW)=   5.39,PGV(V)=   0.13,PGV(NS)=   0.22,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   5.38,PGV(SUM)=   0.27
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  33.83,BAZ=199.13,PGA(V)=   0.59,PGA(NS)=   4.44,PGA(EW)=   4.40,PGV(V)=   0.03,PGV(NS)=   0.14,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   4.60,PGV(SUM)=   0.17
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  36.22,BAZ= 10.73,PGA(V)=   3.14,PGA(NS)=   9.33,PGA(EW)=   7.47,PGV(V)=   0.09,PGV(NS)=   0.28,PGV(EW)=   0.18,Int= 3級,PGA(SUM)=  10.05,PGV(SUM)=   0.31
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  38.26,BAZ= 38.51,PGA(V)=   1.24,PGA(NS)=   2.76,PGA(EW)=   1.76,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   2.62,PGV(SUM)=   0.12
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  42.34,BAZ= 32.08,PGA(V)=   1.56,PGA(NS)=   2.82,PGA(EW)=   2.33,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.99,PGV(SUM)=   0.18
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  42.70,BAZ=197.19,PGA(V)=   1.56,PGA(NS)=   3.94,PGA(EW)=   3.07,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   3.97,PGV(SUM)=   0.13
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  43.51,BAZ=180.35,PGA(V)=   1.30,PGA(NS)=   2.14,PGA(EW)=   2.68,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.36,PGV(SUM)=   0.11
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  49.52,BAZ= 58.74,PGA(V)=   2.93,PGA(NS)=   3.29,PGA(EW)=   4.24,PGV(V)=   0.08,PGV(NS)=   0.09,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.58,PGV(SUM)=   0.13
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  49.58,BAZ= 98.75,PGA(V)=   1.42,PGA(NS)=   2.25,PGA(EW)=   3.05,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.30,PGV(SUM)=   0.15
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  51.36,BAZ= 15.61,PGA(V)=   2.58,PGA(NS)=   4.92,PGA(EW)=   4.55,PGV(V)=   0.10,PGV(NS)=   0.15,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   5.49,PGV(SUM)=   0.21
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  56.15,BAZ=197.19,PGA(V)=   2.11,PGA(NS)=   5.09,PGA(EW)=   3.59,PGV(V)=   0.08,PGV(NS)=   0.26,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   5.62,PGV(SUM)=   0.29
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  60.80,BAZ=185.18,PGA(V)=   1.46,PGA(NS)=   1.25,PGA(EW)=   2.30,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.47,PGV(SUM)=   0.09
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  64.08,BAZ=196.12,PGA(V)=   0.83,PGA(NS)=   1.70,PGA(EW)=   1.87,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.95,PGV(SUM)=   0.11
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  64.67,BAZ= 98.79,PGA(V)=   0.47,PGA(NS)=   1.06,PGA(EW)=   0.92,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.09
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist=  65.02,BAZ= 29.13,PGA(V)=   0.48,PGA(NS)=   0.79,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.06
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  65.08,BAZ=155.64,PGA(V)=   1.45,PGA(NS)=   2.36,PGA(EW)=   2.03,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   2.36,PGV(SUM)=   0.06
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  72.34,BAZ= 68.46,PGA(V)=   0.60,PGA(NS)=   1.71,PGA(EW)=   1.04,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.54,PGV(SUM)=   0.08
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  74.51,BAZ=133.39,PGA(V)=   0.33,PGA(NS)=   0.46,PGA(EW)=   0.90,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.07
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  80.28,BAZ=104.22,PGA(V)=   1.10,PGA(NS)=   2.28,PGA(EW)=   2.03,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.28,PGV(SUM)=   0.16
