Origin Time:2024/02/29 13:26:27
Lon:120.28¢XE
Lat:23.46¢XN
Depth:16.8km
Mag:5.0
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist=   1.44,BAZ=272.94,PGA(V)=  34.40,PGA(NS)=  65.55,PGA(EW)= 106.24,PGV(V)=   0.73,PGV(NS)=   1.85,PGV(EW)=   3.06,Int= 4¯Å,PGA(SUM)= 105.77,PGV(SUM)=   3.30
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist=   8.94,BAZ=143.54,PGA(V)=  27.80,PGA(NS)=  54.76,PGA(EW)=  60.95,PGV(V)=   0.50,PGV(NS)=   1.34,PGV(EW)=   3.65,Int= 4¯Å,PGA(SUM)=  57.78,PGV(SUM)=   3.69
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist=  13.55,BAZ= 25.53,PGA(V)=  21.34,PGA(NS)=  43.95,PGA(EW)=  47.66,PGV(V)=   0.17,PGV(NS)=   0.87,PGV(EW)=   0.78,Int= 4¯Å,PGA(SUM)=  45.36,PGV(SUM)=   1.15
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  16.17,BAZ=254.66,PGA(V)=  20.65,PGA(NS)=  51.40,PGA(EW)=  62.96,PGV(V)=   0.41,PGV(NS)=   1.86,PGV(EW)=   4.00,Int= 4¯Å,PGA(SUM)=  72.52,PGV(SUM)=   4.20
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist=  20.43,BAZ=165.52,PGA(V)=  35.17,PGA(NS)=  66.52,PGA(EW)=  70.98,PGV(V)=   0.88,PGV(NS)=   2.24,PGV(EW)=   2.83,Int= 4¯Å,PGA(SUM)=  88.13,PGV(SUM)=   3.61
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  21.51,BAZ=247.52,PGA(V)=  18.17,PGA(NS)=  45.15,PGA(EW)=  49.85,PGV(V)=   0.53,PGV(NS)=   1.95,PGV(EW)=   1.88,Int= 4¯Å,PGA(SUM)=  58.86,PGV(SUM)=   2.71
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  27.78,BAZ=203.56,PGA(V)=  27.52,PGA(NS)= 142.64,PGA(EW)=  56.20,PGV(V)=   0.60,PGV(NS)=   3.85,PGV(EW)=   2.01,Int= 4¯Å,PGA(SUM)= 139.20,PGV(SUM)=   4.09
Stacode=TWL ,Staname=ªF¤s  ,Stalon=120.50,Stalat=23.27,Dist=  31.01,BAZ=313.48,PGA(V)=   1.96,PGA(NS)=   3.08,PGA(EW)=   2.87,PGV(V)=   0.07,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   3.08,PGV(SUM)=   0.10
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist=  32.38,BAZ= 14.27,PGA(V)=   1.65,PGA(NS)=   2.57,PGA(EW)=   2.63,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.95,PGV(SUM)=   0.11
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  33.26,BAZ=273.64,PGA(V)=   4.03,PGA(NS)=   6.25,PGA(EW)=   5.70,PGV(V)=   0.15,PGV(NS)=   0.19,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   5.80,PGV(SUM)=   0.22
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  35.62,BAZ=358.62,PGA(V)=   1.88,PGA(NS)=   2.23,PGA(EW)=   2.26,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.18,PGV(SUM)=   0.12
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist=  38.83,BAZ=171.44,PGA(V)=  17.99,PGA(NS)=  29.02,PGA(EW)=  39.88,PGV(V)=   0.42,PGV(NS)=   1.01,PGV(EW)=   1.66,Int= 4¯Å,PGA(SUM)=  32.01,PGV(SUM)=   1.74
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist=  38.84,BAZ=222.82,PGA(V)=  12.91,PGA(NS)=  44.02,PGA(EW)=  22.79,PGV(V)=   0.37,PGV(NS)=   1.53,PGV(EW)=   1.03,Int= 4¯Å,PGA(SUM)=  39.59,PGV(SUM)=   1.65
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  38.85,BAZ=229.74,PGA(V)=  16.80,PGA(NS)=  62.26,PGA(EW)=  52.39,PGV(V)=   0.38,PGV(NS)=   1.70,PGV(EW)=   1.37,Int= 4¯Å,PGA(SUM)=  53.28,PGV(SUM)=   1.93
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.18,Dist=  39.49,BAZ=319.90,PGA(V)=   1.32,PGA(NS)=   2.40,PGA(EW)=   1.96,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.15,PGV(SUM)=   0.08
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  42.27,BAZ=304.08,PGA(V)=   0.72,PGA(NS)=   2.73,PGA(EW)=   3.22,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   2.51,PGV(SUM)=   0.07
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  43.39,BAZ=249.14,PGA(V)=   2.06,PGA(NS)=   6.19,PGA(EW)=   6.62,PGV(V)=   0.08,PGV(NS)=   0.37,PGV(EW)=   0.32,Int= 2¯Å,PGA(SUM)=   6.53,PGV(SUM)=   0.42
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist=  44.76,BAZ=181.22,PGA(V)=   7.43,PGA(NS)=  10.70,PGA(EW)=  15.54,PGV(V)=   0.15,PGV(NS)=   0.48,PGV(EW)=   0.64,Int= 3¯Å,PGA(SUM)=  10.80,PGV(SUM)=   0.66
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  46.69,BAZ=  5.44,PGA(V)=   1.12,PGA(NS)=   1.54,PGA(EW)=   1.19,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.84,PGV(SUM)=   0.06
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  48.82,BAZ=351.80,PGA(V)=   1.00,PGA(NS)=   1.70,PGA(EW)=   2.27,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.39,PGV(SUM)=   0.09
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist=  50.29,BAZ=191.50,PGA(V)=  14.90,PGA(NS)=  28.80,PGA(EW)=  19.41,PGV(V)=   0.33,PGV(NS)=   0.99,PGV(EW)=   0.51,Int= 4¯Å,PGA(SUM)=  27.85,PGV(SUM)=   1.02
