Origin Time:2024/03/13 21:36:54
Lon:121.94°E
Lat:24.39°N
Depth:27.5km
Mag:4.7
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  17.77,BAZ=111.32,PGA(V)=   8.73,PGA(NS)=  12.00,PGA(EW)=   9.61,PGV(V)=   0.18,PGV(NS)=   0.26,PGV(EW)=   0.40,Int= 3級,PGA(SUM)=   9.70,PGV(SUM)=   0.40
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  20.00,BAZ=102.55,PGA(V)=   6.80,PGA(NS)=  27.03,PGA(EW)=  25.15,PGV(V)=   0.15,PGV(NS)=   0.44,PGV(EW)=   0.45,Int= 3級,PGA(SUM)=  17.00,PGV(SUM)=   0.51
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  21.31,BAZ= 66.19,PGA(V)=   6.38,PGA(NS)=   9.61,PGA(EW)=   8.16,PGV(V)=   0.16,PGV(NS)=   0.33,PGV(EW)=   0.20,Int= 3級,PGA(SUM)=   9.04,PGV(SUM)=   0.33
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  21.48,BAZ= 72.79,PGA(V)=   3.21,PGA(NS)=   4.19,PGA(EW)=   5.29,PGV(V)=   0.13,PGV(NS)=   0.14,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   5.27,PGV(SUM)=   0.21
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  25.89,BAZ=161.40,PGA(V)=   3.40,PGA(NS)=   4.63,PGA(EW)=   7.39,PGV(V)=   0.10,PGV(NS)=   0.13,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   5.69,PGV(SUM)=   0.17
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  35.62,BAZ=140.27,PGA(V)=   1.77,PGA(NS)=   2.48,PGA(EW)=   1.79,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.55,PGV(SUM)=   0.11
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  41.03,BAZ= 52.02,PGA(V)=   1.39,PGA(NS)=   6.57,PGA(EW)=   4.91,PGV(V)=   0.02,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   4.74,PGV(SUM)=   0.11
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  45.10,BAZ=144.49,PGA(V)=   0.89,PGA(NS)=   0.84,PGA(EW)=   1.84,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.86,PGV(SUM)=   0.08
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  45.79,BAZ=155.82,PGA(V)=   1.30,PGA(NS)=   3.16,PGA(EW)=   4.81,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   4.79,PGV(SUM)=   0.22
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  46.51,BAZ=126.73,PGA(V)=   0.98,PGA(NS)=   3.58,PGA(EW)=   4.02,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   3.44,PGV(SUM)=   0.10
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  48.12,BAZ= 45.33,PGA(V)=   0.61,PGA(NS)=   0.57,PGA(EW)=   0.49,PGV(V)=   0.03,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.03
