Origin Time:2024/04/03 08:17:37
Lon:121.70°E
Lat:24.04°N
Depth:31.1km
Mag:5.4
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  11.03,BAZ= 52.22,PGA(V)=  18.54,PGA(NS)=  29.98,PGA(EW)=  29.23,PGV(V)=   0.79,PGV(NS)=   1.30,PGV(EW)=   1.41,Int= 4級,PGA(SUM)=  34.33,PGV(SUM)=   1.47
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  17.71,BAZ= 34.05,PGA(V)=  20.56,PGA(NS)=  34.71,PGA(EW)=  41.90,PGV(V)=   0.87,PGV(NS)=   1.38,PGV(EW)=   2.63,Int= 4級,PGA(SUM)=  46.16,PGV(SUM)=   2.94
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  22.39,BAZ= 69.71,PGA(V)=  18.32,PGA(NS)=  54.86,PGA(EW)=  30.65,PGV(V)=   0.71,PGV(NS)=   2.86,PGV(EW)=   1.77,Int= 4級,PGA(SUM)=  53.69,PGV(SUM)=   2.93
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  30.66,BAZ=189.58,PGA(V)=  10.06,PGA(NS)=  20.49,PGA(EW)=  21.48,PGV(V)=   0.46,PGV(NS)=   1.41,PGV(EW)=   1.35,Int= 4級,PGA(SUM)=  27.50,PGV(SUM)=   1.73
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  30.83,BAZ= 26.79,PGA(V)=   2.64,PGA(NS)=   4.88,PGA(EW)=   3.82,PGV(V)=   0.08,PGV(NS)=   0.20,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   4.75,PGV(SUM)=   0.22
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  32.74,BAZ=187.16,PGA(V)=   8.89,PGA(NS)=  19.42,PGA(EW)=  14.38,PGV(V)=   0.34,PGV(NS)=   0.57,PGV(EW)=   0.88,Int= 3級,PGA(SUM)=  17.20,PGV(SUM)=   1.01
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  36.10,BAZ= 46.58,PGA(V)=   4.77,PGA(NS)=   9.42,PGA(EW)=  11.11,PGV(V)=   0.17,PGV(NS)=   0.22,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   7.32,PGV(SUM)=   0.26
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  39.49,BAZ= 23.01,PGA(V)=   1.41,PGA(NS)=  24.51,PGA(EW)=  23.49,PGV(V)=   0.10,PGV(NS)=   0.99,PGV(EW)=   0.89,Int= 4級,PGA(SUM)=  30.60,PGV(SUM)=   1.29
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  44.98,BAZ=105.33,PGA(V)=  10.60,PGA(NS)=  15.82,PGA(EW)=  27.69,PGV(V)=   0.68,PGV(NS)=   0.76,PGV(EW)=   1.47,Int= 4級,PGA(SUM)=  28.70,PGV(SUM)=   1.61
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  49.18,BAZ= 34.24,PGA(V)=   6.58,PGA(NS)=   8.34,PGA(EW)=  10.97,PGV(V)=   0.21,PGV(NS)=   0.43,PGV(EW)=   0.40,Int= 3級,PGA(SUM)=  10.73,PGV(SUM)=   0.48
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  51.87,BAZ=116.86,PGA(V)=   3.46,PGA(NS)=  12.22,PGA(EW)=   7.28,PGV(V)=   0.29,PGV(NS)=   0.65,PGV(EW)=   0.44,Int= 3級,PGA(SUM)=  13.08,PGV(SUM)=   0.71
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  54.94,BAZ=144.02,PGA(V)=   3.36,PGA(NS)=   8.48,PGA(EW)=  10.44,PGV(V)=   0.20,PGV(NS)=   0.39,PGV(EW)=   0.82,Int= 3級,PGA(SUM)=  11.36,PGV(SUM)=   0.83
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  59.51,BAZ=113.41,PGA(V)=   1.99,PGA(NS)=   3.44,PGA(EW)=   2.78,PGV(V)=   0.11,PGV(NS)=   0.20,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   3.57,PGV(SUM)=   0.21
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  65.44,BAZ=194.44,PGA(V)=   0.93,PGA(NS)=   0.93,PGA(EW)=   2.02,PGV(V)=   0.06,PGV(NS)=   0.04,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.02,PGV(SUM)=   0.09
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  65.53,BAZ=163.23,PGA(V)=   0.73,PGA(NS)=   1.19,PGA(EW)=   1.79,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.82,PGV(SUM)=   0.11
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  66.26,BAZ=181.55,PGA(V)=   1.72,PGA(NS)=   2.08,PGA(EW)=   2.54,PGV(V)=   0.09,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.05,PGV(SUM)=   0.18
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  67.86,BAZ=169.19,PGA(V)=   1.06,PGA(NS)=   4.26,PGA(EW)=   3.77,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.72,PGV(SUM)=   0.13
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  69.93,BAZ= 32.56,PGA(V)=   2.15,PGA(NS)=   3.02,PGA(EW)=   3.37,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   3.85,PGV(SUM)=   0.18
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  75.51,BAZ= 88.02,PGA(V)=   1.35,PGA(NS)=   1.39,PGA(EW)=   2.27,PGV(V)=   0.07,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   2.51,PGV(SUM)=   0.11
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  75.57,BAZ=178.75,PGA(V)=   0.66,PGA(NS)=   1.07,PGA(EW)=   1.47,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.64,PGV(SUM)=   0.10
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  78.28,BAZ=154.47,PGA(V)=   0.94,PGA(NS)=   1.69,PGA(EW)=   2.66,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   2.53,PGV(SUM)=   0.15
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  80.12,BAZ= 91.63,PGA(V)=   0.87,PGA(NS)=   1.51,PGA(EW)=   1.52,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.52,PGV(SUM)=   0.09
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  80.82,BAZ=184.11,PGA(V)=   0.78,PGA(NS)=   1.58,PGA(EW)=   1.22,PGV(V)=   0.05,PGV(NS)=   0.18,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.88,PGV(SUM)=   0.19
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  81.10,BAZ=109.27,PGA(V)=   0.85,PGA(NS)=   1.19,PGA(EW)=   1.33,PGV(V)=   0.08,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.61,PGV(SUM)=   0.12
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  82.30,BAZ= 77.98,PGA(V)=   1.78,PGA(NS)=   3.76,PGA(EW)=   5.48,PGV(V)=   0.12,PGV(NS)=   0.36,PGV(EW)=   0.46,Int= 2級,PGA(SUM)=   5.67,PGV(SUM)=   0.49
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  83.61,BAZ= 17.61,PGA(V)=   1.64,PGA(NS)=   4.48,PGA(EW)=   3.48,PGV(V)=   0.09,PGV(NS)=   0.16,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   4.50,PGV(SUM)=   0.19
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  85.57,BAZ= 26.93,PGA(V)=   1.57,PGA(NS)=   2.04,PGA(EW)=   2.00,PGV(V)=   0.42,PGV(NS)=   0.40,PGV(EW)=   0.30,Int= 1級,PGA(SUM)=   2.41,PGV(SUM)=   0.60
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=  85.64,BAZ= 80.25,PGA(V)=   0.57,PGA(NS)=   0.73,PGA(EW)=   0.77,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.11
Stacode=NFF ,Staname=五峰  ,Stalon=121.12,Stalat=24.63,Dist=  88.53,BAZ=138.21,PGA(V)=   0.89,PGA(NS)=   0.88,PGA(EW)=   0.55,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.07
