Origin Time:2024/04/03 08:46:44
Lon:121.70¢XE
Lat:24.19¢XN
Depth:6.1km
Mag:5.6
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=   8.39,BAZ= 69.41,PGA(V)=  83.89,PGA(NS)= 412.80,PGA(EW)= 141.92,PGV(V)=   1.93,PGV(NS)=  11.14,PGV(EW)=   3.59,Int= 4¯Å,PGA(SUM)= 293.50,PGV(SUM)=  11.40
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  14.58,BAZ=200.05,PGA(V)=  85.73,PGA(NS)=  31.19,PGA(EW)=  37.32,PGV(V)=   1.70,PGV(NS)=   1.90,PGV(EW)=   1.78,Int= 4¯Å,PGA(SUM)=  70.33,PGV(SUM)=   2.22
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist=  16.43,BAZ=193.99,PGA(V)=  14.05,PGA(NS)=  21.80,PGA(EW)=  16.28,PGV(V)=   0.69,PGV(NS)=   1.44,PGV(EW)=   0.77,Int= 4¯Å,PGA(SUM)=  25.78,PGV(SUM)=   1.46
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  24.91,BAZ= 20.72,PGA(V)=  11.05,PGA(NS)=  31.83,PGA(EW)=  35.91,PGV(V)=   1.05,PGV(NS)=   2.91,PGV(EW)=   3.35,Int= 4¯Å,PGA(SUM)=  36.75,PGV(SUM)=   3.54
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  32.18,BAZ= 40.94,PGA(V)=  18.01,PGA(NS)=  22.42,PGA(EW)=  20.76,PGV(V)=   0.55,PGV(NS)=   1.02,PGV(EW)=   0.74,Int= 3¯Å,PGA(SUM)=  19.43,PGV(SUM)=   1.10
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  32.78,BAZ= 17.79,PGA(V)=  18.92,PGA(NS)=  41.22,PGA(EW)=  25.64,PGV(V)=   1.16,PGV(NS)=   2.71,PGV(EW)=   1.92,Int= 4¯Å,PGA(SUM)=  41.67,PGV(SUM)=   2.75
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=  42.74,BAZ=130.78,PGA(V)=   3.09,PGA(NS)=  10.16,PGA(EW)=   9.22,PGV(V)=   0.34,PGV(NS)=   0.49,PGV(EW)=   0.42,Int= 3¯Å,PGA(SUM)=  10.06,PGV(SUM)=   0.57
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  43.70,BAZ= 83.90,PGA(V)=   5.21,PGA(NS)=  12.30,PGA(EW)=  19.58,PGV(V)=   0.36,PGV(NS)=   0.57,PGV(EW)=   0.97,Int= 3¯Å,PGA(SUM)=  21.77,PGV(SUM)=   1.04
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  46.23,BAZ= 17.61,PGA(V)=   2.32,PGA(NS)=   4.83,PGA(EW)=   4.79,PGV(V)=   0.20,PGV(NS)=   0.45,PGV(EW)=   0.34,Int= 2¯Å,PGA(SUM)=   5.44,PGV(SUM)=   0.50
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  46.86,BAZ= 98.46,PGA(V)=   2.81,PGA(NS)=   7.62,PGA(EW)=   5.07,PGV(V)=   0.20,PGV(NS)=   0.59,PGV(EW)=   0.29,Int= 2¯Å,PGA(SUM)=   7.68,PGV(SUM)=   0.62
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  49.01,BAZ= 32.47,PGA(V)=   5.62,PGA(NS)=   7.95,PGA(EW)=  11.32,PGV(V)=   0.28,PGV(NS)=   0.34,PGV(EW)=   0.43,Int= 3¯Å,PGA(SUM)=  10.61,PGV(SUM)=   0.48
Stacode=TWC ,Staname=Ä¬¿D  ,Stalon=121.86,Stalat=24.61,Dist=  49.56,BAZ=199.09,PGA(V)=   1.57,PGA(NS)=   1.67,PGA(EW)=   2.48,PGV(V)=   0.11,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.26,PGV(SUM)=   0.16
