Origin Time:2024/04/03 09:07:16
Lon:121.70°E
Lat:24.05°N
Depth:21.8km
Mag:5.0
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  12.20,BAZ= 47.21,PGA(V)=   6.48,PGA(NS)=  16.82,PGA(EW)=  13.70,PGV(V)=   0.19,PGV(NS)=   0.95,PGV(EW)=   0.60,Int= 3級,PGA(SUM)=  14.92,PGV(SUM)=   0.97
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  14.46,BAZ=146.47,PGA(V)=  29.05,PGA(NS)= 116.58,PGA(EW)=  86.63,PGV(V)=   0.43,PGV(NS)=   2.23,PGV(EW)=   1.06,Int= 4級,PGA(SUM)=  85.68,PGV(SUM)=   2.24
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  19.13,BAZ= 32.07,PGA(V)=   8.07,PGA(NS)=  25.12,PGA(EW)=  19.17,PGV(V)=   0.31,PGV(NS)=   1.23,PGV(EW)=   0.77,Int= 3級,PGA(SUM)=  24.98,PGV(SUM)=   1.24
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  23.18,BAZ= 66.35,PGA(V)=  15.10,PGA(NS)=  26.20,PGA(EW)=  29.90,PGV(V)=   0.33,PGV(NS)=   0.59,PGV(EW)=   0.56,Int= 3級,PGA(SUM)=  23.95,PGV(SUM)=   0.84
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  29.11,BAZ=189.62,PGA(V)=  16.89,PGA(NS)=  13.19,PGA(EW)=  14.74,PGV(V)=   0.30,PGV(NS)=   0.34,PGV(EW)=   0.47,Int= 3級,PGA(SUM)=  14.15,PGV(SUM)=   0.53
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  32.31,BAZ= 25.94,PGA(V)=   1.63,PGA(NS)=   1.54,PGA(EW)=   2.34,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   2.12,PGV(SUM)=   0.16
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  37.33,BAZ= 45.13,PGA(V)=   4.62,PGA(NS)=   7.64,PGA(EW)=  11.96,PGV(V)=   0.13,PGV(NS)=   0.15,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   6.70,PGV(SUM)=   0.26
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  41.00,BAZ= 22.48,PGA(V)=   0.55,PGA(NS)=   4.61,PGA(EW)=   4.79,PGV(V)=   0.08,PGV(NS)=   0.24,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   5.46,PGV(SUM)=   0.32
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  44.83,BAZ=103.37,PGA(V)=   5.05,PGA(NS)=   9.41,PGA(EW)=  10.04,PGV(V)=   0.22,PGV(NS)=   0.38,PGV(EW)=   0.46,Int= 3級,PGA(SUM)=  11.41,PGV(SUM)=   0.58
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  50.58,BAZ= 33.48,PGA(V)=   3.69,PGA(NS)=   3.01,PGA(EW)=   3.85,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   3.55,PGV(SUM)=   0.17
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  51.41,BAZ=115.22,PGA(V)=   1.60,PGA(NS)=   4.02,PGA(EW)=   3.29,PGV(V)=   0.08,PGV(NS)=   0.17,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   3.83,PGV(SUM)=   0.18
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  53.85,BAZ=142.86,PGA(V)=   2.09,PGA(NS)=  11.22,PGA(EW)=   6.34,PGV(V)=   0.11,PGV(NS)=   0.51,PGV(EW)=   0.47,Int= 3級,PGA(SUM)=  10.95,PGV(SUM)=   0.59
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  59.14,BAZ=111.96,PGA(V)=   2.24,PGA(NS)=   4.77,PGA(EW)=   2.90,PGV(V)=   0.09,PGV(NS)=   0.20,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   4.98,PGV(SUM)=   0.23
