Origin Time:2024/04/03 09:17:43
Lon:121.67¢XE
Lat:24.04¢XN
Depth:35.7km
Mag:5.2
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=   9.43,BAZ= 37.94,PGA(V)=   4.55,PGA(NS)=  12.42,PGA(EW)=  11.94,PGV(V)=   0.15,PGV(NS)=   0.84,PGV(EW)=   0.77,Int= 3¯Å,PGA(SUM)=  12.50,PGV(SUM)=   1.11
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  13.78,BAZ=159.45,PGA(V)=   3.96,PGA(NS)=  20.21,PGA(EW)=   9.05,PGV(V)=   0.09,PGV(NS)=   0.64,PGV(EW)=   0.31,Int= 3¯Å,PGA(SUM)=  18.39,PGV(SUM)=   0.65
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  16.88,BAZ= 24.51,PGA(V)=   4.32,PGA(NS)=  11.15,PGA(EW)=  11.03,PGV(V)=   0.20,PGV(NS)=   0.59,PGV(EW)=   0.62,Int= 3¯Å,PGA(SUM)=  11.91,PGV(SUM)=   0.66
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  19.95,BAZ= 64.96,PGA(V)=   6.29,PGA(NS)=  10.79,PGA(EW)=   9.54,PGV(V)=   0.16,PGV(NS)=   0.34,PGV(EW)=   0.38,Int= 3¯Å,PGA(SUM)=  10.16,PGV(SUM)=   0.43
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  30.27,BAZ= 21.26,PGA(V)=   0.72,PGA(NS)=   1.38,PGA(EW)=   1.32,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.46,PGV(SUM)=   0.09
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  30.62,BAZ=195.18,PGA(V)=   4.53,PGA(NS)=   8.13,PGA(EW)=   6.15,PGV(V)=   0.19,PGV(NS)=   0.38,PGV(EW)=   0.33,Int= 3¯Å,PGA(SUM)=   8.98,PGV(SUM)=   0.43
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  34.54,BAZ= 42.43,PGA(V)=   2.57,PGA(NS)=   6.40,PGA(EW)=   5.15,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   4.42,PGV(SUM)=   0.15
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  39.09,BAZ= 18.67,PGA(V)=   0.32,PGA(NS)=   6.42,PGA(EW)=   5.60,PGV(V)=   0.06,PGV(NS)=   0.21,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   5.94,PGV(SUM)=   0.27
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  41.99,BAZ=105.49,PGA(V)=   2.50,PGA(NS)=   6.27,PGA(EW)=   6.38,PGV(V)=   0.12,PGV(NS)=   0.21,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   6.73,PGV(SUM)=   0.31
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  43.24,BAZ=190.62,PGA(V)=   4.87,PGA(NS)=  11.68,PGA(EW)=  12.58,PGV(V)=   0.10,PGV(NS)=   0.20,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   7.38,PGV(SUM)=   0.21
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  48.18,BAZ= 30.91,PGA(V)=   3.38,PGA(NS)=   3.82,PGA(EW)=   4.41,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.86,PGV(SUM)=   0.14
