Origin Time:2024/04/03 10:23:25
Lon:121.66°E
Lat:24.15°N
Depth:18.1km
Mag:5.0
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=   3.51,BAZ=109.12,PGA(V)=  13.38,PGA(NS)=  37.48,PGA(EW)=  27.29,PGV(V)=   0.19,PGV(NS)=   0.88,PGV(EW)=   0.75,Int= 4級,PGA(SUM)=  27.68,PGV(SUM)=   0.95
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  20.19,BAZ=208.19,PGA(V)=  18.38,PGA(NS)=  30.10,PGA(EW)=  26.49,PGV(V)=   0.45,PGV(NS)=   0.98,PGV(EW)=   0.63,Int= 4級,PGA(SUM)=  35.80,PGV(SUM)=   1.06
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  26.12,BAZ= 39.31,PGA(V)=  10.14,PGA(NS)=  18.08,PGA(EW)=  13.11,PGV(V)=   0.28,PGV(NS)=   0.50,PGV(EW)=   0.39,Int= 3級,PGA(SUM)=  17.60,PGV(SUM)=   0.57
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  27.66,BAZ= 11.41,PGA(V)=   3.59,PGA(NS)=  10.95,PGA(EW)=   9.80,PGV(V)=   0.23,PGV(NS)=   0.78,PGV(EW)=   0.53,Int= 3級,PGA(SUM)=  13.62,PGV(SUM)=   0.93
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  32.17,BAZ=197.16,PGA(V)=   5.63,PGA(NS)=  22.48,PGA(EW)=  19.10,PGV(V)=   0.10,PGV(NS)=   0.25,PGV(EW)=   0.28,Int= 3級,PGA(SUM)=  10.07,PGV(SUM)=   0.31
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  38.93,BAZ= 89.20,PGA(V)=   6.49,PGA(NS)=   8.58,PGA(EW)=  19.00,PGV(V)=   0.32,PGV(NS)=   0.54,PGV(EW)=   0.96,Int= 3級,PGA(SUM)=  19.38,PGV(SUM)=   0.99
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  41.06,BAZ= 13.30,PGA(V)=   0.63,PGA(NS)=   1.38,PGA(EW)=   1.28,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.59,PGV(SUM)=   0.14
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  42.42,BAZ=139.00,PGA(V)=   1.92,PGA(NS)=  10.01,PGA(EW)=   6.04,PGV(V)=   0.08,PGV(NS)=   0.36,PGV(EW)=   0.30,Int= 3級,PGA(SUM)=   8.96,PGV(SUM)=   0.47
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  43.14,BAZ= 30.30,PGA(V)=   2.92,PGA(NS)=   5.14,PGA(EW)=   5.88,PGV(V)=   0.15,PGV(NS)=   0.21,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   5.71,PGV(SUM)=   0.26
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  43.24,BAZ=104.73,PGA(V)=   3.11,PGA(NS)=   9.99,PGA(EW)=   7.46,PGV(V)=   0.12,PGV(NS)=   0.33,PGV(EW)=   0.30,Int= 3級,PGA(SUM)=   9.79,PGV(SUM)=   0.37
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  50.01,BAZ= 12.69,PGA(V)=   0.18,PGA(NS)=   3.49,PGA(EW)=   2.73,PGV(V)=   0.05,PGV(NS)=   0.18,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   4.00,PGV(SUM)=   0.20
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  51.39,BAZ=102.59,PGA(V)=   2.30,PGA(NS)=   6.38,PGA(EW)=   2.97,PGV(V)=   0.13,PGV(NS)=   0.35,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   6.67,PGV(SUM)=   0.37
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  52.35,BAZ=163.95,PGA(V)=   0.69,PGA(NS)=   1.18,PGA(EW)=   1.33,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.44,PGV(SUM)=   0.13
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  54.15,BAZ=186.59,PGA(V)=   2.25,PGA(NS)=   2.49,PGA(EW)=   2.30,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.74,PGV(SUM)=   0.14
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  54.84,BAZ=171.30,PGA(V)=   1.60,PGA(NS)=   4.38,PGA(EW)=   4.12,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   3.72,PGV(SUM)=   0.15
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  55.00,BAZ=202.16,PGA(V)=   0.72,PGA(NS)=   0.72,PGA(EW)=   1.14,PGV(V)=   0.03,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.04
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  57.95,BAZ= 23.61,PGA(V)=   1.79,PGA(NS)=   3.14,PGA(EW)=   2.69,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.96,PGV(SUM)=   0.16
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  63.17,BAZ=182.52,PGA(V)=   0.54,PGA(NS)=   0.89,PGA(EW)=   1.08,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.20,PGV(SUM)=   0.10
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  65.15,BAZ=153.27,PGA(V)=   0.47,PGA(NS)=   0.95,PGA(EW)=   1.22,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.09
