Origin Time:2024/04/03 11:12:30
Lon:121.65¢XE
Lat:23.87¢XN
Depth:31.9km
Mag:4.7
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=   6.72,BAZ=127.58,PGA(V)=   4.37,PGA(NS)=   8.06,PGA(EW)=   7.46,PGV(V)=   0.09,PGV(NS)=   0.21,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   6.69,PGV(SUM)=   0.25
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  12.70,BAZ=161.06,PGA(V)=   1.27,PGA(NS)=   4.02,PGA(EW)=   3.52,PGV(V)=   0.03,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   3.62,PGV(SUM)=   0.14
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  12.77,BAZ= 46.75,PGA(V)=   0.74,PGA(NS)=   1.30,PGA(EW)=   1.11,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.32,PGV(SUM)=   0.05
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  19.76,BAZ=123.85,PGA(V)=   6.68,PGA(NS)=   6.58,PGA(EW)=   5.26,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   4.46,PGV(SUM)=   0.12
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  20.65,BAZ= 31.67,PGA(V)=   0.54,PGA(NS)=  13.33,PGA(EW)=  10.70,PGV(V)=   0.03,PGV(NS)=   0.37,PGV(EW)=   0.26,Int= 3¯Å,PGA(SUM)=  12.32,PGV(SUM)=   0.38
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  22.46,BAZ= 74.41,PGA(V)=   3.11,PGA(NS)=   6.11,PGA(EW)=   6.64,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   3.91,PGV(SUM)=   0.12
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  31.81,BAZ= 46.53,PGA(V)=   3.75,PGA(NS)=   4.87,PGA(EW)=   4.05,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   4.65,PGV(SUM)=   0.14
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  32.52,BAZ=174.42,PGA(V)=   3.51,PGA(NS)=  13.14,PGA(EW)=  10.35,PGV(V)=   0.04,PGV(NS)=   0.19,PGV(EW)=   0.15,Int= 3¯Å,PGA(SUM)=   9.76,PGV(SUM)=   0.23
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  49.47,BAZ=128.31,PGA(V)=   1.10,PGA(NS)=   2.24,PGA(EW)=   3.16,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   2.98,PGV(SUM)=   0.13
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  49.96,BAZ=191.19,PGA(V)=   2.37,PGA(NS)=   3.57,PGA(EW)=   2.82,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 2¯Å,PGA(SUM)=   2.78,PGV(SUM)=   0.08
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  52.02,BAZ= 39.45,PGA(V)=   0.87,PGA(NS)=   1.43,PGA(EW)=   1.68,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.17,PGV(SUM)=   0.05
