Origin Time:2024/04/03 16:17:12
Lon:121.63°E
Lat:24.03°N
Depth:23.6km
Mag:4.9
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=   6.61,BAZ= 17.16,PGA(V)=   4.39,PGA(NS)=  12.76,PGA(EW)=  18.87,PGV(V)=   0.20,PGV(NS)=   0.69,PGV(EW)=   0.92,Int= 3級,PGA(SUM)=  18.91,PGV(SUM)=   0.95
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  14.07,BAZ=175.95,PGA(V)=   3.97,PGA(NS)=  16.81,PGA(EW)=  11.18,PGV(V)=   0.08,PGV(NS)=   0.44,PGV(EW)=   0.32,Int= 3級,PGA(SUM)=  12.67,PGV(SUM)=   0.45
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  14.58,BAZ= 12.49,PGA(V)=   7.10,PGA(NS)=  11.10,PGA(EW)=  15.71,PGV(V)=   0.32,PGV(NS)=   0.56,PGV(EW)=   0.85,Int= 3級,PGA(SUM)=  16.34,PGV(SUM)=   0.94
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  16.00,BAZ= 62.78,PGA(V)=  10.99,PGA(NS)=  28.99,PGA(EW)=  18.61,PGV(V)=   0.29,PGV(NS)=   1.12,PGV(EW)=   0.83,Int= 4級,PGA(SUM)=  28.82,PGV(SUM)=   1.19
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  28.00,BAZ= 14.74,PGA(V)=   1.00,PGA(NS)=   1.81,PGA(EW)=   2.32,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.47,PGV(SUM)=   0.12
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  31.18,BAZ= 38.60,PGA(V)=   2.63,PGA(NS)=   5.24,PGA(EW)=   5.34,PGV(V)=   0.09,PGV(NS)=   0.14,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   4.18,PGV(SUM)=   0.19
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  32.89,BAZ=201.14,PGA(V)=   4.37,PGA(NS)=   5.29,PGA(EW)=   8.22,PGV(V)=   0.17,PGV(NS)=   0.30,PGV(EW)=   0.45,Int= 3級,PGA(SUM)=   9.89,PGV(SUM)=   0.53
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  34.66,BAZ=198.21,PGA(V)=   2.83,PGA(NS)=   4.62,PGA(EW)=   5.22,PGV(V)=   0.14,PGV(NS)=   0.25,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   6.42,PGV(SUM)=   0.37
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  36.94,BAZ= 13.57,PGA(V)=   0.26,PGA(NS)=   4.33,PGA(EW)=   4.08,PGV(V)=   0.05,PGV(NS)=   0.18,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   4.06,PGV(SUM)=   0.24
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  38.64,BAZ=108.62,PGA(V)=   2.52,PGA(NS)=   5.39,PGA(EW)=   7.02,PGV(V)=   0.12,PGV(NS)=   0.17,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   7.35,PGV(SUM)=   0.29
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  45.20,BAZ=195.15,PGA(V)=   2.17,PGA(NS)=   5.48,PGA(EW)=   5.80,PGV(V)=   0.06,PGV(NS)=   0.21,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   5.15,PGV(SUM)=   0.22
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  45.32,BAZ= 27.46,PGA(V)=   2.03,PGA(NS)=   3.52,PGA(EW)=   3.10,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.96,PGV(SUM)=   0.19
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  46.17,BAZ=121.14,PGA(V)=   1.38,PGA(NS)=   3.92,PGA(EW)=   2.72,PGV(V)=   0.08,PGV(NS)=   0.25,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   4.67,PGV(SUM)=   0.27
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  48.07,BAZ=197.92,PGA(V)=   3.47,PGA(NS)=   4.42,PGA(EW)=   4.35,PGV(V)=   0.13,PGV(NS)=   0.22,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   5.41,PGV(SUM)=   0.26
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  51.65,BAZ=150.38,PGA(V)=   1.98,PGA(NS)=   5.50,PGA(EW)=   3.25,PGV(V)=   0.09,PGV(NS)=   0.24,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   5.18,PGV(SUM)=   0.24
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  53.58,BAZ=116.72,PGA(V)=   1.12,PGA(NS)=   4.17,PGA(EW)=   2.53,PGV(V)=   0.05,PGV(NS)=   0.17,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   4.00,PGV(SUM)=   0.17
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  64.35,BAZ=169.10,PGA(V)=   0.40,PGA(NS)=   0.61,PGA(EW)=   0.93,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.05
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  66.14,BAZ= 27.81,PGA(V)=   0.53,PGA(NS)=   0.86,PGA(EW)=   0.97,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.04
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  67.22,BAZ=187.30,PGA(V)=   1.58,PGA(NS)=   1.64,PGA(EW)=   2.61,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   2.96,PGV(SUM)=   0.19
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  67.36,BAZ=174.90,PGA(V)=   0.72,PGA(NS)=   2.52,PGA(EW)=   1.95,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.61,PGV(SUM)=   0.09
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  74.92,BAZ=111.30,PGA(V)=   0.41,PGA(NS)=   0.77,PGA(EW)=   1.01,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.06
