Origin Time:2024/04/03 17:20:09
Lon:121.69¢XE
Lat:23.98¢XN
Depth:35.2km
Mag:4.6
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=   8.23,BAZ= 83.18,PGA(V)=   1.94,PGA(NS)=   4.81,PGA(EW)=   4.69,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   4.34,PGV(SUM)=   0.18
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  12.93,BAZ= 46.51,PGA(V)=   6.10,PGA(NS)=   6.53,PGA(EW)=   6.43,PGV(V)=   0.08,PGV(NS)=   0.22,PGV(EW)=   0.24,Int= 3¯Å,PGA(SUM)=   8.21,PGV(SUM)=   0.27
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  20.55,BAZ= 84.45,PGA(V)=   3.83,PGA(NS)=   6.92,PGA(EW)=   5.84,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   3.92,PGV(SUM)=   0.18
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  20.67,BAZ=159.57,PGA(V)=   2.94,PGA(NS)=  12.16,PGA(EW)=   7.65,PGV(V)=   0.04,PGV(NS)=   0.20,PGV(EW)=   0.12,Int= 3¯Å,PGA(SUM)=   8.05,PGV(SUM)=   0.20
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  31.97,BAZ= 53.46,PGA(V)=   1.87,PGA(NS)=   5.34,PGA(EW)=   3.97,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.63,PGV(SUM)=   0.05
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  34.01,BAZ= 25.98,PGA(V)=   0.47,PGA(NS)=   3.38,PGA(EW)=   3.87,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   3.45,PGV(SUM)=   0.12
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  36.45,BAZ=188.91,PGA(V)=   2.41,PGA(NS)=   3.17,PGA(EW)=   2.98,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   2.68,PGV(SUM)=   0.11
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist=  38.54,BAZ=186.89,PGA(V)=   1.83,PGA(NS)=   2.33,PGA(EW)=   1.95,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.91,PGV(SUM)=   0.07
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  44.19,BAZ= 37.88,PGA(V)=   3.87,PGA(NS)=   2.46,PGA(EW)=   3.37,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.64,PGV(SUM)=   0.10
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  46.35,BAZ=112.42,PGA(V)=   1.53,PGA(NS)=   3.64,PGA(EW)=   4.03,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   4.40,PGV(SUM)=   0.14
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  49.28,BAZ=186.53,PGA(V)=   2.00,PGA(NS)=   7.00,PGA(EW)=   6.07,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   3.48,PGV(SUM)=   0.11
