Origin Time:2024/04/03 17:53:09
Lon:121.66¢XE
Lat:24.01¢XN
Depth:35.9km
Mag:4.7
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  13.02,BAZ= 29.48,PGA(V)=   3.90,PGA(NS)=   9.12,PGA(EW)=   9.86,PGV(V)=   0.11,PGV(NS)=   0.21,PGV(EW)=   0.22,Int= 3¯Å,PGA(SUM)=   9.71,PGV(SUM)=   0.28
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  17.46,BAZ=165.92,PGA(V)=   4.75,PGA(NS)=  15.06,PGA(EW)=  10.30,PGV(V)=   0.07,PGV(NS)=   0.45,PGV(EW)=   0.18,Int= 3¯Å,PGA(SUM)=  14.09,PGV(SUM)=   0.48
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  31.25,BAZ= 46.61,PGA(V)=   1.84,PGA(NS)=   4.06,PGA(EW)=   3.63,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.84,PGV(SUM)=   0.07
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  34.66,BAZ=194.38,PGA(V)=   4.15,PGA(NS)=   4.62,PGA(EW)=   4.74,PGV(V)=   0.10,PGV(NS)=   0.19,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   5.31,PGV(SUM)=   0.19
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  35.10,BAZ= 19.86,PGA(V)=   0.17,PGA(NS)=   2.56,PGA(EW)=   2.56,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   2.53,PGV(SUM)=   0.10
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist=  36.62,BAZ=191.95,PGA(V)=   3.32,PGA(NS)=   3.80,PGA(EW)=   4.58,PGV(V)=   0.12,PGV(NS)=   0.20,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   5.30,PGV(SUM)=   0.27
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  42.69,BAZ=110.91,PGA(V)=   1.92,PGA(NS)=   4.27,PGA(EW)=   5.79,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   5.94,PGV(SUM)=   0.23
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  44.45,BAZ= 32.92,PGA(V)=   1.92,PGA(NS)=   1.76,PGA(EW)=   2.48,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   2.54,PGV(SUM)=   0.06
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  47.31,BAZ=190.43,PGA(V)=   2.23,PGA(NS)=   8.50,PGA(EW)=   7.55,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   4.89,PGV(SUM)=   0.18
Stacode=EWT ,Staname=ªZ¶ð  ,Stalon=121.78,Stalat=24.45,Dist=  49.99,BAZ=193.35,PGA(V)=   3.41,PGA(NS)=   3.38,PGA(EW)=   4.15,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   4.02,PGV(SUM)=   0.17
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  50.47,BAZ=122.05,PGA(V)=   2.61,PGA(NS)=   3.09,PGA(EW)=   2.57,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.69,PGV(SUM)=   0.10
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=  55.80,BAZ=148.95,PGA(V)=   0.86,PGA(NS)=   2.86,PGA(EW)=   2.89,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.99,PGV(SUM)=   0.11
Stacode=TWT ,Staname=¼w°ò  ,Stalon=121.16,Stalat=24.25,Dist=  57.80,BAZ=117.83,PGA(V)=   0.81,PGA(NS)=   2.82,PGA(EW)=   1.24,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.05,Int= 2¯Å,PGA(SUM)=   2.68,PGV(SUM)=   0.10
Stacode=TWC ,Staname=Ä¬¿D  ,Stalon=121.86,Stalat=24.61,Dist=  69.60,BAZ=196.55,PGA(V)=   0.57,PGA(NS)=   0.63,PGA(EW)=   1.01,PGV(V)=   0.02,PGV(NS)=   0.01,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.04
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist=  69.78,BAZ=184.35,PGA(V)=   0.73,PGA(NS)=   0.88,PGA(EW)=   1.18,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.12,PGV(SUM)=   0.05
Stacode=ENT ,Staname=¤û°«  ,Stalon=121.57,Stalat=24.64,Dist=  70.60,BAZ=172.49,PGA(V)=   0.52,PGA(NS)=   2.45,PGA(EW)=   2.93,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   2.20,PGV(SUM)=   0.05
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist=  76.79,BAZ= 94.20,PGA(V)=   0.30,PGA(NS)=   1.12,PGA(EW)=   1.39,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.38,PGV(SUM)=   0.04
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  78.22,BAZ= 79.84,PGA(V)=   0.26,PGA(NS)=   0.57,PGA(EW)=   1.39,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.47,PGV(SUM)=   0.08
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist=  79.02,BAZ=112.40,PGA(V)=   0.33,PGA(NS)=   0.57,PGA(EW)=   0.85,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.04
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  79.40,BAZ= 15.92,PGA(V)=   0.32,PGA(NS)=   0.83,PGA(EW)=   0.60,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.06
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  89.49,BAZ= 67.46,PGA(V)=   0.37,PGA(NS)=   0.90,PGA(EW)=   0.71,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.03
Stacode=NTC ,Staname=ÀY«°  ,Stalon=121.83,Stalat=24.85,Dist=  95.38,BAZ=190.14,PGA(V)=   0.58,PGA(NS)=   0.79,PGA(EW)=   0.71,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.91,PGV(SUM)=   0.04
