Origin Time:2024/04/03 23:39:10
Lon:121.68°E
Lat:24.16°N
Depth:19.4km
Mag:5.1
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=   5.86,BAZ= 83.34,PGA(V)=  21.68,PGA(NS)=  80.51,PGA(EW)=  39.03,PGV(V)=   0.23,PGV(NS)=   1.38,PGV(EW)=   0.55,Int= 4級,PGA(SUM)=  55.45,PGV(SUM)=   1.43
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  17.45,BAZ=203.76,PGA(V)=  11.34,PGA(NS)=  14.48,PGA(EW)=  17.89,PGV(V)=   0.37,PGV(NS)=   0.46,PGV(EW)=   0.48,Int= 3級,PGA(SUM)=  18.98,PGV(SUM)=   0.59
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  19.18,BAZ=198.24,PGA(V)=   7.48,PGA(NS)=  10.94,PGA(EW)=  11.24,PGV(V)=   0.24,PGV(NS)=   0.31,PGV(EW)=   0.40,Int= 3級,PGA(SUM)=  10.83,PGV(SUM)=   0.42
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  22.09,BAZ= 17.87,PGA(V)=   3.47,PGA(NS)=   6.68,PGA(EW)=   7.80,PGV(V)=   0.19,PGV(NS)=   0.32,PGV(EW)=   0.42,Int= 3級,PGA(SUM)=   8.96,PGV(SUM)=   0.49
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  29.13,BAZ= 40.85,PGA(V)=   8.71,PGA(NS)=  16.84,PGA(EW)=  13.24,PGV(V)=   0.22,PGV(NS)=   0.48,PGV(EW)=   0.33,Int= 3級,PGA(SUM)=  14.00,PGV(SUM)=   0.50
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  29.75,BAZ=193.58,PGA(V)=   5.75,PGA(NS)=  22.36,PGA(EW)=  17.46,PGV(V)=   0.10,PGV(NS)=   0.32,PGV(EW)=   0.23,Int= 3級,PGA(SUM)=   8.94,PGV(SUM)=   0.33
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  30.02,BAZ= 15.42,PGA(V)=   3.81,PGA(NS)=   8.51,PGA(EW)=   9.99,PGV(V)=   0.18,PGV(NS)=   0.54,PGV(EW)=   0.42,Int= 3級,PGA(SUM)=  11.60,PGV(SUM)=   0.55
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  32.59,BAZ=197.80,PGA(V)=   7.15,PGA(NS)=   5.80,PGA(EW)=   6.75,PGV(V)=   0.12,PGV(NS)=   0.21,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   6.07,PGV(SUM)=   0.22
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  41.49,BAZ= 86.72,PGA(V)=   5.38,PGA(NS)=  10.43,PGA(EW)=  15.12,PGV(V)=   0.30,PGV(NS)=   0.45,PGV(EW)=   0.59,Int= 3級,PGA(SUM)=  15.65,PGV(SUM)=   0.69
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  42.80,BAZ=134.86,PGA(V)=   2.65,PGA(NS)=  11.17,PGA(EW)=   7.74,PGV(V)=   0.10,PGV(NS)=   0.40,PGV(EW)=   0.38,Int= 3級,PGA(SUM)=   9.55,PGV(SUM)=   0.52
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  43.47,BAZ= 15.96,PGA(V)=   0.74,PGA(NS)=   1.46,PGA(EW)=   1.59,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.66,PGV(SUM)=   0.09
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  45.26,BAZ=101.68,PGA(V)=   3.32,PGA(NS)=   4.70,PGA(EW)=   4.27,PGV(V)=   0.15,PGV(NS)=   0.19,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   5.02,PGV(SUM)=   0.23
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  46.00,BAZ= 31.85,PGA(V)=   2.88,PGA(NS)=   4.19,PGA(EW)=   5.03,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   4.28,PGV(SUM)=   0.18
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  51.36,BAZ=160.70,PGA(V)=   0.79,PGA(NS)=   1.18,PGA(EW)=   1.22,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.76,PGV(SUM)=   0.13
