Origin Time:2024/04/03 23:42:36
Lon:121.68°E
Lat:24.17°N
Depth:18.8km
Mag:5.1
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=   5.69,BAZ= 78.63,PGA(V)=  28.36,PGA(NS)= 100.72,PGA(EW)=  53.05,PGV(V)=   0.38,PGV(NS)=   1.68,PGV(EW)=   1.01,Int= 4級,PGA(SUM)=  63.50,PGV(SUM)=   1.80
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  17.14,BAZ=205.09,PGA(V)=  24.46,PGA(NS)=  34.93,PGA(EW)=  65.77,PGV(V)=   0.55,PGV(NS)=   1.07,PGV(EW)=   1.87,Int= 4級,PGA(SUM)=  61.46,PGV(SUM)=   1.87
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  18.84,BAZ=199.35,PGA(V)=  12.44,PGA(NS)=  31.90,PGA(EW)=  18.44,PGV(V)=   0.52,PGV(NS)=   1.04,PGV(EW)=   0.79,Int= 4級,PGA(SUM)=  31.44,PGV(SUM)=   1.18
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  22.44,BAZ= 16.95,PGA(V)=   3.15,PGA(NS)=   7.37,PGA(EW)=   7.84,PGV(V)=   0.19,PGV(NS)=   0.39,PGV(EW)=   0.48,Int= 3級,PGA(SUM)=   8.50,PGV(SUM)=   0.51
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  29.31,BAZ= 39.93,PGA(V)=  13.73,PGA(NS)=  13.26,PGA(EW)=  10.24,PGV(V)=   0.27,PGV(NS)=   0.37,PGV(EW)=   0.33,Int= 3級,PGA(SUM)=  10.09,PGV(SUM)=   0.43
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  29.37,BAZ=194.24,PGA(V)=  12.52,PGA(NS)=  43.91,PGA(EW)=  39.60,PGV(V)=   0.20,PGV(NS)=   0.67,PGV(EW)=   0.53,Int= 4級,PGA(SUM)=  30.34,PGV(SUM)=   0.86
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  30.39,BAZ= 14.76,PGA(V)=   3.15,PGA(NS)=   8.64,PGA(EW)=   5.94,PGV(V)=   0.13,PGV(NS)=   0.54,PGV(EW)=   0.37,Int= 3級,PGA(SUM)=   8.47,PGV(SUM)=   0.56
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  32.24,BAZ=198.44,PGA(V)=  13.87,PGA(NS)=  36.76,PGA(EW)=  24.06,PGV(V)=   0.31,PGV(NS)=   0.74,PGV(EW)=   0.55,Int= 4級,PGA(SUM)=  27.27,PGV(SUM)=   0.74
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  41.29,BAZ= 86.09,PGA(V)=   5.47,PGA(NS)=   9.97,PGA(EW)=  11.14,PGV(V)=   0.28,PGV(NS)=   0.54,PGV(EW)=   0.47,Int= 3級,PGA(SUM)=  11.09,PGV(SUM)=   0.57
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  42.32,BAZ=134.66,PGA(V)=   3.07,PGA(NS)=  12.99,PGA(EW)=  13.23,PGV(V)=   0.13,PGV(NS)=   0.38,PGV(EW)=   0.60,Int= 3級,PGA(SUM)=  14.19,PGV(SUM)=   0.64
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  43.83,BAZ= 15.50,PGA(V)=   0.45,PGA(NS)=   0.70,PGA(EW)=   1.09,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.06
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  44.94,BAZ=101.19,PGA(V)=   7.28,PGA(NS)=   4.21,PGA(EW)=   6.04,PGV(V)=   0.23,PGV(NS)=   0.19,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   6.87,PGV(SUM)=   0.25
