Origin Time:2024/04/05 12:50:51
Lon:121.70¢XE
Lat:24.12¢XN
Depth:18.0km
Mag:5.5
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=   8.76,BAZ=120.96,PGA(V)=  32.50,PGA(NS)= 138.30,PGA(EW)=  69.81,PGV(V)=   0.48,PGV(NS)=   3.09,PGV(EW)=   2.17,Int= 4¯Å,PGA(SUM)= 113.78,PGV(SUM)=   3.38
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  10.23,BAZ= 66.53,PGA(V)=  14.60,PGA(NS)=  19.58,PGA(EW)=  26.31,PGV(V)=   0.35,PGV(NS)=   0.89,PGV(EW)=   0.80,Int= 3¯Å,PGA(SUM)=  20.12,PGV(SUM)=   1.00
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  17.96,BAZ= 28.15,PGA(V)=  14.10,PGA(NS)=  56.25,PGA(EW)=  34.49,PGV(V)=   0.68,PGV(NS)=   1.95,PGV(EW)=   2.19,Int= 4¯Å,PGA(SUM)=  55.84,PGV(SUM)=   2.44
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  21.82,BAZ=194.17,PGA(V)=  20.09,PGA(NS)=  23.97,PGA(EW)=  29.01,PGV(V)=   0.96,PGV(NS)=   1.27,PGV(EW)=   1.05,Int= 4¯Å,PGA(SUM)=  29.03,PGV(SUM)=   1.38
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist=  23.80,BAZ=190.44,PGA(V)=  14.64,PGA(NS)=  20.84,PGA(EW)=  20.78,PGV(V)=   0.70,PGV(NS)=   1.04,PGV(EW)=   0.92,Int= 3¯Å,PGA(SUM)=  24.51,PGV(SUM)=   1.30
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  26.73,BAZ= 50.93,PGA(V)=  25.22,PGA(NS)=  53.48,PGA(EW)=  32.43,PGV(V)=   0.97,PGV(NS)=   2.02,PGV(EW)=   0.88,Int= 4¯Å,PGA(SUM)=  46.85,PGV(SUM)=   2.07
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  34.51,BAZ=188.83,PGA(V)=  12.96,PGA(NS)=  36.45,PGA(EW)=  42.50,PGV(V)=   0.21,PGV(NS)=   0.62,PGV(EW)=   0.60,Int= 3¯Å,PGA(SUM)=  22.41,PGV(SUM)=   0.76
Stacode=EWT ,Staname=ªZ¶ð  ,Stalon=121.78,Stalat=24.45,Dist=  37.15,BAZ=192.86,PGA(V)=  10.66,PGA(NS)=  17.23,PGA(EW)=  26.33,PGV(V)=   0.36,PGV(NS)=   0.99,PGV(EW)=   1.24,Int= 3¯Å,PGA(SUM)=  24.52,PGV(SUM)=   1.27
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  39.07,BAZ= 20.45,PGA(V)=   3.53,PGA(NS)=   6.04,PGA(EW)=   9.60,PGV(V)=   0.19,PGV(NS)=   0.27,PGV(EW)=   0.53,Int= 3¯Å,PGA(SUM)=  10.32,PGV(SUM)=   0.53
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  42.70,BAZ= 37.47,PGA(V)=  11.10,PGA(NS)=  14.65,PGA(EW)=  19.09,PGV(V)=   0.61,PGV(NS)=   0.47,PGV(EW)=   0.63,Int= 3¯Å,PGA(SUM)=  16.09,PGV(SUM)=   0.70
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  43.22,BAZ= 93.73,PGA(V)=  13.69,PGA(NS)=  21.03,PGA(EW)=  35.42,PGV(V)=   0.65,PGV(NS)=   0.83,PGV(EW)=   1.59,Int= 4¯Å,PGA(SUM)=  37.31,PGV(SUM)=   1.70
