Origin Time:2024/04/05 17:04:57
Lon:121.65¢XE
Lat:24.03¢XN
Depth:29.8km
Mag:4.9
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=   7.41,BAZ=136.69,PGA(V)=   9.47,PGA(NS)=  18.45,PGA(EW)=  13.29,PGV(V)=   0.20,PGV(NS)=   0.60,PGV(EW)=   0.34,Int= 3¯Å,PGA(SUM)=  15.15,PGV(SUM)=   0.60
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=   7.61,BAZ= 33.22,PGA(V)=   7.66,PGA(NS)=  27.65,PGA(EW)=  20.54,PGV(V)=   0.22,PGV(NS)=   1.14,PGV(EW)=   0.83,Int= 4¯Å,PGA(SUM)=  26.55,PGV(SUM)=   1.14
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  14.34,BAZ=167.06,PGA(V)=   6.59,PGA(NS)=  29.10,PGA(EW)=  25.35,PGV(V)=   0.13,PGV(NS)=   0.60,PGV(EW)=   0.44,Int= 3¯Å,PGA(SUM)=  23.94,PGV(SUM)=   0.71
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  15.26,BAZ= 20.61,PGA(V)=  14.86,PGA(NS)=  30.13,PGA(EW)=  35.03,PGV(V)=   0.53,PGV(NS)=   1.45,PGV(EW)=   1.51,Int= 4¯Å,PGA(SUM)=  35.91,PGV(SUM)=   1.69
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  18.03,BAZ= 65.85,PGA(V)=  14.42,PGA(NS)=  26.65,PGA(EW)=  39.35,PGV(V)=   0.40,PGV(NS)=   0.82,PGV(EW)=   1.19,Int= 4¯Å,PGA(SUM)=  35.47,PGV(SUM)=   1.32
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  28.70,BAZ= 19.01,PGA(V)=   1.30,PGA(NS)=   2.22,PGA(EW)=   2.16,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.78,PGV(SUM)=   0.12
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  32.11,BAZ=197.48,PGA(V)=   5.28,PGA(NS)=   6.18,PGA(EW)=   5.82,PGV(V)=   0.18,PGV(NS)=   0.27,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   6.72,PGV(SUM)=   0.29
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  32.65,BAZ= 41.59,PGA(V)=   5.09,PGA(NS)=  10.17,PGA(EW)=   9.44,PGV(V)=   0.09,PGV(NS)=   0.20,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   6.31,PGV(SUM)=   0.22
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist=  33.98,BAZ=194.69,PGA(V)=   2.83,PGA(NS)=   5.21,PGA(EW)=   4.38,PGV(V)=   0.11,PGV(NS)=   0.18,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   5.47,PGV(SUM)=   0.19
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  37.57,BAZ= 16.84,PGA(V)=   0.43,PGA(NS)=   7.96,PGA(EW)=   1.68,PGV(V)=   0.03,PGV(NS)=   0.31,PGV(EW)=   0.05,Int= 2¯Å,PGA(SUM)=   7.82,PGV(SUM)=   0.31
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  40.73,BAZ=107.55,PGA(V)=   5.55,PGA(NS)=   7.21,PGA(EW)=  16.22,PGV(V)=   0.23,PGV(NS)=   0.28,PGV(EW)=   0.42,Int= 3¯Å,PGA(SUM)=  15.45,PGV(SUM)=   0.44
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  44.62,BAZ=192.42,PGA(V)=   2.73,PGA(NS)=   8.58,PGA(EW)=   9.05,PGV(V)=   0.08,PGV(NS)=   0.21,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   7.05,PGV(SUM)=   0.21
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  46.44,BAZ= 29.86,PGA(V)=   6.45,PGA(NS)=   4.81,PGA(EW)=   8.04,PGV(V)=   0.10,PGV(NS)=   0.18,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   6.73,PGV(SUM)=   0.21
Stacode=EWT ,Staname=ªZ¶ð  ,Stalon=121.78,Stalat=24.45,Dist=  47.39,BAZ=195.38,PGA(V)=   3.18,PGA(NS)=   4.30,PGA(EW)=   4.69,PGV(V)=   0.10,PGV(NS)=   0.18,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.74,PGV(SUM)=   0.19
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  48.06,BAZ=119.72,PGA(V)=   3.12,PGA(NS)=   5.80,PGA(EW)=   6.72,PGV(V)=   0.08,PGV(NS)=   0.27,PGV(EW)=   0.29,Int= 2¯Å,PGA(SUM)=   6.44,PGV(SUM)=   0.29
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=  52.73,BAZ=148.26,PGA(V)=   1.87,PGA(NS)=   4.96,PGA(EW)=   4.87,PGV(V)=   0.06,PGV(NS)=   0.19,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   4.91,PGV(SUM)=   0.20
Stacode=TWT ,Staname=¼w°ò  ,Stalon=121.16,Stalat=24.25,Dist=  55.54,BAZ=115.64,PGA(V)=   1.15,PGA(NS)=   2.83,PGA(EW)=   1.70,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   2.95,PGV(SUM)=   0.14
Stacode=NDT ,Staname=¤j¦P  ,Stalon=121.51,Stalat=24.60,Dist=  64.75,BAZ=167.17,PGA(V)=   0.62,PGA(NS)=   0.86,PGA(EW)=   0.96,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.06
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist=  66.92,BAZ=185.42,PGA(V)=   1.13,PGA(NS)=   1.09,PGA(EW)=   2.28,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.30,PGV(SUM)=   0.10
