Origin Time:2024/04/06 23:53:11
Lon:121.85°E
Lat:24.20°N
Depth:22.1km
Mag:5.1
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  16.22,BAZ=141.12,PGA(V)=  21.95,PGA(NS)=  18.03,PGA(EW)=  23.58,PGV(V)=   0.42,PGV(NS)=   0.54,PGV(EW)=   0.63,Int= 3級,PGA(SUM)=  18.69,PGV(SUM)=   0.74
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  18.62,BAZ=143.01,PGA(V)=  10.37,PGA(NS)=  11.85,PGA(EW)=  11.34,PGV(V)=   0.29,PGV(NS)=   0.45,PGV(EW)=   0.37,Int= 3級,PGA(SUM)=  11.16,PGV(SUM)=   0.50
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  23.39,BAZ= 80.10,PGA(V)=  11.56,PGA(NS)=  51.11,PGA(EW)=  30.86,PGV(V)=   0.18,PGV(NS)=   0.96,PGV(EW)=   0.48,Int= 4級,PGA(SUM)=  44.24,PGV(SUM)=   1.02
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  27.54,BAZ=158.22,PGA(V)=  10.93,PGA(NS)=  26.53,PGA(EW)=  40.94,PGV(V)=   0.24,PGV(NS)=   0.65,PGV(EW)=   0.84,Int= 4級,PGA(SUM)=  28.05,PGV(SUM)=   0.89
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  27.92,BAZ= 63.17,PGA(V)=   3.21,PGA(NS)=   3.16,PGA(EW)=   3.63,PGV(V)=   0.09,PGV(NS)=   0.14,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   2.72,PGV(SUM)=   0.17
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  28.62,BAZ=165.34,PGA(V)=  16.10,PGA(NS)=  26.35,PGA(EW)=  19.74,PGV(V)=   0.61,PGV(NS)=   0.71,PGV(EW)=   0.76,Int= 3級,PGA(SUM)=  23.57,PGV(SUM)=   0.85
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  34.21,BAZ= 44.58,PGA(V)=   2.80,PGA(NS)=   6.08,PGA(EW)=   6.18,PGV(V)=   0.18,PGV(NS)=   0.27,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   6.52,PGV(SUM)=   0.30
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  40.97,BAZ= 37.99,PGA(V)=   4.87,PGA(NS)=   9.49,PGA(EW)=   9.84,PGV(V)=   0.17,PGV(NS)=   0.36,PGV(EW)=   0.42,Int= 3級,PGA(SUM)=  10.75,PGV(SUM)=   0.52
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  44.28,BAZ= 55.04,PGA(V)=   4.96,PGA(NS)=   6.12,PGA(EW)=   8.77,PGV(V)=   0.15,PGV(NS)=   0.26,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   5.82,PGV(SUM)=   0.28
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  45.78,BAZ=181.31,PGA(V)=   1.57,PGA(NS)=   1.94,PGA(EW)=   2.94,PGV(V)=   0.07,PGV(NS)=   0.06,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.71,PGV(SUM)=   0.12
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  50.46,BAZ=164.51,PGA(V)=   3.84,PGA(NS)=   4.35,PGA(EW)=   3.88,PGV(V)=   0.18,PGV(NS)=   0.32,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   4.88,PGV(SUM)=   0.35
