Origin Time:2024/04/07 05:15:10
Lon:121.72°E
Lat:24.04°N
Depth:21.5km
Mag:5.2
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  12.82,BAZ=110.85,PGA(V)=  12.77,PGA(NS)=   9.82,PGA(EW)=   9.64,PGV(V)=   0.32,PGV(NS)=   0.16,PGV(EW)=   0.15,Int= 3級,PGA(SUM)=   8.08,PGV(SUM)=   0.32
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  13.21,BAZ= 56.97,PGA(V)=  10.62,PGA(NS)=  24.31,PGA(EW)=  33.94,PGV(V)=   0.45,PGV(NS)=   1.83,PGV(EW)=   1.46,Int= 4級,PGA(SUM)=  34.52,PGV(SUM)=   2.24
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  16.58,BAZ=142.44,PGA(V)=  17.91,PGA(NS)=  91.76,PGA(EW)=  26.04,PGV(V)=   0.39,PGV(NS)=   2.98,PGV(EW)=   0.74,Int= 4級,PGA(SUM)=  73.46,PGV(SUM)=   3.02
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  19.47,BAZ= 39.08,PGA(V)=  17.10,PGA(NS)=  43.58,PGA(EW)=  34.81,PGV(V)=   0.71,PGV(NS)=   2.54,PGV(EW)=   2.01,Int= 4級,PGA(SUM)=  48.64,PGV(SUM)=   2.63
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  24.75,BAZ= 70.64,PGA(V)=  20.53,PGA(NS)=  37.58,PGA(EW)=  27.84,PGV(V)=   0.94,PGV(NS)=   1.22,PGV(EW)=   1.29,Int= 4級,PGA(SUM)=  33.48,PGV(SUM)=   1.91
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  29.92,BAZ=185.27,PGA(V)=   9.52,PGA(NS)=  12.08,PGA(EW)=  10.14,PGV(V)=   0.35,PGV(NS)=   0.77,PGV(EW)=   0.37,Int= 3級,PGA(SUM)=  12.86,PGV(SUM)=   0.82
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  32.09,BAZ=183.08,PGA(V)=   6.43,PGA(NS)=   7.85,PGA(EW)=   6.64,PGV(V)=   0.23,PGV(NS)=   0.35,PGV(EW)=   0.47,Int= 2級,PGA(SUM)=   7.70,PGV(SUM)=   0.55
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  32.34,BAZ= 30.16,PGA(V)=   1.91,PGA(NS)=   3.70,PGA(EW)=   3.30,PGV(V)=   0.09,PGV(NS)=   0.28,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.91,PGV(SUM)=   0.28
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  38.14,BAZ= 48.54,PGA(V)=   7.22,PGA(NS)=   7.99,PGA(EW)=  13.30,PGV(V)=   0.36,PGV(NS)=   0.33,PGV(EW)=   0.68,Int= 3級,PGA(SUM)=  15.50,PGV(SUM)=   0.75
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  40.87,BAZ= 25.81,PGA(V)=   0.38,PGA(NS)=  16.24,PGA(EW)=   1.58,PGV(V)=   0.02,PGV(NS)=   1.06,PGV(EW)=   0.09,Int= 3級,PGA(SUM)=  15.66,PGV(SUM)=   1.06
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  42.83,BAZ=183.63,PGA(V)=   5.87,PGA(NS)=  11.75,PGA(EW)=  14.81,PGV(V)=   0.13,PGV(NS)=   0.21,PGV(EW)=   0.34,Int= 3級,PGA(SUM)=   8.91,PGV(SUM)=   0.35
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  45.22,BAZ=187.22,PGA(V)=   5.37,PGA(NS)=  11.40,PGA(EW)=   7.99,PGV(V)=   0.13,PGV(NS)=   0.31,PGV(EW)=   0.34,Int= 3級,PGA(SUM)=  10.10,PGV(SUM)=   0.36
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  47.15,BAZ=104.06,PGA(V)=   5.36,PGA(NS)=   7.14,PGA(EW)=   9.85,PGV(V)=   0.33,PGV(NS)=   0.34,PGV(EW)=   0.41,Int= 3級,PGA(SUM)=  10.89,PGV(SUM)=   0.47
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  50.90,BAZ= 36.15,PGA(V)=   3.48,PGA(NS)=   5.82,PGA(EW)=   5.03,PGV(V)=   0.11,PGV(NS)=   0.29,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   5.92,PGV(SUM)=   0.33
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  53.79,BAZ=115.30,PGA(V)=   1.55,PGA(NS)=   3.69,PGA(EW)=   2.40,PGV(V)=   0.12,PGV(NS)=   0.22,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.72,PGV(SUM)=   0.27
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  56.01,BAZ=141.80,PGA(V)=   1.11,PGA(NS)=   4.83,PGA(EW)=   4.20,PGV(V)=   0.07,PGV(NS)=   0.41,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   4.85,PGV(SUM)=   0.41
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  61.51,BAZ=112.16,PGA(V)=   1.04,PGA(NS)=   2.75,PGA(EW)=   1.98,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   3.02,PGV(SUM)=   0.14
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  64.47,BAZ=192.52,PGA(V)=   0.74,PGA(NS)=   1.30,PGA(EW)=   2.39,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.33,PGV(SUM)=   0.08
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  65.79,BAZ=179.51,PGA(V)=   1.49,PGA(NS)=   2.43,PGA(EW)=   3.26,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   3.36,PGV(SUM)=   0.18
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  65.83,BAZ=161.15,PGA(V)=   0.73,PGA(NS)=   0.76,PGA(EW)=   0.99,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.12
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  67.91,BAZ=167.17,PGA(V)=   0.89,PGA(NS)=   3.57,PGA(EW)=   4.55,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   3.35,PGV(SUM)=   0.14
