Origin Time:2024/04/07 18:01:22
Lon:121.97°E
Lat:24.16°N
Depth:41.7km
Mag:5.6
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  27.85,BAZ=126.15,PGA(V)=   7.59,PGA(NS)=  12.32,PGA(EW)=  12.46,PGV(V)=   0.38,PGV(NS)=   0.54,PGV(EW)=   0.64,Int= 3級,PGA(SUM)=  14.00,PGV(SUM)=   0.68
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  30.03,BAZ=128.46,PGA(V)=   7.37,PGA(NS)=   7.76,PGA(EW)=   8.19,PGV(V)=   0.24,PGV(NS)=   0.39,PGV(EW)=   0.45,Int= 3級,PGA(SUM)=   9.02,PGV(SUM)=   0.51
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  35.36,BAZ= 89.65,PGA(V)=   5.55,PGA(NS)=  32.41,PGA(EW)=  18.95,PGV(V)=   0.26,PGV(NS)=   1.27,PGV(EW)=   0.57,Int= 4級,PGA(SUM)=  32.87,PGV(SUM)=   1.42
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  37.01,BAZ=142.53,PGA(V)=   9.88,PGA(NS)=  31.89,PGA(EW)=  28.66,PGV(V)=   0.27,PGV(NS)=   0.78,PGV(EW)=   0.85,Int= 4級,PGA(SUM)=  28.18,PGV(SUM)=   0.92
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  37.06,BAZ=148.18,PGA(V)=   9.11,PGA(NS)=  21.79,PGA(EW)=  28.11,PGV(V)=   0.34,PGV(NS)=   0.77,PGV(EW)=   1.15,Int= 4級,PGA(SUM)=  29.25,PGV(SUM)=   1.18
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  38.26,BAZ= 76.70,PGA(V)=   4.30,PGA(NS)=   6.10,PGA(EW)=   6.24,PGV(V)=   0.26,PGV(NS)=   0.48,PGV(EW)=   0.50,Int= 2級,PGA(SUM)=   7.36,PGV(SUM)=   0.67
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  41.75,BAZ= 60.49,PGA(V)=   4.00,PGA(NS)=   8.02,PGA(EW)=  10.02,PGV(V)=   0.20,PGV(NS)=   0.84,PGV(EW)=   0.86,Int= 3級,PGA(SUM)=   9.97,PGV(SUM)=   0.87
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  47.13,BAZ= 52.82,PGA(V)=   3.43,PGA(NS)=   9.01,PGA(EW)=   7.16,PGV(V)=   0.20,PGV(NS)=   0.53,PGV(EW)=   0.44,Int= 3級,PGA(SUM)=   9.18,PGV(SUM)=   0.54
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  50.83,BAZ=167.22,PGA(V)=   3.10,PGA(NS)=   3.65,PGA(EW)=   5.01,PGV(V)=   0.12,PGV(NS)=   0.11,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   5.33,PGV(SUM)=   0.27
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  53.18,BAZ= 66.07,PGA(V)=   8.50,PGA(NS)=  11.51,PGA(EW)=  12.14,PGV(V)=   0.46,PGV(NS)=   0.60,PGV(EW)=   0.53,Int= 3級,PGA(SUM)=  14.34,PGV(SUM)=   0.76
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  58.42,BAZ=153.83,PGA(V)=   5.47,PGA(NS)=   8.63,PGA(EW)=   6.95,PGV(V)=   0.23,PGV(NS)=   0.83,PGV(EW)=   0.34,Int= 3級,PGA(SUM)=   9.26,PGV(SUM)=   0.87
