Origin Time:2024/04/08 16:45:06
Lon:121.64°E
Lat:23.95°N
Depth:35.4km
Mag:4.5
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=   4.46,BAZ=135.34,PGA(V)=   1.99,PGA(NS)=   7.69,PGA(EW)=   5.01,PGV(V)=   0.06,PGV(NS)=   0.27,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   7.22,PGV(SUM)=   0.28
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=   6.43,BAZ= 42.45,PGA(V)=   4.69,PGA(NS)=   7.92,PGA(EW)=  10.67,PGV(V)=   0.14,PGV(NS)=   0.28,PGV(EW)=   0.40,Int= 3級,PGA(SUM)=  10.00,PGV(SUM)=   0.42
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  15.48,BAZ=164.82,PGA(V)=   1.75,PGA(NS)=   2.28,PGA(EW)=   1.78,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.13,PGV(SUM)=   0.08
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  15.57,BAZ= 98.00,PGA(V)=   4.29,PGA(NS)=  10.59,PGA(EW)=   8.08,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   7.36,PGV(SUM)=   0.21
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  19.46,BAZ= 25.30,PGA(V)=   0.57,PGA(NS)=   0.82,PGA(EW)=   1.10,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.20,PGV(SUM)=   0.05
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  23.62,BAZ=174.71,PGA(V)=   1.42,PGA(NS)=   7.01,PGA(EW)=   4.73,PGV(V)=   0.03,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   4.87,PGV(SUM)=   0.14
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  25.45,BAZ= 54.22,PGA(V)=   2.84,PGA(NS)=   5.07,PGA(EW)=   5.21,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   3.52,PGV(SUM)=   0.11
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  28.20,BAZ= 20.46,PGA(V)=   0.36,PGA(NS)=   6.33,PGA(EW)=   1.56,PGV(V)=   0.04,PGV(NS)=   0.15,PGV(EW)=   0.04,Int= 2級,PGA(SUM)=   5.30,PGV(SUM)=   0.15
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  37.84,BAZ= 35.72,PGA(V)=   2.87,PGA(NS)=   4.33,PGA(EW)=   4.28,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.47,PGV(SUM)=   0.13
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  41.56,BAZ=194.89,PGA(V)=   1.63,PGA(NS)=   2.63,PGA(EW)=   2.48,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.59,PGV(SUM)=   0.15
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  43.50,BAZ=192.82,PGA(V)=   1.14,PGA(NS)=   1.62,PGA(EW)=   2.05,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.22,PGV(SUM)=   0.11
