Origin Time:2024/04/10 17:09:45
Lon:121.61°E
Lat:23.90°N
Depth:11.9km
Mag:4.6
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=   1.05,BAZ= 95.03,PGA(V)=   2.59,PGA(NS)=   4.63,PGA(EW)=   4.79,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   5.30,PGV(SUM)=   0.29
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=   8.01,BAZ=181.09,PGA(V)=   1.83,PGA(NS)=   3.60,PGA(EW)=   3.32,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.46,PGV(SUM)=   0.14
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  13.71,BAZ= 21.49,PGA(V)=   0.78,PGA(NS)=   1.15,PGA(EW)=   1.91,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.82,PGV(SUM)=   0.07
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  14.01,BAZ=119.99,PGA(V)=   5.65,PGA(NS)=   8.69,PGA(EW)=   4.96,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   4.04,PGV(SUM)=   0.17
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  19.79,BAZ=177.79,PGA(V)=   1.13,PGA(NS)=   1.38,PGA(EW)=   1.39,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.35,PGV(SUM)=   0.06
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  20.05,BAZ= 59.95,PGA(V)=   2.25,PGA(NS)=   7.11,PGA(EW)=   5.97,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   2.90,PGV(SUM)=   0.11
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  22.56,BAZ= 16.91,PGA(V)=   0.33,PGA(NS)=   7.92,PGA(EW)=   2.11,PGV(V)=   0.03,PGV(NS)=   0.23,PGV(EW)=   0.06,Int= 2級,PGA(SUM)=   6.58,PGV(SUM)=   0.24
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  28.38,BAZ=182.24,PGA(V)=   1.33,PGA(NS)=   5.52,PGA(EW)=   4.34,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 2級,PGA(SUM)=   2.84,PGV(SUM)=   0.09
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  36.20,BAZ=158.53,PGA(V)=   4.37,PGA(NS)=   5.39,PGA(EW)=   6.07,PGV(V)=   0.10,PGV(NS)=   0.11,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   5.89,PGV(SUM)=   0.19
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  43.63,BAZ=127.67,PGA(V)=   1.45,PGA(NS)=   3.12,PGA(EW)=   4.69,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   4.50,PGV(SUM)=   0.14
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  47.12,BAZ=197.24,PGA(V)=   1.03,PGA(NS)=   1.31,PGA(EW)=   1.46,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.05
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  48.99,BAZ=195.32,PGA(V)=   0.93,PGA(NS)=   1.47,PGA(EW)=   0.97,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.44,PGV(SUM)=   0.04
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  52.71,BAZ= 33.07,PGA(V)=   1.38,PGA(NS)=   2.65,PGA(EW)=   3.25,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.10,PGV(SUM)=   0.06
