Origin Time:2024/04/13 02:44:36
Lon:120.20°E
Lat:23.36°N
Depth:11.2km
Mag:5.0
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist=   2.44,BAZ=300.00,PGA(V)= 153.17,PGA(NS)= 121.15,PGA(EW)= 154.55,PGV(V)=   1.14,PGV(NS)=   3.59,PGV(EW)=   4.70,Int= 4級,PGA(SUM)= 154.44,PGV(SUM)=   5.07
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist=  14.41,BAZ=220.68,PGA(V)=  22.81,PGA(NS)=  45.34,PGA(EW)=  56.62,PGV(V)=   0.46,PGV(NS)=   1.40,PGV(EW)=   1.84,Int= 4級,PGA(SUM)=  58.45,PGV(SUM)=   1.96
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist=  18.38,BAZ=188.24,PGA(V)=  13.96,PGA(NS)=  21.91,PGA(EW)=  16.92,PGV(V)=   0.21,PGV(NS)=   0.49,PGV(EW)=   0.54,Int= 3級,PGA(SUM)=  14.33,PGV(SUM)=   0.55
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist=  20.38,BAZ=  0.06,PGA(V)=  13.24,PGA(NS)=  22.08,PGA(EW)=  19.13,PGV(V)=   0.27,PGV(NS)=   1.16,PGV(EW)=   1.11,Int= 3級,PGA(SUM)=  20.41,PGV(SUM)=   1.16
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist=  21.72,BAZ=271.67,PGA(V)=  15.14,PGA(NS)=  21.77,PGA(EW)=  24.97,PGV(V)=   0.29,PGV(NS)=   0.89,PGV(EW)=   0.52,Int= 3級,PGA(SUM)=  23.89,PGV(SUM)=   0.91
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist=  26.14,BAZ=340.28,PGA(V)=   7.43,PGA(NS)=   8.20,PGA(EW)=   9.27,PGV(V)=   0.14,PGV(NS)=   0.33,PGV(EW)=   0.53,Int= 3級,PGA(SUM)=   9.32,PGV(SUM)=   0.53
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  28.07,BAZ=237.03,PGA(V)=   4.51,PGA(NS)=   7.08,PGA(EW)=   8.72,PGV(V)=   0.10,PGV(NS)=   0.44,PGV(EW)=   0.46,Int= 3級,PGA(SUM)=  10.02,PGV(SUM)=   0.51
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist=  30.91,BAZ=185.27,PGA(V)=   7.36,PGA(NS)=  24.59,PGA(EW)=  15.89,PGV(V)=   0.19,PGV(NS)=   0.59,PGV(EW)=   0.50,Int= 3級,PGA(SUM)=  21.28,PGV(SUM)=   0.65
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist=  33.82,BAZ=235.37,PGA(V)=   8.58,PGA(NS)=   9.79,PGA(EW)=   9.46,PGV(V)=   0.21,PGV(NS)=   0.25,PGV(EW)=   0.42,Int= 3級,PGA(SUM)=  10.16,PGV(SUM)=   0.44
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist=  35.65,BAZ=354.30,PGA(V)=   4.36,PGA(NS)=   5.68,PGA(EW)=   5.86,PGV(V)=   0.12,PGV(NS)=   0.32,PGV(EW)=   0.36,Int= 2級,PGA(SUM)=   5.69,PGV(SUM)=   0.36
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.18,Dist=  38.54,BAZ=299.89,PGA(V)=   1.64,PGA(NS)=   3.16,PGA(EW)=   2.66,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.58,PGV(SUM)=   0.11
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist=  40.20,BAZ=338.19,PGA(V)=   4.80,PGA(NS)=   6.56,PGA(EW)=   8.31,PGV(V)=   0.14,PGV(NS)=   0.30,PGV(EW)=   0.38,Int= 3級,PGA(SUM)=   9.12,PGV(SUM)=   0.39
Stacode=TAI ,Staname=臺南市,Stalon=120.20,Stalat=22.99,Dist=  40.44,BAZ=359.61,PGA(V)=   3.75,PGA(NS)=   5.55,PGA(EW)=   2.74,PGV(V)=   0.09,PGV(NS)=   0.24,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   4.81,PGV(SUM)=   0.25
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist=  41.14,BAZ=207.59,PGA(V)=   7.94,PGA(NS)=  13.07,PGA(EW)=  16.44,PGV(V)=   0.13,PGV(NS)=   0.45,PGV(EW)=   0.42,Int= 3級,PGA(SUM)=  13.82,PGV(SUM)=   0.47
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  42.11,BAZ=257.81,PGA(V)=   4.13,PGA(NS)=  10.74,PGA(EW)=  10.70,PGV(V)=   0.15,PGV(NS)=   0.40,PGV(EW)=   0.38,Int= 3級,PGA(SUM)=  10.60,PGV(SUM)=   0.44
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  44.82,BAZ=286.44,PGA(V)=   1.01,PGA(NS)=   3.83,PGA(EW)=   3.78,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   3.48,PGV(SUM)=   0.12
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist=  49.45,BAZ=182.51,PGA(V)=   5.99,PGA(NS)=   4.29,PGA(EW)=   7.76,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   4.73,PGV(SUM)=   0.26
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist=  50.30,BAZ=307.72,PGA(V)=   1.31,PGA(NS)=   2.61,PGA(EW)=   3.16,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   3.35,PGV(SUM)=   0.11
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  52.14,BAZ=226.16,PGA(V)=   3.23,PGA(NS)=   8.62,PGA(EW)=   7.53,PGV(V)=   0.10,PGV(NS)=   0.46,PGV(EW)=   0.29,Int= 3級,PGA(SUM)=  10.39,PGV(SUM)=   0.52
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  52.34,BAZ=221.02,PGA(V)=   3.84,PGA(NS)=   5.17,PGA(EW)=   4.37,PGV(V)=   0.10,PGV(NS)=   0.32,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   5.05,PGV(SUM)=   0.33
Stacode=D009,Staname=路竹  ,Stalon=120.26,Stalat=22.87,Dist=  54.73,BAZ=353.31,PGA(V)=   1.30,PGA(NS)=   2.92,PGA(EW)=   2.70,PGV(V)=   0.06,PGV(NS)=   0.17,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.73,PGV(SUM)=   0.17
