Origin Time:2024/04/17 17:17:10
Lon:121.66¢XE
Lat:23.92¢XN
Depth:33.8km
Mag:5.4
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=   6.00,BAZ= 68.35,PGA(V)=  11.19,PGA(NS)=  17.50,PGA(EW)=  19.02,PGV(V)=   0.37,PGV(NS)=   0.79,PGV(EW)=   0.78,Int= 3¯Å,PGA(SUM)=  20.47,PGV(SUM)=   0.86
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=   7.19,BAZ=142.50,PGA(V)=   4.66,PGA(NS)=  10.61,PGA(EW)=  13.36,PGV(V)=   0.14,PGV(NS)=   0.44,PGV(EW)=   0.53,Int= 3¯Å,PGA(SUM)=  13.76,PGV(SUM)=   0.53
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  17.31,BAZ=105.74,PGA(V)=  12.13,PGA(NS)=  18.64,PGA(EW)=  20.72,PGV(V)=   0.27,PGV(NS)=   0.47,PGV(EW)=   0.37,Int= 3¯Å,PGA(SUM)=  16.63,PGV(SUM)=   0.48
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  17.84,BAZ= 32.39,PGA(V)=   2.64,PGA(NS)=   3.52,PGA(EW)=   3.61,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   4.41,PGV(SUM)=   0.19
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  18.25,BAZ=163.15,PGA(V)=   5.45,PGA(NS)=   5.21,PGA(EW)=   7.07,PGV(V)=   0.16,PGV(NS)=   0.16,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   6.77,PGV(SUM)=   0.29
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  25.13,BAZ= 60.57,PGA(V)=   6.42,PGA(NS)=  11.77,PGA(EW)=  14.25,PGV(V)=   0.13,PGV(NS)=   0.20,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   6.79,PGV(SUM)=   0.27
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  26.27,BAZ=172.53,PGA(V)=   4.32,PGA(NS)=  21.98,PGA(EW)=  15.04,PGV(V)=   0.10,PGV(NS)=   0.50,PGV(EW)=   0.26,Int= 3¯Å,PGA(SUM)=  16.26,PGV(SUM)=   0.51
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  26.34,BAZ= 24.91,PGA(V)=   1.38,PGA(NS)=  26.04,PGA(EW)=   7.18,PGV(V)=   0.04,PGV(NS)=   0.75,PGV(EW)=   0.31,Int= 3¯Å,PGA(SUM)=  23.20,PGV(SUM)=   0.76
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist=  36.06,BAZ=150.47,PGA(V)=  15.44,PGA(NS)=  29.34,PGA(EW)=  21.27,PGV(V)=   0.52,PGV(NS)=   0.78,PGV(EW)=   0.68,Int= 4¯Å,PGA(SUM)=  29.01,PGV(SUM)=   0.85
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  36.60,BAZ= 39.61,PGA(V)=   7.15,PGA(NS)=  10.83,PGA(EW)=  13.33,PGV(V)=   0.19,PGV(NS)=   0.34,PGV(EW)=   0.34,Int= 3¯Å,PGA(SUM)=  10.00,PGV(SUM)=   0.45
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  43.73,BAZ=192.47,PGA(V)=   3.91,PGA(NS)=   6.29,PGA(EW)=   5.67,PGV(V)=   0.11,PGV(NS)=   0.21,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   5.83,PGV(SUM)=   0.26
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist=  45.73,BAZ=190.61,PGA(V)=   3.91,PGA(NS)=   4.42,PGA(EW)=   5.12,PGV(V)=   0.11,PGV(NS)=   0.17,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   5.31,PGV(SUM)=   0.23
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  46.03,BAZ=121.95,PGA(V)=   6.83,PGA(NS)=  13.69,PGA(EW)=  16.77,PGV(V)=   0.22,PGV(NS)=   0.36,PGV(EW)=   0.57,Int= 3¯Å,PGA(SUM)=  18.32,PGV(SUM)=   0.58
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist=  49.05,BAZ= 94.01,PGA(V)=   9.89,PGA(NS)=  17.63,PGA(EW)=  11.92,PGV(V)=   0.22,PGV(NS)=   0.38,PGV(EW)=   0.29,Int= 3¯Å,PGA(SUM)=  13.99,PGV(SUM)=   0.39
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  55.22,BAZ=130.55,PGA(V)=   4.66,PGA(NS)=  14.94,PGA(EW)=  10.33,PGV(V)=   0.24,PGV(NS)=   0.63,PGV(EW)=   0.47,Int= 3¯Å,PGA(SUM)=  15.92,PGV(SUM)=   0.66
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  56.43,BAZ=189.59,PGA(V)=   3.06,PGA(NS)=   8.29,PGA(EW)=   7.42,PGV(V)=   0.09,PGV(NS)=   0.18,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   5.60,PGV(SUM)=   0.20
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  57.18,BAZ= 35.62,PGA(V)=   3.10,PGA(NS)=   6.11,PGA(EW)=   6.68,PGV(V)=   0.10,PGV(NS)=   0.17,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   5.49,PGV(SUM)=   0.19
Stacode=EWT ,Staname=ªZ¶ð  ,Stalon=121.78,Stalat=24.45,Dist=  59.07,BAZ=192.09,PGA(V)=   5.34,PGA(NS)=   4.63,PGA(EW)=   5.07,PGV(V)=   0.16,PGV(NS)=   0.12,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   5.29,PGV(SUM)=   0.19
Stacode=TWT ,Staname=¼w°ò  ,Stalon=121.16,Stalat=24.25,Dist=  61.92,BAZ=125.67,PGA(V)=   3.10,PGA(NS)=   7.51,PGA(EW)=   5.18,PGV(V)=   0.14,PGV(NS)=   0.40,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   7.43,PGV(SUM)=   0.42
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=  63.41,BAZ=153.84,PGA(V)=   2.01,PGA(NS)=   6.22,PGA(EW)=   4.72,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   4.45,PGV(SUM)=   0.16
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  70.42,BAZ= 17.30,PGA(V)=   2.99,PGA(NS)=   7.70,PGA(EW)=   6.95,PGV(V)=   0.11,PGV(NS)=   0.22,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   7.67,PGV(SUM)=   0.26
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist=  71.83,BAZ= 97.88,PGA(V)=   1.54,PGA(NS)=   1.27,PGA(EW)=   1.68,PGV(V)=   0.11,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.34,PGV(SUM)=   0.14
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  72.52,BAZ= 28.34,PGA(V)=   1.62,PGA(NS)=   2.83,PGA(EW)=   2.49,PGV(V)=   0.08,PGV(NS)=   0.23,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   3.67,PGV(SUM)=   0.26
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  76.33,BAZ= 86.49,PGA(V)=   1.69,PGA(NS)=   2.91,PGA(EW)=   5.23,PGV(V)=   0.20,PGV(NS)=   0.32,PGV(EW)=   0.52,Int= 2¯Å,PGA(SUM)=   5.78,PGV(SUM)=   0.54
Stacode=NDT ,Staname=¤j¦P  ,Stalon=121.51,Stalat=24.60,Dist=  76.61,BAZ=169.02,PGA(V)=   0.80,PGA(NS)=   1.04,PGA(EW)=   1.40,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.35,PGV(SUM)=   0.06
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist=  77.20,BAZ=101.01,PGA(V)=   1.01,PGA(NS)=   2.13,PGA(EW)=   2.12,PGV(V)=   0.08,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.10,PGV(SUM)=   0.11
Stacode=TWC ,Staname=Ä¬¿D  ,Stalon=121.86,Stalat=24.61,Dist=  78.60,BAZ=195.24,PGA(V)=   0.84,PGA(NS)=   1.00,PGA(EW)=   1.41,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.49,PGV(SUM)=   0.05
