Origin Time:2024/04/22 00:35:52
Lon:121.67¢XE
Lat:24.19¢XN
Depth:32.2km
Mag:5.4
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=   5.77,BAZ= 48.34,PGA(V)=  12.37,PGA(NS)=  49.10,PGA(EW)=  37.17,PGV(V)=   0.22,PGV(NS)=   0.96,PGV(EW)=   0.54,Int= 4¯Å,PGA(SUM)=  32.08,PGV(SUM)=   0.99
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  13.87,BAZ= 26.47,PGA(V)=   6.42,PGA(NS)=   6.43,PGA(EW)=   6.93,PGV(V)=   0.25,PGV(NS)=   0.30,PGV(EW)=   0.41,Int= 2¯Å,PGA(SUM)=   6.55,PGV(SUM)=   0.47
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  15.39,BAZ=213.67,PGA(V)=  16.88,PGA(NS)=  25.29,PGA(EW)=  28.01,PGV(V)=   0.54,PGV(NS)=   0.73,PGV(EW)=   0.90,Int= 4¯Å,PGA(SUM)=  28.09,PGV(SUM)=   0.96
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist=  16.83,BAZ=206.51,PGA(V)=  12.20,PGA(NS)=  17.33,PGA(EW)=  18.96,PGV(V)=   0.39,PGV(NS)=   0.52,PGV(EW)=   0.63,Int= 3¯Å,PGA(SUM)=  18.37,PGV(SUM)=   0.63
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  24.75,BAZ= 12.29,PGA(V)=   6.17,PGA(NS)=  24.17,PGA(EW)=  21.46,PGV(V)=   0.39,PGV(NS)=   1.43,PGV(EW)=   1.30,Int= 3¯Å,PGA(SUM)=  23.93,PGV(SUM)=   1.76
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  27.12,BAZ=198.25,PGA(V)=  18.94,PGA(NS)=  37.35,PGA(EW)=  62.24,PGV(V)=   0.48,PGV(NS)=   0.99,PGV(EW)=   0.98,Int= 4¯Å,PGA(SUM)=  39.13,PGV(SUM)=   1.15
Stacode=EWT ,Staname=ªZ¶ð  ,Stalon=121.78,Stalat=24.45,Dist=  30.14,BAZ=202.36,PGA(V)=  19.49,PGA(NS)=  32.30,PGA(EW)=  23.38,PGV(V)=   0.52,PGV(NS)=   1.09,PGV(EW)=   0.73,Int= 4¯Å,PGA(SUM)=  34.86,PGV(SUM)=   1.15
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  30.70,BAZ= 34.86,PGA(V)=   9.77,PGA(NS)=  16.00,PGA(EW)=  14.37,PGV(V)=   0.44,PGV(NS)=   0.65,PGV(EW)=   0.56,Int= 3¯Å,PGA(SUM)=  14.47,PGV(SUM)=   0.83
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  32.75,BAZ= 11.40,PGA(V)=  10.63,PGA(NS)=  23.99,PGA(EW)=  15.96,PGV(V)=   0.45,PGV(NS)=   1.02,PGV(EW)=   1.20,Int= 4¯Å,PGA(SUM)=  27.78,PGV(SUM)=   1.46
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=  39.52,BAZ=133.16,PGA(V)=   3.13,PGA(NS)=   8.59,PGA(EW)=   7.74,PGV(V)=   0.14,PGV(NS)=   0.29,PGV(EW)=   0.44,Int= 3¯Å,PGA(SUM)=   9.00,PGV(SUM)=   0.48
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  40.30,BAZ= 82.11,PGA(V)=   8.53,PGA(NS)=  12.97,PGA(EW)=  13.55,PGV(V)=   0.56,PGV(NS)=   0.92,PGV(EW)=   0.61,Int= 3¯Å,PGA(SUM)=  16.43,PGV(SUM)=   0.94
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  43.23,BAZ= 97.99,PGA(V)=   2.81,PGA(NS)=   8.14,PGA(EW)=  11.90,PGV(V)=   0.21,PGV(NS)=   0.30,PGV(EW)=   0.50,Int= 3¯Å,PGA(SUM)=  14.44,PGV(SUM)=   0.52
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  46.15,BAZ= 13.08,PGA(V)=   1.30,PGA(NS)=   3.32,PGA(EW)=   4.19,PGV(V)=   0.09,PGV(NS)=   0.29,PGV(EW)=   0.27,Int= 2¯Å,PGA(SUM)=   4.24,PGV(SUM)=   0.34
