Origin Time:2024/04/22 17:08:39
Lon:121.54¢XE
Lat:23.76¢XN
Depth:10.3km
Mag:5.6
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=   4.20,BAZ=212.56,PGA(V)= 114.23,PGA(NS)= 134.89,PGA(EW)= 222.28,PGV(V)=   2.26,PGV(NS)=   4.70,PGV(EW)=   7.72,Int= 4¯Å,PGA(SUM)= 189.49,PGV(SUM)=   8.62
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=   5.33,BAZ=352.20,PGA(V)=  19.61,PGA(NS)= 242.10,PGA(EW)=  25.41,PGV(V)=   2.28,PGV(NS)=   6.21,PGV(EW)=  11.49,Int= 4¯Å,PGA(SUM)= 130.01,PGV(SUM)=  12.54
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  11.86,BAZ=121.83,PGA(V)=  64.62,PGA(NS)= 116.99,PGA(EW)= 115.62,PGV(V)=   1.10,PGV(NS)=   2.54,PGV(EW)=   1.89,Int= 4¯Å,PGA(SUM)=  77.11,PGV(SUM)=   2.59
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  14.99,BAZ= 50.22,PGA(V)=  22.52,PGA(NS)=  31.59,PGA(EW)=  36.30,PGV(V)=   0.55,PGV(NS)=   1.01,PGV(EW)=   1.18,Int= 4¯Å,PGA(SUM)=  34.43,PGV(SUM)=   1.20
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  17.54,BAZ=200.83,PGA(V)=  53.90,PGA(NS)= 168.26,PGA(EW)= 123.14,PGV(V)=   2.56,PGV(NS)=   5.95,PGV(EW)=   5.13,Int= 4¯Å,PGA(SUM)= 154.64,PGV(SUM)=   6.32
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  23.80,BAZ=168.22,PGA(V)=  44.54,PGA(NS)=  50.90,PGA(EW)= 111.01,PGV(V)=   1.45,PGV(NS)=   2.09,PGV(EW)=   3.99,Int= 4¯Å,PGA(SUM)= 110.21,PGV(SUM)=   4.34
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  25.42,BAZ=197.01,PGA(V)=  20.58,PGA(NS)= 106.67,PGA(EW)=  71.02,PGV(V)=   2.39,PGV(NS)=   6.80,PGV(EW)=   5.57,Int= 4¯Å,PGA(SUM)= 105.03,PGV(SUM)=   7.00
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  35.20,BAZ= 37.62,PGA(V)=   3.37,PGA(NS)=   5.56,PGA(EW)=   9.21,PGV(V)=   0.15,PGV(NS)=   0.17,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   5.18,PGV(SUM)=   0.23
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  36.66,BAZ=190.24,PGA(V)=   4.83,PGA(NS)=   8.61,PGA(EW)=   4.50,PGV(V)=   0.34,PGV(NS)=   0.47,PGV(EW)=   0.39,Int= 3¯Å,PGA(SUM)=   8.38,PGV(SUM)=   0.49
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  45.44,BAZ=190.64,PGA(V)=   3.79,PGA(NS)=  29.76,PGA(EW)=  18.16,PGV(V)=   0.18,PGV(NS)=   0.75,PGV(EW)=   0.42,Int= 4¯Å,PGA(SUM)=  28.56,PGV(SUM)=   0.78
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  49.48,BAZ= 10.62,PGA(V)=   2.39,PGA(NS)=   4.59,PGA(EW)=   4.38,PGV(V)=   0.15,PGV(NS)=   0.22,PGV(EW)=   0.33,Int= 2¯Å,PGA(SUM)=   4.84,PGV(SUM)=   0.33
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  50.55,BAZ= 26.56,PGA(V)=   1.96,PGA(NS)=   2.44,PGA(EW)=   2.60,PGV(V)=   0.10,PGV(NS)=   0.23,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   2.71,PGV(SUM)=   0.31
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  50.89,BAZ=147.59,PGA(V)=   5.81,PGA(NS)=  17.21,PGA(EW)=  26.58,PGV(V)=   0.28,PGV(NS)=   0.76,PGV(EW)=   1.06,Int= 4¯Å,PGA(SUM)=  26.40,PGV(SUM)=   1.07
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  62.30,BAZ=151.02,PGA(V)=   4.12,PGA(NS)=   8.57,PGA(EW)=   9.72,PGV(V)=   0.27,PGV(NS)=   0.40,PGV(EW)=   0.47,Int= 3¯Å,PGA(SUM)=  11.16,PGV(SUM)=   0.51
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  64.88,BAZ=199.12,PGA(V)=   5.09,PGA(NS)=   7.14,PGA(EW)=   9.01,PGV(V)=   0.25,PGV(NS)=   0.59,PGV(EW)=   0.44,Int= 3¯Å,PGA(SUM)=   9.42,PGV(SUM)=   0.60
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist=  65.85,BAZ=115.60,PGA(V)=   2.26,PGA(NS)=   2.43,PGA(EW)=   3.05,PGV(V)=   0.11,PGV(NS)=   0.12,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   3.47,PGV(SUM)=   0.19
