Origin Time:2024/04/22 18:50:31
Lon:121.55°E
Lat:23.75°N
Depth:6.8km
Mag:5.7
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=   4.53,BAZ=203.48,PGA(V)=  75.26,PGA(NS)=  67.76,PGA(EW)= 149.52,PGV(V)=   1.83,PGV(NS)=   3.42,PGV(EW)=   9.17,Int= 4級,PGA(SUM)= 132.18,PGV(SUM)=   9.43
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  12.58,BAZ=123.09,PGA(V)=  70.73,PGA(NS)= 131.98,PGA(EW)= 139.64,PGV(V)=   1.79,PGV(NS)=   2.71,PGV(EW)=   3.80,Int= 4級,PGA(SUM)=  90.96,PGV(SUM)=   4.29
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  14.97,BAZ= 53.14,PGA(V)=  46.94,PGA(NS)=  54.19,PGA(EW)=  63.91,PGV(V)=   2.15,PGV(NS)=   3.12,PGV(EW)=   3.87,Int= 4級,PGA(SUM)=  66.85,PGV(SUM)=   4.76
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  24.50,BAZ=167.46,PGA(V)=  32.05,PGA(NS)=  56.59,PGA(EW)=  83.76,PGV(V)=   1.04,PGV(NS)=   1.43,PGV(EW)=   2.23,Int= 4級,PGA(SUM)=  68.72,PGV(SUM)=   2.27
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  25.88,BAZ=195.64,PGA(V)=  18.48,PGA(NS)=  50.80,PGA(EW)=  62.06,PGV(V)=   1.09,PGV(NS)=   4.03,PGV(EW)=   4.38,Int= 4級,PGA(SUM)=  63.20,PGV(SUM)=   4.54
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  35.00,BAZ= 38.83,PGA(V)=   7.35,PGA(NS)=  13.23,PGA(EW)=  14.17,PGV(V)=   0.48,PGV(NS)=   0.53,PGV(EW)=   0.64,Int= 3級,PGA(SUM)=  12.44,PGV(SUM)=   0.82
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  37.18,BAZ=189.38,PGA(V)=   3.61,PGA(NS)=   4.64,PGA(EW)=   4.65,PGV(V)=   0.33,PGV(NS)=   0.26,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   4.86,PGV(SUM)=   0.38
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  43.90,BAZ=121.06,PGA(V)=   0.25,PGA(NS)=  15.69,PGA(EW)=  12.29,PGV(V)=   0.13,PGV(NS)=   0.38,PGV(EW)=   0.44,Int= 3級,PGA(SUM)=  13.38,PGV(SUM)=   0.46
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  45.95,BAZ=189.94,PGA(V)=   4.17,PGA(NS)=  18.74,PGA(EW)=  13.10,PGV(V)=   0.14,PGV(NS)=   0.72,PGV(EW)=   0.50,Int= 3級,PGA(SUM)=  17.63,PGV(SUM)=   0.75
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  48.97,BAZ= 11.28,PGA(V)=   5.99,PGA(NS)=   8.21,PGA(EW)=   9.38,PGV(V)=   0.76,PGV(NS)=   0.84,PGV(EW)=   1.12,Int= 3級,PGA(SUM)=  10.03,PGV(SUM)=   1.35
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  50.22,BAZ= 27.34,PGA(V)=   4.05,PGA(NS)=   8.38,PGA(EW)=   9.36,PGV(V)=   0.58,PGV(NS)=   1.02,PGV(EW)=   1.61,Int= 3級,PGA(SUM)=   9.39,PGV(SUM)=   1.71
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  51.65,BAZ=147.52,PGA(V)=   5.73,PGA(NS)=  12.48,PGA(EW)=  31.85,PGV(V)=   0.38,PGV(NS)=   0.57,PGV(EW)=   1.17,Int= 4級,PGA(SUM)=  31.11,PGV(SUM)=   1.17
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  63.06,BAZ=150.92,PGA(V)=   3.95,PGA(NS)=  11.51,PGA(EW)=   9.56,PGV(V)=   0.40,PGV(NS)=   0.56,PGV(EW)=   0.50,Int= 3級,PGA(SUM)=  13.35,PGV(SUM)=   0.57
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  65.31,BAZ=198.56,PGA(V)=   4.89,PGA(NS)=   7.59,PGA(EW)=   5.73,PGV(V)=   0.19,PGV(NS)=   0.41,PGV(EW)=   0.48,Int= 2級,PGA(SUM)=   7.87,PGV(SUM)=   0.53
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  66.21,BAZ= 22.79,PGA(V)=   3.01,PGA(NS)=   5.62,PGA(EW)=   5.11,PGV(V)=   0.51,PGV(NS)=   0.84,PGV(EW)=   0.76,Int= 2級,PGA(SUM)=   6.44,PGV(SUM)=   0.90
