Origin Time:2024/04/22 19:25:13
Lon:121.51°E
Lat:23.73°N
Depth:2.6km
Mag:4.9
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=   4.37,BAZ=295.83,PGA(V)= 147.72,PGA(NS)= 265.93,PGA(EW)=  95.98,PGV(V)=   6.84,PGV(NS)=   7.14,PGV(EW)=  18.61,Int= 5弱,PGA(SUM)= 188.67,PGV(SUM)=  18.74
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  21.91,BAZ=205.54,PGA(V)=   6.98,PGA(NS)=  17.56,PGA(EW)=  13.34,PGV(V)=   0.33,PGV(NS)=   0.46,PGV(EW)=   0.63,Int= 3級,PGA(SUM)=  19.34,PGV(SUM)=   0.75
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  29.66,BAZ=201.03,PGA(V)=   2.40,PGA(NS)=   6.47,PGA(EW)=   5.85,PGV(V)=   0.15,PGV(NS)=   0.35,PGV(EW)=   0.45,Int= 2級,PGA(SUM)=   6.51,PGV(SUM)=   0.50
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  30.56,BAZ= 36.72,PGA(V)=   1.57,PGA(NS)=   3.09,PGA(EW)=   2.76,PGV(V)=   0.09,PGV(NS)=   0.17,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   3.11,PGV(SUM)=   0.18
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  40.63,BAZ=193.85,PGA(V)=   0.83,PGA(NS)=   0.85,PGA(EW)=   0.50,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.05
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  42.40,BAZ=126.83,PGA(V)=   0.20,PGA(NS)=   2.12,PGA(EW)=   2.42,PGV(V)=   0.10,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.99,PGV(SUM)=   0.10
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  45.63,BAZ=  7.43,PGA(V)=   2.00,PGA(NS)=   2.47,PGA(EW)=   3.30,PGV(V)=   0.15,PGV(NS)=   0.25,PGV(EW)=   0.28,Int= 2級,PGA(SUM)=   3.64,PGV(SUM)=   0.30
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  46.11,BAZ= 24.86,PGA(V)=   1.13,PGA(NS)=   1.87,PGA(EW)=   2.11,PGV(V)=   0.16,PGV(NS)=   0.29,PGV(EW)=   0.21,Int= 1級,PGA(SUM)=   2.45,PGV(SUM)=   0.34
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  49.41,BAZ=193.57,PGA(V)=   0.48,PGA(NS)=   1.69,PGA(EW)=   1.46,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.46,PGV(SUM)=   0.07
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  52.22,BAZ=152.55,PGA(V)=   0.83,PGA(NS)=   2.07,PGA(EW)=   1.80,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.88,PGV(SUM)=   0.10
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  61.96,BAZ= 64.86,PGA(V)=   0.78,PGA(NS)=   1.59,PGA(EW)=   2.64,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   2.60,PGV(SUM)=   0.19
