Origin Time:2024/04/22 19:34:29
Lon:121.52¢XE
Lat:23.79¢XN
Depth:8.4km
Mag:4.9
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=   4.86,BAZ=270.87,PGA(V)=   6.95,PGA(NS)=  11.52,PGA(EW)=  18.55,PGV(V)=   0.23,PGV(NS)=   0.57,PGV(EW)=   1.28,Int= 3¯Å,PGA(SUM)=  18.13,PGV(SUM)=   1.28
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=   7.93,BAZ=109.44,PGA(V)=  29.35,PGA(NS)=  39.73,PGA(EW)=  28.79,PGV(V)=   0.35,PGV(NS)=   1.12,PGV(EW)=   0.94,Int= 4¯Å,PGA(SUM)=  27.65,PGV(SUM)=   1.47
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=   9.50,BAZ=339.53,PGA(V)=  85.16,PGA(NS)= 201.25,PGA(EW)=  91.60,PGV(V)=   1.20,PGV(NS)=   4.90,PGV(EW)=   2.78,Int= 4¯Å,PGA(SUM)= 130.77,PGV(SUM)=   4.96
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  15.53,BAZ=214.66,PGA(V)=  14.10,PGA(NS)=  70.84,PGA(EW)=  51.56,PGV(V)=   0.62,PGV(NS)=   3.58,PGV(EW)=   2.89,Int= 4¯Å,PGA(SUM)=  74.81,PGV(SUM)=   3.90
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  15.94,BAZ= 34.03,PGA(V)=  23.73,PGA(NS)=  68.24,PGA(EW)=  36.86,PGV(V)=   0.78,PGV(NS)=   2.03,PGV(EW)=   1.05,Int= 4¯Å,PGA(SUM)=  68.01,PGV(SUM)=   2.16
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  19.81,BAZ=173.45,PGA(V)=   7.42,PGA(NS)=  10.78,PGA(EW)=  15.56,PGV(V)=   0.20,PGV(NS)=   0.47,PGV(EW)=   0.67,Int= 3¯Å,PGA(SUM)=  13.27,PGV(SUM)=   0.68
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  23.00,BAZ=205.86,PGA(V)=   6.83,PGA(NS)=  23.55,PGA(EW)=  17.16,PGV(V)=   0.40,PGV(NS)=   0.98,PGV(EW)=   1.04,Int= 3¯Å,PGA(SUM)=  24.61,PGV(SUM)=   1.28
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  33.71,BAZ=195.68,PGA(V)=   0.91,PGA(NS)=   1.30,PGA(EW)=   1.06,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.58,PGV(SUM)=   0.07
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  36.72,BAZ= 30.95,PGA(V)=   1.40,PGA(NS)=   2.58,PGA(EW)=   2.53,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.52,PGV(SUM)=   0.13
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  42.48,BAZ=194.98,PGA(V)=   1.02,PGA(NS)=   4.43,PGA(EW)=   2.63,PGV(V)=   0.03,PGV(NS)=   0.15,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   4.86,PGV(SUM)=   0.16
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  46.44,BAZ=147.90,PGA(V)=   1.16,PGA(NS)=   2.68,PGA(EW)=   5.13,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   4.79,PGV(SUM)=   0.18
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  52.65,BAZ=  7.11,PGA(V)=   1.37,PGA(NS)=   1.89,PGA(EW)=   1.67,PGV(V)=   0.10,PGV(NS)=   0.14,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   2.23,PGV(SUM)=   0.15
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  52.77,BAZ= 22.27,PGA(V)=   0.93,PGA(NS)=   1.15,PGA(EW)=   1.32,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.37,PGV(SUM)=   0.14
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  57.88,BAZ=151.53,PGA(V)=   0.80,PGA(NS)=   2.02,PGA(EW)=   1.76,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.54,PGV(SUM)=   0.10
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist=  61.98,BAZ=113.62,PGA(V)=   0.74,PGA(NS)=   1.09,PGA(EW)=   1.15,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.20,PGV(SUM)=   0.06
