Origin Time:2024/04/22 21:00:43
Lon:121.52¢XE
Lat:23.74¢XN
Depth:5.3km
Mag:4.7
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=   4.39,BAZ=320.08,PGA(V)=   4.67,PGA(NS)=  58.70,PGA(EW)=   8.59,PGV(V)=   0.10,PGV(NS)=   2.06,PGV(EW)=   0.28,Int= 4¯Å,PGA(SUM)=  46.08,PGV(SUM)=   2.07
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=   6.99,BAZ=218.54,PGA(V)=  11.49,PGA(NS)=  28.46,PGA(EW)=  29.44,PGV(V)=   0.36,PGV(NS)=   0.98,PGV(EW)=   1.19,Int= 4¯Å,PGA(SUM)=  28.67,PGV(SUM)=   1.30
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  11.43,BAZ=135.66,PGA(V)=  16.50,PGA(NS)=  30.49,PGA(EW)=  34.28,PGV(V)=   0.35,PGV(NS)=   0.69,PGV(EW)=   0.71,Int= 3¯Å,PGA(SUM)=  19.83,PGV(SUM)=   0.85
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  12.16,BAZ= 50.88,PGA(V)=  19.74,PGA(NS)=  23.62,PGA(EW)=  34.83,PGV(V)=   0.29,PGV(NS)=   0.59,PGV(EW)=   0.68,Int= 4¯Å,PGA(SUM)=  29.15,PGV(SUM)=   0.80
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  20.11,BAZ=204.45,PGA(V)=  13.25,PGA(NS)=  23.65,PGA(EW)=  25.70,PGV(V)=   0.55,PGV(NS)=   1.37,PGV(EW)=   1.27,Int= 4¯Å,PGA(SUM)=  26.71,PGV(SUM)=   1.37
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  25.37,BAZ=173.73,PGA(V)=   8.86,PGA(NS)=  10.16,PGA(EW)=  12.60,PGV(V)=   0.26,PGV(NS)=   0.33,PGV(EW)=   0.46,Int= 3¯Å,PGA(SUM)=  11.77,PGV(SUM)=   0.55
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  27.91,BAZ=199.96,PGA(V)=   3.86,PGA(NS)=  15.13,PGA(EW)=  18.99,PGV(V)=   0.25,PGV(NS)=   0.87,PGV(EW)=   0.83,Int= 3¯Å,PGA(SUM)=  20.50,PGV(SUM)=   0.88
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  32.40,BAZ= 36.77,PGA(V)=   2.25,PGA(NS)=   2.86,PGA(EW)=   3.71,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.07,PGV(SUM)=   0.08
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  38.95,BAZ=192.76,PGA(V)=   1.45,PGA(NS)=   2.10,PGA(EW)=   1.65,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.36,PGV(SUM)=   0.10
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist=  42.46,BAZ=124.35,PGA(V)=   0.31,PGA(NS)=   3.79,PGA(EW)=   2.58,PGV(V)=   0.16,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.25,PGV(SUM)=   0.16
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  47.23,BAZ=  8.55,PGA(V)=   0.72,PGA(NS)=   1.14,PGA(EW)=   1.22,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.18,PGV(SUM)=   0.12
