Origin Time:2024/04/22 22:20:10
Lon:121.59°E
Lat:23.73°N
Depth:7.4km
Mag:4.8
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=   4.68,BAZ= 58.01,PGA(V)=  13.29,PGA(NS)= 164.64,PGA(EW)= 132.55,PGV(V)=   0.32,PGV(NS)=   3.94,PGV(EW)=   4.47,Int= 4級,PGA(SUM)= 156.79,PGV(SUM)=   5.10
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=   6.80,BAZ=159.09,PGA(V)=   5.31,PGA(NS)=   8.89,PGA(EW)=   9.64,PGV(V)=   0.20,PGV(NS)=   0.33,PGV(EW)=   0.47,Int= 3級,PGA(SUM)=  11.57,PGV(SUM)=   0.50
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  17.33,BAZ=121.54,PGA(V)=   6.44,PGA(NS)=  10.12,PGA(EW)=  10.89,PGV(V)=   0.25,PGV(NS)=   0.31,PGV(EW)=   0.46,Int= 3級,PGA(SUM)=   9.18,PGV(SUM)=   0.51
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  17.58,BAZ= 67.29,PGA(V)=   6.92,PGA(NS)=   5.74,PGA(EW)=   9.71,PGV(V)=   0.16,PGV(NS)=   0.37,PGV(EW)=   0.29,Int= 3級,PGA(SUM)=   8.55,PGV(SUM)=   0.39
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  19.26,BAZ=184.61,PGA(V)=   9.20,PGA(NS)=  22.58,PGA(EW)=  27.66,PGV(V)=   0.35,PGV(NS)=   0.96,PGV(EW)=   0.94,Int= 4級,PGA(SUM)=  27.36,PGV(SUM)=   1.06
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  27.26,BAZ=185.79,PGA(V)=   3.67,PGA(NS)=  16.17,PGA(EW)=  15.67,PGV(V)=   0.24,PGV(NS)=   0.90,PGV(EW)=   1.18,Int= 3級,PGA(SUM)=  17.26,PGV(SUM)=   1.24
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  27.80,BAZ=159.92,PGA(V)=   4.77,PGA(NS)=  11.30,PGA(EW)=  14.35,PGV(V)=   0.18,PGV(NS)=   0.47,PGV(EW)=   0.51,Int= 3級,PGA(SUM)=  17.84,PGV(SUM)=   0.69
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  36.25,BAZ= 46.24,PGA(V)=   0.87,PGA(NS)=   2.23,PGA(EW)=   1.70,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.09,PGV(SUM)=   0.13
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  38.92,BAZ=182.70,PGA(V)=   0.60,PGA(NS)=   0.83,PGA(EW)=   0.64,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.06
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  47.61,BAZ=184.46,PGA(V)=   0.60,PGA(NS)=   3.40,PGA(EW)=   1.56,PGV(V)=   0.02,PGV(NS)=   0.12,PGV(EW)=   0.05,Int= 2級,PGA(SUM)=   3.07,PGV(SUM)=   0.12
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  47.86,BAZ= 16.78,PGA(V)=   0.99,PGA(NS)=   2.33,PGA(EW)=   2.97,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.94,PGV(SUM)=   0.15
