Origin Time:2024/04/23 03:20:11
Lon:121.54°E
Lat:23.87°N
Depth:10.3km
Mag:5.2
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=   7.25,BAZ=235.25,PGA(V)=  39.85,PGA(NS)=  70.08,PGA(EW)=  92.25,PGV(V)=   1.39,PGV(NS)=   3.83,PGV(EW)=   3.20,Int= 4級,PGA(SUM)=  88.88,PGV(SUM)=   3.99
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=   8.94,BAZ=347.14,PGA(V)=  10.12,PGA(NS)=  13.77,PGA(EW)=  25.15,PGV(V)=   0.25,PGV(NS)=   0.59,PGV(EW)=   0.90,Int= 3級,PGA(SUM)=  23.47,PGV(SUM)=   0.96
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  11.96,BAZ= 59.89,PGA(V)=  24.69,PGA(NS)=  28.99,PGA(EW)=  49.46,PGV(V)=   0.77,PGV(NS)=   0.73,PGV(EW)=   1.00,Int= 4級,PGA(SUM)=  34.51,PGV(SUM)=   1.21
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  12.18,BAZ=155.10,PGA(V)=  24.29,PGA(NS)=  46.81,PGA(EW)=  58.46,PGV(V)=   0.44,PGV(NS)=   1.28,PGV(EW)=   1.27,Int= 4級,PGA(SUM)=  48.09,PGV(SUM)=   1.46
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  14.02,BAZ=210.71,PGA(V)=   5.84,PGA(NS)=  16.38,PGA(EW)=  20.13,PGV(V)=   0.35,PGV(NS)=   0.67,PGV(EW)=   0.73,Int= 3級,PGA(SUM)=  19.51,PGV(SUM)=   0.81
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  17.55,BAZ=358.52,PGA(V)=   1.41,PGA(NS)=  33.35,PGA(EW)=   3.67,PGV(V)=   0.05,PGV(NS)=   1.32,PGV(EW)=   0.13,Int= 4級,PGA(SUM)=  29.73,PGV(SUM)=   1.33
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  24.62,BAZ=194.68,PGA(V)=   1.87,PGA(NS)=   2.42,PGA(EW)=   2.29,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.49,PGV(SUM)=   0.10
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  24.83,BAZ= 28.35,PGA(V)=   6.43,PGA(NS)=   9.14,PGA(EW)=  11.25,PGV(V)=   0.25,PGV(NS)=   0.38,PGV(EW)=   0.48,Int= 3級,PGA(SUM)=  11.94,PGV(SUM)=   0.56
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  33.40,BAZ=194.06,PGA(V)=   1.89,PGA(NS)=   9.78,PGA(EW)=   7.61,PGV(V)=   0.06,PGV(NS)=   0.26,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   7.28,PGV(SUM)=   0.27
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  52.07,BAZ=144.22,PGA(V)=   2.47,PGA(NS)=   6.48,PGA(EW)=   5.12,PGV(V)=   0.11,PGV(NS)=   0.32,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   7.69,PGV(SUM)=   0.34
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  61.79,BAZ=105.19,PGA(V)=   0.91,PGA(NS)=   1.26,PGA(EW)=   1.13,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.37,PGV(SUM)=   0.09
