Origin Time:2024/04/23 03:28:32
Lon:121.54°E
Lat:23.80°N
Depth:5.4km
Mag:5.1
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=   9.70,BAZ=100.74,PGA(V)=  23.74,PGA(NS)=  70.81,PGA(EW)=  83.34,PGV(V)=   0.61,PGV(NS)=   0.78,PGV(EW)=   1.68,Int= 4級,PGA(SUM)=  53.01,PGV(SUM)=   1.71
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=   9.81,BAZ=352.58,PGA(V)=   3.71,PGA(NS)=  70.37,PGA(EW)=   6.76,PGV(V)=   0.08,PGV(NS)=   1.67,PGV(EW)=   0.17,Int= 4級,PGA(SUM)=  57.82,PGV(SUM)=   1.67
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  13.73,BAZ=209.57,PGA(V)=  10.78,PGA(NS)=  28.15,PGA(EW)=  24.52,PGV(V)=   0.50,PGV(NS)=   1.43,PGV(EW)=   1.37,Int= 4級,PGA(SUM)=  30.46,PGV(SUM)=   1.46
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  17.82,BAZ= 38.02,PGA(V)=  12.81,PGA(NS)=  25.05,PGA(EW)=  18.14,PGV(V)=   0.26,PGV(NS)=   0.61,PGV(EW)=   0.57,Int= 3級,PGA(SUM)=  14.78,PGV(SUM)=   0.65
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  21.40,BAZ=201.88,PGA(V)=   3.05,PGA(NS)=  12.49,PGA(EW)=  11.49,PGV(V)=   0.26,PGV(NS)=   0.67,PGV(EW)=   0.79,Int= 3級,PGA(SUM)=  12.53,PGV(SUM)=   0.88
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  32.40,BAZ=192.58,PGA(V)=   1.04,PGA(NS)=   1.39,PGA(EW)=   1.14,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.42,PGV(SUM)=   0.09
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  38.51,BAZ= 32.93,PGA(V)=   1.53,PGA(NS)=   3.04,PGA(EW)=   3.90,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.50,PGV(SUM)=   0.11
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  40.61,BAZ=115.67,PGA(V)=   0.27,PGA(NS)=   9.29,PGA(EW)=  11.23,PGV(V)=   0.14,PGV(NS)=   0.19,PGV(EW)=   0.28,Int= 3級,PGA(SUM)=  11.08,PGV(SUM)=   0.29
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  41.19,BAZ=192.52,PGA(V)=   1.20,PGA(NS)=   5.48,PGA(EW)=   3.49,PGV(V)=   0.04,PGV(NS)=   0.16,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   5.14,PGV(SUM)=   0.18
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  46.88,BAZ=145.24,PGA(V)=   2.54,PGA(NS)=   9.40,PGA(EW)=  11.93,PGV(V)=   0.14,PGV(NS)=   0.47,PGV(EW)=   0.49,Int= 3級,PGA(SUM)=  11.99,PGV(SUM)=   0.62
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  53.77,BAZ=  9.17,PGA(V)=   0.74,PGA(NS)=   1.41,PGA(EW)=   1.28,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.45,PGV(SUM)=   0.14
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  54.34,BAZ= 23.94,PGA(V)=   0.75,PGA(NS)=   1.20,PGA(EW)=   1.08,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.49,PGV(SUM)=   0.16
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  58.17,BAZ=149.37,PGA(V)=   1.20,PGA(NS)=   3.01,PGA(EW)=   3.41,PGV(V)=   0.08,PGV(NS)=   0.19,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   4.09,PGV(SUM)=   0.20
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  63.54,BAZ=112.19,PGA(V)=   0.94,PGA(NS)=   1.45,PGA(EW)=   1.66,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.73,PGV(SUM)=   0.09
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  64.57,BAZ= 98.45,PGA(V)=   0.73,PGA(NS)=   1.81,PGA(EW)=   2.50,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.56,PGV(SUM)=   0.15
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  67.95,BAZ= 59.83,PGA(V)=   0.70,PGA(NS)=   4.02,PGA(EW)=   3.77,PGV(V)=   0.04,PGV(NS)=   0.18,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   4.77,PGV(SUM)=   0.25
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  69.74,BAZ=114.48,PGA(V)=   0.59,PGA(NS)=   1.43,PGA(EW)=   0.80,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.65,PGV(SUM)=   0.09
