Origin Time:2024/04/23 04:03:07
Lon:121.60°E
Lat:23.83°N
Depth:8.1km
Mag:5.2
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=   6.15,BAZ= 43.17,PGA(V)=   4.20,PGA(NS)=  11.70,PGA(EW)=  13.38,PGV(V)=   0.17,PGV(NS)=   0.69,PGV(EW)=   0.69,Int= 3級,PGA(SUM)=  12.71,PGV(SUM)=   0.75
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=   8.37,BAZ=178.40,PGA(V)=  36.35,PGA(NS)=  82.78,PGA(EW)=  80.65,PGV(V)=   2.28,PGV(NS)=   4.49,PGV(EW)=   5.11,Int= 4級,PGA(SUM)= 106.35,PGV(SUM)=   6.57
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  14.50,BAZ= 23.35,PGA(V)=   1.02,PGA(NS)=  15.79,PGA(EW)=   2.65,PGV(V)=   0.04,PGV(NS)=   0.74,PGV(EW)=   0.08,Int= 3級,PGA(SUM)=  15.28,PGV(SUM)=   0.75
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  16.31,BAZ=183.40,PGA(V)=  13.58,PGA(NS)=  78.07,PGA(EW)=  68.40,PGV(V)=   1.45,PGV(NS)=   7.09,PGV(EW)=   7.50,Int= 4級,PGA(SUM)=  94.96,PGV(SUM)=   8.86
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  16.64,BAZ= 83.89,PGA(V)=   8.32,PGA(NS)=  20.24,PGA(EW)=  24.30,PGV(V)=   0.41,PGV(NS)=   0.48,PGV(EW)=   0.68,Int= 3級,PGA(SUM)=  18.61,PGV(SUM)=   0.79
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  19.01,BAZ=143.45,PGA(V)=  11.91,PGA(NS)=  19.77,PGA(EW)=  21.86,PGV(V)=   0.88,PGV(NS)=   1.33,PGV(EW)=   1.45,Int= 3級,PGA(SUM)=  24.96,PGV(SUM)=   1.92
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  25.18,BAZ= 45.60,PGA(V)=   3.53,PGA(NS)=   4.74,PGA(EW)=   4.03,PGV(V)=   0.10,PGV(NS)=   0.26,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   4.01,PGV(SUM)=   0.28
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  28.04,BAZ=180.10,PGA(V)=   1.40,PGA(NS)=   2.00,PGA(EW)=   1.65,PGV(V)=   0.11,PGV(NS)=   0.18,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.19,PGV(SUM)=   0.19
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  36.68,BAZ=183.01,PGA(V)=   1.14,PGA(NS)=   6.69,PGA(EW)=   3.04,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   4.62,PGV(SUM)=   0.16
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  45.80,BAZ=107.81,PGA(V)=   0.23,PGA(NS)=   3.04,PGA(EW)=   2.74,PGV(V)=   0.12,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.06,PGV(SUM)=   0.16
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  48.56,BAZ=136.00,PGA(V)=   1.81,PGA(NS)=   3.26,PGA(EW)=   4.88,PGV(V)=   0.18,PGV(NS)=   0.30,PGV(EW)=   0.45,Int= 2級,PGA(SUM)=   5.06,PGV(SUM)=   0.51
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  55.29,BAZ=195.51,PGA(V)=   1.76,PGA(NS)=   2.46,PGA(EW)=   2.41,PGV(V)=   0.09,PGV(NS)=   0.21,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.11,PGV(SUM)=   0.22
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  57.20,BAZ=193.92,PGA(V)=   1.23,PGA(NS)=   2.07,PGA(EW)=   1.72,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.43,PGV(SUM)=   0.14
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  59.18,BAZ=141.75,PGA(V)=   1.26,PGA(NS)=   2.45,PGA(EW)=   1.76,PGV(V)=   0.13,PGV(NS)=   0.24,PGV(EW)=   0.20,Int= 1級,PGA(SUM)=   2.49,PGV(SUM)=   0.25
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  64.82,BAZ=136.07,PGA(V)=   1.04,PGA(NS)=   2.77,PGA(EW)=   1.88,PGV(V)=   0.08,PGV(NS)=   0.21,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   2.97,PGV(SUM)=   0.24
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  67.84,BAZ=192.55,PGA(V)=   0.94,PGA(NS)=   2.10,PGA(EW)=   1.91,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.22,PGV(SUM)=   0.11
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  70.60,BAZ=194.53,PGA(V)=   1.15,PGA(NS)=   2.70,PGA(EW)=   1.85,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.90,PGV(SUM)=   0.18
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  71.11,BAZ= 94.76,PGA(V)=   0.48,PGA(NS)=   1.34,PGA(EW)=   1.89,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   1.93,PGV(SUM)=   0.18
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  71.19,BAZ=161.46,PGA(V)=   0.91,PGA(NS)=   2.49,PGA(EW)=   2.23,PGV(V)=   0.11,PGV(NS)=   0.15,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   2.66,PGV(SUM)=   0.31
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  75.81,BAZ= 60.15,PGA(V)=   0.36,PGA(NS)=   1.22,PGA(EW)=   1.81,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.77,PGV(SUM)=   0.12
