Origin Time:2024/04/23 05:19:43
Lon:121.54°E
Lat:23.76°N
Depth:5.8km
Mag:5.7
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=   4.25,BAZ=218.09,PGA(V)=  40.26,PGA(NS)=  64.24,PGA(EW)=  87.87,PGV(V)=   1.00,PGV(NS)=   3.14,PGV(EW)=   5.04,Int= 4級,PGA(SUM)=  84.03,PGV(SUM)=   5.08
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=   5.59,BAZ=348.86,PGA(V)= 228.08,PGA(NS)= 543.99,PGA(EW)= 782.92,PGV(V)=  14.89,PGV(NS)=  18.30,PGV(EW)=  38.63,Int= 5強,PGA(SUM)= 662.81,PGV(SUM)=  43.11
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  11.45,BAZ=121.91,PGA(V)=  36.62,PGA(NS)=  59.18,PGA(EW)=  85.48,PGV(V)=   1.51,PGV(NS)=   2.11,PGV(EW)=   2.63,Int= 4級,PGA(SUM)=  78.24,PGV(SUM)=   2.69
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  14.85,BAZ= 48.74,PGA(V)=  37.39,PGA(NS)=  46.53,PGA(EW)=  50.75,PGV(V)=   1.39,PGV(NS)=   2.49,PGV(EW)=   2.46,Int= 4級,PGA(SUM)=  50.28,PGV(SUM)=   2.84
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  17.48,BAZ=202.15,PGA(V)=  32.68,PGA(NS)=  85.09,PGA(EW)=  57.60,PGV(V)=   1.28,PGV(NS)=   3.70,PGV(EW)=   2.86,Int= 4級,PGA(SUM)=  84.09,PGV(SUM)=   3.82
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  23.53,BAZ=168.97,PGA(V)=  22.20,PGA(NS)=  36.03,PGA(EW)=  46.13,PGV(V)=   1.03,PGV(NS)=   1.49,PGV(EW)=   2.29,Int= 4級,PGA(SUM)=  46.29,PGV(SUM)=   2.50
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  25.33,BAZ=197.91,PGA(V)=  11.92,PGA(NS)=  47.86,PGA(EW)=  39.09,PGV(V)=   0.93,PGV(NS)=   3.57,PGV(EW)=   3.32,Int= 4級,PGA(SUM)=  47.06,PGV(SUM)=   3.70
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  35.14,BAZ= 36.96,PGA(V)=   4.91,PGA(NS)=   8.66,PGA(EW)=   8.90,PGV(V)=   0.35,PGV(NS)=   0.37,PGV(EW)=   0.53,Int= 3級,PGA(SUM)=   9.14,PGV(SUM)=   0.57
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  36.52,BAZ=190.84,PGA(V)=   3.13,PGA(NS)=   3.70,PGA(EW)=   2.80,PGV(V)=   0.23,PGV(NS)=   0.20,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   4.33,PGV(SUM)=   0.24
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  42.78,BAZ=120.69,PGA(V)=   0.32,PGA(NS)=  13.75,PGA(EW)=  10.45,PGV(V)=   0.16,PGV(NS)=   0.39,PGV(EW)=   0.39,Int= 3級,PGA(SUM)=  11.40,PGV(SUM)=   0.40
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  45.30,BAZ=191.13,PGA(V)=   3.19,PGA(NS)=  17.44,PGA(EW)=   9.81,PGV(V)=   0.12,PGV(NS)=   0.58,PGV(EW)=   0.28,Int= 3級,PGA(SUM)=  15.62,PGV(SUM)=   0.59
