Origin Time:2024/04/23 05:24:31
Lon:121.53°E
Lat:23.73°N
Depth:6.7km
Mag:5.3
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=   3.26,BAZ=323.00,PGA(V)= 416.59,PGA(NS)= 299.86,PGA(EW)= 425.42,PGV(V)=   4.86,PGV(NS)=   9.32,PGV(EW)=  10.00,Int= 4級,PGA(SUM)= 316.96,PGV(SUM)=  10.13
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=   7.14,BAZ=209.38,PGA(V)=  20.64,PGA(NS)=  37.90,PGA(EW)=  30.15,PGV(V)=   0.43,PGV(NS)=   1.17,PGV(EW)=   1.43,Int= 4級,PGA(SUM)=  36.70,PGV(SUM)=   1.74
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  12.39,BAZ= 56.08,PGA(V)=  37.83,PGA(NS)=  43.74,PGA(EW)=  50.59,PGV(V)=   0.89,PGV(NS)=   2.20,PGV(EW)=   2.48,Int= 4級,PGA(SUM)=  56.74,PGV(SUM)=   3.33
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  12.57,BAZ=135.30,PGA(V)=  22.26,PGA(NS)=  58.45,PGA(EW)=  46.38,PGV(V)=   0.70,PGV(NS)=   0.95,PGV(EW)=   1.27,Int= 4級,PGA(SUM)=  34.90,PGV(SUM)=   1.33
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  20.48,BAZ=201.40,PGA(V)=   9.78,PGA(NS)=  24.19,PGA(EW)=  20.17,PGV(V)=   0.40,PGV(NS)=   1.10,PGV(EW)=   1.18,Int= 3級,PGA(SUM)=  22.86,PGV(SUM)=   1.21
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  26.23,BAZ=172.07,PGA(V)=  14.90,PGA(NS)=  19.56,PGA(EW)=  28.80,PGV(V)=   0.43,PGV(NS)=   0.76,PGV(EW)=   0.89,Int= 4級,PGA(SUM)=  29.01,PGV(SUM)=   1.06
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  28.35,BAZ=197.82,PGA(V)=   4.20,PGA(NS)=  15.25,PGA(EW)=  11.66,PGV(V)=   0.28,PGV(NS)=   0.92,PGV(EW)=   0.95,Int= 3級,PGA(SUM)=  17.16,PGV(SUM)=   0.98
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  32.33,BAZ= 38.78,PGA(V)=   4.28,PGA(NS)=   6.27,PGA(EW)=   6.53,PGV(V)=   0.18,PGV(NS)=   0.26,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   6.10,PGV(SUM)=   0.30
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  39.52,BAZ=191.32,PGA(V)=   1.67,PGA(NS)=   1.78,PGA(EW)=   1.49,PGV(V)=   0.08,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.35,PGV(SUM)=   0.10
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  43.59,BAZ=124.54,PGA(V)=   0.14,PGA(NS)=   4.89,PGA(EW)=   5.19,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   5.11,PGV(SUM)=   0.24
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  46.62,BAZ=  9.73,PGA(V)=   2.75,PGA(NS)=   3.94,PGA(EW)=   4.76,PGV(V)=   0.27,PGV(NS)=   0.36,PGV(EW)=   0.42,Int= 2級,PGA(SUM)=   4.86,PGV(SUM)=   0.55
