Origin Time:2024/04/23 06:26:20
Lon:121.46¢XE
Lat:23.79¢XN
Depth:14.5km
Mag:4.6
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=   3.06,BAZ=153.15,PGA(V)=  62.68,PGA(NS)=  87.75,PGA(EW)=  99.31,PGV(V)=   0.57,PGV(NS)=   1.07,PGV(EW)=   1.00,Int= 4¯Å,PGA(SUM)=  38.00,PGV(SUM)=   1.38
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  10.96,BAZ=269.90,PGA(V)=   1.55,PGA(NS)=   2.51,PGA(EW)=   2.35,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   2.97,PGV(SUM)=   0.12
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  12.90,BAZ=313.07,PGA(V)=   3.20,PGA(NS)=   6.39,PGA(EW)=   6.49,PGV(V)=   0.03,PGV(NS)=   0.33,PGV(EW)=   0.29,Int= 2¯Å,PGA(SUM)=   5.85,PGV(SUM)=   0.33
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  13.42,BAZ= 12.14,PGA(V)=  26.61,PGA(NS)=  27.86,PGA(EW)=  34.40,PGV(V)=   0.24,PGV(NS)=   0.32,PGV(EW)=   0.51,Int= 3¯Å,PGA(SUM)=  20.68,PGV(SUM)=   0.52
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  19.71,BAZ=229.24,PGA(V)=   4.40,PGA(NS)=   8.62,PGA(EW)=   9.89,PGV(V)=   0.13,PGV(NS)=   0.27,PGV(EW)=   0.33,Int= 3¯Å,PGA(SUM)=  10.62,PGV(SUM)=   0.35
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  20.14,BAZ=190.97,PGA(V)=  19.00,PGA(NS)=  25.64,PGA(EW)=  24.38,PGV(V)=   0.49,PGV(NS)=   0.50,PGV(EW)=   0.75,Int= 4¯Å,PGA(SUM)=  26.65,PGV(SUM)=   0.95
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  26.31,BAZ=217.80,PGA(V)=   3.65,PGA(NS)=   8.43,PGA(EW)=   9.01,PGV(V)=   0.09,PGV(NS)=   0.22,PGV(EW)=   0.27,Int= 3¯Å,PGA(SUM)=   8.48,PGV(SUM)=   0.27
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  33.90,BAZ= 22.14,PGA(V)=   2.82,PGA(NS)=   7.56,PGA(EW)=   8.64,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   4.14,PGV(SUM)=   0.13
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  35.92,BAZ=205.03,PGA(V)=   2.28,PGA(NS)=   2.93,PGA(EW)=   2.57,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   2.75,PGV(SUM)=   0.09
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  43.60,BAZ=154.76,PGA(V)=   3.17,PGA(NS)=   6.04,PGA(EW)=   9.66,PGV(V)=   0.06,PGV(NS)=   0.17,PGV(EW)=   0.27,Int= 3¯Å,PGA(SUM)=   9.03,PGV(SUM)=   0.27
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  44.53,BAZ=202.54,PGA(V)=   5.45,PGA(NS)=  15.49,PGA(EW)=  15.57,PGV(V)=   0.05,PGV(NS)=   0.25,PGV(EW)=   0.20,Int= 3¯Å,PGA(SUM)=   9.00,PGV(SUM)=   0.26
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  50.68,BAZ= 15.90,PGA(V)=   0.66,PGA(NS)=   0.93,PGA(EW)=   1.14,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.21,PGV(SUM)=   0.04
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  55.33,BAZ=157.13,PGA(V)=   1.74,PGA(NS)=   4.50,PGA(EW)=   5.30,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   5.27,PGV(SUM)=   0.15
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist=  56.49,BAZ=116.18,PGA(V)=   1.42,PGA(NS)=   1.56,PGA(EW)=   1.52,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.69,PGV(SUM)=   0.07
