Origin Time:2024/04/23 09:45:45
Lon:121.57¢XE
Lat:23.81¢XN
Depth:7.4km
Mag:5.4
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=   3.17,BAZ= 22.28,PGA(V)=  10.07,PGA(NS)=  36.39,PGA(EW)=  31.18,PGV(V)=   0.27,PGV(NS)=   1.47,PGV(EW)=   2.32,Int= 4¯Å,PGA(SUM)=  38.12,PGV(SUM)=   2.73
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  10.29,BAZ=195.61,PGA(V)=  55.73,PGA(NS)=  94.89,PGA(EW)= 120.92,PGV(V)=   2.43,PGV(NS)=   5.54,PGV(EW)=   7.34,Int= 4¯Å,PGA(SUM)= 122.65,PGV(SUM)=   7.90
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  12.08,BAZ= 13.12,PGA(V)=  65.95,PGA(NS)= 158.93,PGA(EW)=  91.89,PGV(V)=   1.91,PGV(NS)=   3.61,PGV(EW)=   2.50,Int= 4¯Å,PGA(SUM)= 110.37,PGV(SUM)=   4.22
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  13.54,BAZ= 89.06,PGA(V)=  23.17,PGA(NS)=  45.06,PGA(EW)=  48.98,PGV(V)=   0.70,PGV(NS)=   1.10,PGV(EW)=   1.71,Int= 4¯Å,PGA(SUM)=  35.71,PGV(SUM)=   1.77
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  18.27,BAZ=192.56,PGA(V)=  14.03,PGA(NS)=  66.47,PGA(EW)=  53.08,PGV(V)=   1.02,PGV(NS)=   2.31,PGV(EW)=   3.94,Int= 4¯Å,PGA(SUM)=  64.51,PGV(SUM)=   4.13
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  18.77,BAZ=153.69,PGA(V)=  18.32,PGA(NS)=  35.97,PGA(EW)=  55.14,PGV(V)=   0.70,PGV(NS)=   1.50,PGV(EW)=   2.34,Int= 4¯Å,PGA(SUM)=  58.45,PGV(SUM)=   2.79
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  21.97,BAZ= 43.00,PGA(V)=  13.75,PGA(NS)=  19.12,PGA(EW)=  20.67,PGV(V)=   0.35,PGV(NS)=   0.73,PGV(EW)=   0.48,Int= 3¯Å,PGA(SUM)=  19.83,PGV(SUM)=   0.74
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  29.75,BAZ=185.89,PGA(V)=   2.72,PGA(NS)=   3.00,PGA(EW)=   2.90,PGV(V)=   0.12,PGV(NS)=   0.22,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.68,PGV(SUM)=   0.26
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  38.49,BAZ=187.35,PGA(V)=   2.35,PGA(NS)=  11.43,PGA(EW)=   8.43,PGV(V)=   0.07,PGV(NS)=   0.35,PGV(EW)=   0.27,Int= 3¯Å,PGA(SUM)=  10.20,PGV(SUM)=   0.37
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  42.46,BAZ= 35.99,PGA(V)=   1.99,PGA(NS)=   3.30,PGA(EW)=   4.50,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   3.59,PGV(SUM)=   0.17
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist=  43.48,BAZ=110.97,PGA(V)=   0.27,PGA(NS)=  11.14,PGA(EW)=   7.20,PGV(V)=   0.14,PGV(NS)=   0.30,PGV(EW)=   0.40,Int= 3¯Å,PGA(SUM)=  10.41,PGV(SUM)=   0.44
