Origin Time:2024/04/23 10:21:00
Lon:121.54°E
Lat:23.86°N
Depth:8.9km
Mag:5.5
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=   7.89,BAZ=231.36,PGA(V)=  96.18,PGA(NS)= 265.06,PGA(EW)= 302.03,PGV(V)=   4.35,PGV(NS)=  12.58,PGV(EW)=  14.42,Int= 5弱,PGA(SUM)= 321.09,PGV(SUM)=  18.26
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=   8.22,BAZ=344.52,PGA(V)=  15.91,PGA(NS)=  43.36,PGA(EW)=  57.36,PGV(V)=   0.81,PGV(NS)=   2.18,PGV(EW)=   4.58,Int= 4級,PGA(SUM)=  62.42,PGV(SUM)=   4.60
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  11.40,BAZ= 62.83,PGA(V)=  39.07,PGA(NS)=  74.65,PGA(EW)=  95.98,PGV(V)=   1.10,PGV(NS)=   1.35,PGV(EW)=   2.00,Int= 4級,PGA(SUM)=  55.82,PGV(SUM)=   2.03
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  12.82,BAZ=157.42,PGA(V)=  80.98,PGA(NS)= 112.39,PGA(EW)=  89.77,PGV(V)=   1.30,PGV(NS)=   3.65,PGV(EW)=   2.56,Int= 4級,PGA(SUM)= 114.19,PGV(SUM)=   4.17
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  14.81,BAZ=209.82,PGA(V)=  15.26,PGA(NS)=  61.76,PGA(EW)=  56.03,PGV(V)=   1.46,PGV(NS)=   3.97,PGV(EW)=   3.53,Int= 4級,PGA(SUM)=  68.77,PGV(SUM)=   4.24
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  16.76,BAZ=357.76,PGA(V)=  32.33,PGA(NS)=  81.24,PGA(EW)=  32.49,PGV(V)=   1.28,PGV(NS)=   2.74,PGV(EW)=   3.24,Int= 4級,PGA(SUM)=  85.32,PGV(SUM)=   3.77
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  24.03,BAZ= 28.82,PGA(V)=  12.31,PGA(NS)=  17.54,PGA(EW)=  20.02,PGV(V)=   0.44,PGV(NS)=   0.72,PGV(EW)=   0.82,Int= 3級,PGA(SUM)=  19.03,PGV(SUM)=   0.87
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  25.44,BAZ=194.68,PGA(V)=   5.34,PGA(NS)=   8.95,PGA(EW)=   5.84,PGV(V)=   0.25,PGV(NS)=   0.49,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   7.71,PGV(SUM)=   0.56
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  34.22,BAZ=194.06,PGA(V)=   5.22,PGA(NS)=  19.89,PGA(EW)=  18.01,PGV(V)=   0.12,PGV(NS)=   0.59,PGV(EW)=   0.27,Int= 3級,PGA(SUM)=  15.53,PGV(SUM)=   0.60
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  38.67,BAZ=105.87,PGA(V)=   0.29,PGA(NS)=  16.50,PGA(EW)=  10.94,PGV(V)=   0.15,PGV(NS)=   0.46,PGV(EW)=   0.61,Int= 3級,PGA(SUM)=  11.85,PGV(SUM)=   0.63
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  41.71,BAZ=139.05,PGA(V)=   5.30,PGA(NS)=  16.40,PGA(EW)=  16.01,PGV(V)=   0.32,PGV(NS)=   0.68,PGV(EW)=   0.70,Int= 3級,PGA(SUM)=  20.47,PGV(SUM)=   0.85
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  44.85,BAZ= 28.71,PGA(V)=   2.25,PGA(NS)=   3.81,PGA(EW)=   3.89,PGV(V)=   0.14,PGV(NS)=   0.20,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   3.63,PGV(SUM)=   0.21
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  52.60,BAZ=144.91,PGA(V)=   3.25,PGA(NS)=  10.50,PGA(EW)=   9.01,PGV(V)=   0.15,PGV(NS)=   0.46,PGV(EW)=   0.39,Int= 3級,PGA(SUM)=  11.10,PGV(SUM)=   0.53
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  54.15,BAZ=203.02,PGA(V)=   5.56,PGA(NS)=   5.82,PGA(EW)=   5.41,PGV(V)=   0.24,PGV(NS)=   0.28,PGV(EW)=   0.31,Int= 2級,PGA(SUM)=   6.27,PGV(SUM)=   0.37
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  55.85,BAZ=201.14,PGA(V)=   3.52,PGA(NS)=   4.46,PGA(EW)=   4.19,PGV(V)=   0.17,PGV(NS)=   0.27,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   5.41,PGV(SUM)=   0.33
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  57.96,BAZ=138.27,PGA(V)=   2.83,PGA(NS)=   9.07,PGA(EW)=   5.59,PGV(V)=   0.13,PGV(NS)=   0.59,PGV(EW)=   0.35,Int= 3級,PGA(SUM)=   9.67,PGV(SUM)=   0.68
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  60.79,BAZ=  8.69,PGA(V)=   2.56,PGA(NS)=   3.70,PGA(EW)=   4.45,PGV(V)=   0.22,PGV(NS)=   0.36,PGV(EW)=   0.56,Int= 2級,PGA(SUM)=   4.47,PGV(SUM)=   0.57
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  61.04,BAZ= 21.79,PGA(V)=   1.49,PGA(NS)=   3.28,PGA(EW)=   3.02,PGV(V)=   0.20,PGV(NS)=   0.48,PGV(EW)=   0.40,Int= 2級,PGA(SUM)=   3.54,PGV(SUM)=   0.50
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  61.81,BAZ=105.95,PGA(V)=   1.65,PGA(NS)=   2.48,PGA(EW)=   2.08,PGV(V)=   0.11,PGV(NS)=   0.16,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.48,PGV(SUM)=   0.16
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  66.09,BAZ=165.77,PGA(V)=   2.64,PGA(NS)=   6.38,PGA(EW)=   7.06,PGV(V)=   0.17,PGV(NS)=   0.28,PGV(EW)=   0.32,Int= 2級,PGA(SUM)=   7.66,PGV(SUM)=   0.35
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  66.25,BAZ=198.59,PGA(V)=   2.38,PGA(NS)=   4.46,PGA(EW)=   4.55,PGV(V)=   0.08,PGV(NS)=   0.23,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   4.76,PGV(SUM)=   0.24
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  67.70,BAZ=108.86,PGA(V)=   1.11,PGA(NS)=   2.41,PGA(EW)=   1.42,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   2.34,PGV(SUM)=   0.19
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=  68.56,BAZ= 94.26,PGA(V)=   0.71,PGA(NS)=   1.04,PGA(EW)=   1.01,PGV(V)=   0.11,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.13
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  69.23,BAZ=200.37,PGA(V)=   3.28,PGA(NS)=   7.83,PGA(EW)=   6.51,PGV(V)=   0.19,PGV(NS)=   0.39,PGV(EW)=   0.49,Int= 3級,PGA(SUM)=   8.69,PGV(SUM)=   0.53
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  72.22,BAZ= 55.25,PGA(V)=   2.04,PGA(NS)=   6.69,PGA(EW)=   7.50,PGV(V)=   0.09,PGV(NS)=   0.42,PGV(EW)=   0.43,Int= 3級,PGA(SUM)=   8.52,PGV(SUM)=   0.49
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  72.40,BAZ= 75.57,PGA(V)=   1.04,PGA(NS)=   2.67,PGA(EW)=   2.04,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   2.71,PGV(SUM)=   0.15
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  76.26,BAZ=127.45,PGA(V)=   1.15,PGA(NS)=   1.97,PGA(EW)=   1.87,PGV(V)=   0.10,PGV(NS)=   0.18,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   2.31,PGV(SUM)=   0.21
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  77.35,BAZ= 19.05,PGA(V)=   1.20,PGA(NS)=   2.91,PGA(EW)=   2.68,PGV(V)=   0.22,PGV(NS)=   0.32,PGV(EW)=   0.32,Int= 2級,PGA(SUM)=   2.91,PGV(SUM)=   0.36
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  82.40,BAZ=178.00,PGA(V)=   0.84,PGA(NS)=   1.06,PGA(EW)=   2.02,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.11,PGV(SUM)=   0.11
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  82.94,BAZ= 87.16,PGA(V)=   0.98,PGA(NS)=   2.03,PGA(EW)=   4.16,PGV(V)=   0.12,PGV(NS)=   0.17,PGV(EW)=   0.45,Int= 2級,PGA(SUM)=   4.28,PGV(SUM)=   0.46
