Origin Time:2024/04/24 15:30:53
Lon:121.56°E
Lat:23.80°N
Depth:7.3km
Mag:5.0
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=   1.78,BAZ=  5.91,PGA(V)=   8.61,PGA(NS)=  13.82,PGA(EW)=  31.75,PGV(V)=   0.34,PGV(NS)=   0.86,PGV(EW)=   1.86,Int= 4級,PGA(SUM)=  33.76,PGV(SUM)=   1.98
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  11.71,BAZ=198.89,PGA(V)=  21.85,PGA(NS)=  29.88,PGA(EW)=  33.14,PGV(V)=   0.75,PGV(NS)=   1.14,PGV(EW)=   1.32,Int= 4級,PGA(SUM)=  35.31,PGV(SUM)=   1.48
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  12.56,BAZ= 94.30,PGA(V)=   9.49,PGA(NS)=  23.25,PGA(EW)=  33.31,PGV(V)=   0.36,PGV(NS)=   0.41,PGV(EW)=   0.76,Int= 3級,PGA(SUM)=  17.98,PGV(SUM)=   0.81
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  19.41,BAZ=157.91,PGA(V)=  14.26,PGA(NS)=  17.13,PGA(EW)=  29.46,PGV(V)=   0.39,PGV(NS)=   0.67,PGV(EW)=   1.07,Int= 4級,PGA(SUM)=  34.60,PGV(SUM)=   1.21
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  19.64,BAZ=194.72,PGA(V)=   4.42,PGA(NS)=  16.99,PGA(EW)=  20.03,PGV(V)=   0.33,PGV(NS)=   0.75,PGV(EW)=   1.62,Int= 3級,PGA(SUM)=  19.79,PGV(SUM)=   1.62
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  20.43,BAZ= 43.13,PGA(V)=   5.83,PGA(NS)=   8.27,PGA(EW)=  11.32,PGV(V)=   0.14,PGV(NS)=   0.22,PGV(EW)=   0.27,Int= 3級,PGA(SUM)=   9.33,PGV(SUM)=   0.29
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  31.02,BAZ=187.54,PGA(V)=   0.94,PGA(NS)=   1.47,PGA(EW)=   0.95,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.52,PGV(SUM)=   0.07
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  39.79,BAZ=188.59,PGA(V)=   1.19,PGA(NS)=   5.90,PGA(EW)=   3.70,PGV(V)=   0.04,PGV(NS)=   0.20,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   5.37,PGV(SUM)=   0.21
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  40.92,BAZ= 35.79,PGA(V)=   1.04,PGA(NS)=   1.45,PGA(EW)=   1.57,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.53,PGV(SUM)=   0.06
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  42.97,BAZ=112.90,PGA(V)=   0.25,PGA(NS)=   4.25,PGA(EW)=   3.66,PGV(V)=   0.13,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.30,PGV(SUM)=   0.15
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  47.96,BAZ=141.72,PGA(V)=   1.64,PGA(NS)=   3.82,PGA(EW)=   5.01,PGV(V)=   0.08,PGV(NS)=   0.21,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   5.40,PGV(SUM)=   0.23
