Origin Time:2024/04/25 02:11:54
Lon:122.34°E
Lat:23.98°N
Depth:24.8km
Mag:5.7
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  69.79,BAZ=121.41,PGA(V)=   3.45,PGA(NS)=   7.22,PGA(EW)=   5.86,PGV(V)=   0.21,PGV(NS)=   0.77,PGV(EW)=   0.53,Int= 2級,PGA(SUM)=   7.15,PGV(SUM)=   0.90
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  71.84,BAZ=122.51,PGA(V)=   3.01,PGA(NS)=   4.12,PGA(EW)=   3.73,PGV(V)=   0.18,PGV(NS)=   0.34,PGV(EW)=   0.44,Int= 2級,PGA(SUM)=   4.87,PGV(SUM)=   0.52
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  73.47,BAZ= 89.51,PGA(V)=   1.69,PGA(NS)=   4.80,PGA(EW)=   4.76,PGV(V)=   0.12,PGV(NS)=   0.34,PGV(EW)=   0.36,Int= 2級,PGA(SUM)=   5.43,PGV(SUM)=   0.42
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  75.10,BAZ=105.22,PGA(V)=   2.15,PGA(NS)=   9.03,PGA(EW)=   5.12,PGV(V)=   0.08,PGV(NS)=   0.31,PGV(EW)=   0.15,Int= 3級,PGA(SUM)=   8.52,PGV(SUM)=   0.32
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  75.18,BAZ= 83.47,PGA(V)=   4.21,PGA(NS)=   8.80,PGA(EW)=   8.82,PGV(V)=   0.22,PGV(NS)=   0.42,PGV(EW)=   0.47,Int= 3級,PGA(SUM)=   9.48,PGV(SUM)=   0.59
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  75.18,BAZ= 98.52,PGA(V)=   1.79,PGA(NS)=   4.29,PGA(EW)=   2.29,PGV(V)=   0.06,PGV(NS)=   0.20,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   4.65,PGV(SUM)=   0.22
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  76.47,BAZ=132.26,PGA(V)=   4.63,PGA(NS)=   6.68,PGA(EW)=   7.15,PGV(V)=   0.16,PGV(NS)=   0.41,PGV(EW)=   0.60,Int= 2級,PGA(SUM)=   7.44,PGV(SUM)=   0.61
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  77.34,BAZ=129.62,PGA(V)=   2.91,PGA(NS)=   6.99,PGA(EW)=   7.10,PGV(V)=   0.11,PGV(NS)=   0.31,PGV(EW)=   0.32,Int= 2級,PGA(SUM)=   6.57,PGV(SUM)=   0.35
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  81.55,BAZ= 74.79,PGA(V)=   1.47,PGA(NS)=   1.75,PGA(EW)=   3.88,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 2級,PGA(SUM)=   2.74,PGV(SUM)=   0.07
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  84.62,BAZ=145.22,PGA(V)=   1.25,PGA(NS)=   1.64,PGA(EW)=   2.06,PGV(V)=   0.12,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.14,PGV(SUM)=   0.15
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  85.77,BAZ= 88.91,PGA(V)=   3.20,PGA(NS)=  10.02,PGA(EW)=   5.48,PGV(V)=   0.12,PGV(NS)=   0.46,PGV(EW)=   0.17,Int= 3級,PGA(SUM)=  10.27,PGV(SUM)=   0.46
