Origin Time:2024/04/25 09:23:20
Lon:121.60¢XE
Lat:23.83¢XN
Depth:6.9km
Mag:4.8
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=   5.88,BAZ= 40.03,PGA(V)=   4.57,PGA(NS)=   5.68,PGA(EW)=   3.92,PGV(V)=   0.13,PGV(NS)=   0.21,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   4.25,PGV(SUM)=   0.28
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=   8.35,BAZ=181.31,PGA(V)=  11.26,PGA(NS)=  28.17,PGA(EW)=  15.42,PGV(V)=   0.33,PGV(NS)=   1.01,PGV(EW)=   0.64,Int= 3¯Å,PGA(SUM)=  24.46,PGV(SUM)=   1.03
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  16.22,BAZ= 83.66,PGA(V)=   6.50,PGA(NS)=  13.34,PGA(EW)=  30.86,PGV(V)=   0.15,PGV(NS)=   0.36,PGV(EW)=   0.70,Int= 3¯Å,PGA(SUM)=  22.57,PGV(SUM)=   0.74
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  16.32,BAZ=184.89,PGA(V)=   3.91,PGA(NS)=  11.16,PGA(EW)=  12.77,PGV(V)=   0.16,PGV(NS)=   0.74,PGV(EW)=   0.57,Int= 3¯Å,PGA(SUM)=  12.51,PGV(SUM)=   0.83
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  18.75,BAZ=144.46,PGA(V)=   8.93,PGA(NS)=  11.68,PGA(EW)=   8.84,PGV(V)=   0.24,PGV(NS)=   0.63,PGV(EW)=   0.42,Int= 3¯Å,PGA(SUM)=  15.29,PGV(SUM)=   0.71
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  24.89,BAZ= 44.88,PGA(V)=   5.22,PGA(NS)=   3.63,PGA(EW)=   4.37,PGV(V)=   0.08,PGV(NS)=   0.19,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   4.12,PGV(SUM)=   0.22
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  28.03,BAZ=180.97,PGA(V)=   1.01,PGA(NS)=   1.26,PGA(EW)=   0.92,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.70,PGV(SUM)=   0.07
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  36.68,BAZ=183.67,PGA(V)=   0.82,PGA(NS)=   4.75,PGA(EW)=   3.22,PGV(V)=   0.02,PGV(NS)=   0.12,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   4.28,PGV(SUM)=   0.14
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  45.26,BAZ= 37.47,PGA(V)=   0.56,PGA(NS)=   0.95,PGA(EW)=   0.81,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.04
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist=  45.39,BAZ=107.96,PGA(V)=   0.24,PGA(NS)=   3.71,PGA(EW)=   3.63,PGV(V)=   0.12,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   4.31,PGV(SUM)=   0.14
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  48.25,BAZ=136.35,PGA(V)=   1.24,PGA(NS)=   2.43,PGA(EW)=   3.01,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.02,PGV(SUM)=   0.14
