Origin Time:2024/05/02 10:07:27
Lon:121.47¢XE
Lat:22.48¢XN
Depth:18.9km
Mag:5.1
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  21.22,BAZ=179.78,PGA(V)=   9.30,PGA(NS)=  13.81,PGA(EW)=  12.13,PGV(V)=   0.33,PGV(NS)=   0.41,PGV(EW)=   0.36,Int= 3¯Å,PGA(SUM)=  13.20,PGV(SUM)=   0.44
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  44.12,BAZ=132.77,PGA(V)=   1.53,PGA(NS)=   2.30,PGA(EW)=   3.10,PGV(V)=   0.12,PGV(NS)=   0.28,PGV(EW)=   0.27,Int= 2¯Å,PGA(SUM)=   3.03,PGV(SUM)=   0.34
Stacode=LAY ,Staname=ÄõÀ¬  ,Stalon=121.56,Stalat=22.04,Dist=  50.04,BAZ=349.55,PGA(V)=   6.72,PGA(NS)=  25.01,PGA(EW)=  24.24,PGV(V)=   0.24,PGV(NS)=   1.13,PGV(EW)=   0.79,Int= 3¯Å,PGA(SUM)=  23.13,PGV(SUM)=   1.14
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=  53.78,BAZ=103.58,PGA(V)=   2.35,PGA(NS)=   3.02,PGA(EW)=   2.44,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   3.49,PGV(SUM)=   0.12
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  54.67,BAZ=132.85,PGA(V)=   0.96,PGA(NS)=   1.51,PGA(EW)=   1.05,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.10
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  56.96,BAZ=162.58,PGA(V)=   2.88,PGA(NS)=   7.76,PGA(EW)=   5.68,PGV(V)=   0.10,PGV(NS)=   0.25,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   7.09,PGV(SUM)=   0.25
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  58.58,BAZ=143.39,PGA(V)=   1.81,PGA(NS)=   1.42,PGA(EW)=   2.01,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   2.21,PGV(SUM)=   0.14
Stacode=TAWH,Staname=¤jªZ  ,Stalon=120.89,Stalat=22.34,Dist=  61.94,BAZ= 75.31,PGA(V)=   2.02,PGA(NS)=   3.62,PGA(EW)=   2.60,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   3.53,PGV(SUM)=   0.09
Stacode=EAS ,Staname=¹F¤¯  ,Stalon=120.86,Stalat=22.38,Dist=  64.11,BAZ= 80.09,PGA(V)=   1.34,PGA(NS)=   3.22,PGA(EW)=   3.28,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.32,PGV(SUM)=   0.16
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  68.95,BAZ=171.70,PGA(V)=   2.10,PGA(NS)=   3.98,PGA(EW)=   4.41,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.29,Int= 2¯Å,PGA(SUM)=   3.95,PGV(SUM)=   0.31
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  72.66,BAZ=159.24,PGA(V)=   2.30,PGA(NS)=   4.93,PGA(EW)=   3.44,PGV(V)=   0.11,PGV(NS)=   0.24,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   4.98,PGV(SUM)=   0.27
