Origin Time:2024/05/07 20:48:42
Lon:121.55°E
Lat:23.77°N
Depth:21.3km
Mag:4.8
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=   2.27,BAZ=223.63,PGA(V)=   3.92,PGA(NS)=   7.83,PGA(EW)=   5.38,PGV(V)=   0.07,PGV(NS)=   0.31,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   7.63,PGV(SUM)=   0.34
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=   7.18,BAZ=359.78,PGA(V)=   9.09,PGA(NS)=  14.77,PGA(EW)=  14.56,PGV(V)=   0.16,PGV(NS)=   0.46,PGV(EW)=   0.30,Int= 3級,PGA(SUM)=  14.25,PGV(SUM)=   0.47
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  11.62,BAZ=112.01,PGA(V)=   9.79,PGA(NS)=  16.61,PGA(EW)=  18.62,PGV(V)=   0.25,PGV(NS)=   0.50,PGV(EW)=   0.41,Int= 3級,PGA(SUM)=  11.56,PGV(SUM)=   0.51
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  15.51,BAZ=200.92,PGA(V)=  15.58,PGA(NS)=  14.39,PGA(EW)=  12.60,PGV(V)=   0.26,PGV(NS)=   0.55,PGV(EW)=   0.68,Int= 3級,PGA(SUM)=  13.62,PGV(SUM)=   0.83
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  16.77,BAZ= 46.75,PGA(V)=   7.53,PGA(NS)=  10.42,PGA(EW)=  12.93,PGV(V)=   0.18,PGV(NS)=   0.23,PGV(EW)=   0.37,Int= 3級,PGA(SUM)=  10.74,PGV(SUM)=   0.40
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  22.11,BAZ=165.45,PGA(V)=  13.45,PGA(NS)=  27.71,PGA(EW)=  19.47,PGV(V)=   0.25,PGV(NS)=   0.60,PGV(EW)=   0.76,Int= 4級,PGA(SUM)=  27.99,PGV(SUM)=   0.97
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  23.40,BAZ=196.74,PGA(V)=   2.86,PGA(NS)=  10.02,PGA(EW)=  11.09,PGV(V)=   0.13,PGV(NS)=   0.51,PGV(EW)=   0.49,Int= 3級,PGA(SUM)=  11.11,PGV(SUM)=   0.51
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  34.66,BAZ=189.66,PGA(V)=   2.73,PGA(NS)=   2.32,PGA(EW)=   2.02,PGV(V)=   0.08,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   3.32,PGV(SUM)=   0.15
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  37.13,BAZ= 36.68,PGA(V)=   1.08,PGA(NS)=   2.45,PGA(EW)=   2.50,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.06
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  42.86,BAZ=118.02,PGA(V)=   0.28,PGA(NS)=   9.09,PGA(EW)=   6.44,PGV(V)=   0.14,PGV(NS)=   0.18,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   7.83,PGV(SUM)=   0.21
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  43.44,BAZ=190.20,PGA(V)=   2.11,PGA(NS)=  13.64,PGA(EW)=   7.80,PGV(V)=   0.06,PGV(NS)=   0.36,PGV(EW)=   0.26,Int= 3級,PGA(SUM)=  12.65,PGV(SUM)=   0.36
