Origin Time:2024/05/10 09:35:39
Lon:121.59¢XE
Lat:23.71¢XN
Depth:8.2km
Mag:5.2
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=   4.51,BAZ= 84.79,PGA(V)= 141.72,PGA(NS)= 144.33,PGA(EW)= 102.16,PGV(V)=   1.98,PGV(NS)=   5.69,PGV(EW)=   2.37,Int= 4¯Å,PGA(SUM)= 132.85,PGV(SUM)=   5.92
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=   8.92,BAZ=160.67,PGA(V)=   3.89,PGA(NS)=   6.52,PGA(EW)=   6.04,PGV(V)=   0.15,PGV(NS)=   0.25,PGV(EW)=   0.32,Int= 2¯Å,PGA(SUM)=   7.76,PGV(SUM)=   0.32
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  17.39,BAZ= 74.26,PGA(V)=   6.00,PGA(NS)=  11.98,PGA(EW)=  12.31,PGV(V)=   0.39,PGV(NS)=   0.90,PGV(EW)=   0.93,Int= 3¯Å,PGA(SUM)=  12.91,PGV(SUM)=   1.04
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  18.92,BAZ=126.04,PGA(V)=   6.54,PGA(NS)=   7.65,PGA(EW)=  10.02,PGV(V)=   0.25,PGV(NS)=   0.45,PGV(EW)=   0.52,Int= 3¯Å,PGA(SUM)=   8.78,PGV(SUM)=   0.63
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  21.29,BAZ=182.75,PGA(V)=   6.19,PGA(NS)=  20.79,PGA(EW)=  15.07,PGV(V)=   0.33,PGV(NS)=   0.87,PGV(EW)=   0.55,Int= 3¯Å,PGA(SUM)=  22.02,PGV(SUM)=   0.89
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  29.27,BAZ=184.36,PGA(V)=   4.13,PGA(NS)=  12.90,PGA(EW)=  11.93,PGV(V)=   0.33,PGV(NS)=   1.16,PGV(EW)=   1.14,Int= 3¯Å,PGA(SUM)=  13.14,PGV(SUM)=   1.20
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  29.92,BAZ=160.33,PGA(V)=   5.87,PGA(NS)=  15.38,PGA(EW)=  17.65,PGV(V)=   0.36,PGV(NS)=   0.68,PGV(EW)=   1.35,Int= 3¯Å,PGA(SUM)=  16.64,PGV(SUM)=   1.47
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  35.25,BAZ= 49.27,PGA(V)=   4.17,PGA(NS)=   4.41,PGA(EW)=   4.35,PGV(V)=   0.17,PGV(NS)=   0.22,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   4.50,PGV(SUM)=   0.26
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  40.97,BAZ=181.83,PGA(V)=   0.67,PGA(NS)=   0.97,PGA(EW)=   0.60,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.01,PGV(SUM)=   0.06
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  46.05,BAZ= 18.15,PGA(V)=   2.08,PGA(NS)=   4.45,PGA(EW)=   5.21,PGV(V)=   0.16,PGV(NS)=   0.31,PGV(EW)=   0.39,Int= 2¯Å,PGA(SUM)=   5.47,PGV(SUM)=   0.40
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  49.63,BAZ=183.67,PGA(V)=   0.91,PGA(NS)=   2.75,PGA(EW)=   2.11,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   2.38,PGV(SUM)=   0.07
