Origin Time:2024/05/30 23:52:17
Lon:121.65¢XE
Lat:23.96¢XN
Depth:37.5km
Mag:5.0
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=   3.85,BAZ=110.20,PGA(V)=   5.04,PGA(NS)=  17.63,PGA(EW)=  14.48,PGV(V)=   0.15,PGV(NS)=   0.57,PGV(EW)=   0.52,Int= 3¯Å,PGA(SUM)=  17.14,PGV(SUM)=   0.63
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=   8.16,BAZ= 36.15,PGA(V)=   8.51,PGA(NS)=  15.51,PGA(EW)=  15.21,PGV(V)=   0.34,PGV(NS)=   0.50,PGV(EW)=   0.55,Int= 3¯Å,PGA(SUM)=  16.83,PGV(SUM)=   0.63
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  13.85,BAZ=160.93,PGA(V)=   3.99,PGA(NS)=   3.65,PGA(EW)=   2.99,PGV(V)=   0.11,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   3.61,PGV(SUM)=   0.13
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  15.90,BAZ= 91.16,PGA(V)=   9.44,PGA(NS)=  10.11,PGA(EW)=  11.67,PGV(V)=   0.16,PGV(NS)=   0.31,PGV(EW)=   0.35,Int= 3¯Å,PGA(SUM)=  11.03,PGV(SUM)=   0.39
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  21.33,BAZ= 24.33,PGA(V)=   1.62,PGA(NS)=   1.60,PGA(EW)=   2.40,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.49,PGV(SUM)=   0.11
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  21.84,BAZ=173.02,PGA(V)=   4.51,PGA(NS)=  17.08,PGA(EW)=  12.75,PGV(V)=   0.09,PGV(NS)=   0.45,PGV(EW)=   0.17,Int= 3¯Å,PGA(SUM)=  14.66,PGV(SUM)=   0.48
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  26.94,BAZ= 51.63,PGA(V)=   4.43,PGA(NS)=   9.72,PGA(EW)=   8.50,PGV(V)=   0.09,PGV(NS)=   0.20,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   5.07,PGV(SUM)=   0.22
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  30.09,BAZ= 20.08,PGA(V)=   1.23,PGA(NS)=  10.45,PGA(EW)=   9.77,PGV(V)=   0.03,PGV(NS)=   0.32,PGV(EW)=   0.31,Int= 3¯Å,PGA(SUM)=  10.79,PGV(SUM)=   0.37
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist=  31.91,BAZ=147.79,PGA(V)=  13.88,PGA(NS)=  21.37,PGA(EW)=  19.20,PGV(V)=   0.32,PGV(NS)=   0.60,PGV(EW)=   0.62,Int= 3¯Å,PGA(SUM)=  21.81,PGV(SUM)=   0.77
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  39.63,BAZ= 34.72,PGA(V)=   5.24,PGA(NS)=   4.45,PGA(EW)=   4.25,PGV(V)=   0.09,PGV(NS)=   0.20,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   4.01,PGV(SUM)=   0.20
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  39.66,BAZ=194.91,PGA(V)=   5.18,PGA(NS)=   8.47,PGA(EW)=   6.47,PGV(V)=   0.15,PGV(NS)=   0.25,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   7.71,PGV(SUM)=   0.26
