Origin Time:2024/06/02 09:27:24
Lon:121.59°E
Lat:23.80°N
Depth:7.1km
Mag:4.9
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=   3.32,BAZ= 58.51,PGA(V)=   3.35,PGA(NS)=   5.23,PGA(EW)=   6.77,PGV(V)=   0.12,PGV(NS)=   0.24,PGV(EW)=   0.43,Int= 2級,PGA(SUM)=   5.65,PGV(SUM)=   0.44
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  11.17,BAZ=185.86,PGA(V)=   8.70,PGA(NS)=  16.35,PGA(EW)=  16.81,PGV(V)=   0.57,PGV(NS)=   0.71,PGV(EW)=   1.03,Int= 3級,PGA(SUM)=  18.66,PGV(SUM)=   1.09
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  11.43,BAZ= 22.49,PGA(V)=   2.95,PGA(NS)=  19.30,PGA(EW)=  27.08,PGV(V)=   0.10,PGV(NS)=   0.78,PGV(EW)=   0.89,Int= 4級,PGA(SUM)=  25.86,PGV(SUM)=   0.90
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  15.20,BAZ= 93.69,PGA(V)=   5.45,PGA(NS)=  10.37,PGA(EW)=   9.42,PGV(V)=   0.13,PGV(NS)=   0.20,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   6.17,PGV(SUM)=   0.27
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  19.17,BAZ=187.02,PGA(V)=   4.72,PGA(NS)=  14.02,PGA(EW)=  23.92,PGV(V)=   0.42,PGV(NS)=   1.55,PGV(EW)=   1.68,Int= 3級,PGA(SUM)=  24.52,PGV(SUM)=   1.73
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  20.59,BAZ=151.10,PGA(V)=   4.66,PGA(NS)=   6.45,PGA(EW)=   9.93,PGV(V)=   0.15,PGV(NS)=   0.26,PGV(EW)=   0.32,Int= 3級,PGA(SUM)=   8.18,PGV(SUM)=   0.35
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  22.30,BAZ= 48.18,PGA(V)=   3.13,PGA(NS)=   2.92,PGA(EW)=   3.73,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.42,PGV(SUM)=   0.17
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  30.83,BAZ=182.65,PGA(V)=   1.09,PGA(NS)=   1.51,PGA(EW)=   1.22,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.91,PGV(SUM)=   0.08
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  39.51,BAZ=184.79,PGA(V)=   1.16,PGA(NS)=   4.86,PGA(EW)=   2.90,PGV(V)=   0.05,PGV(NS)=   0.18,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   5.18,PGV(SUM)=   0.18
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  42.50,BAZ= 38.72,PGA(V)=   0.45,PGA(NS)=   0.68,PGA(EW)=   0.90,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.04
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  45.44,BAZ=111.65,PGA(V)=   0.27,PGA(NS)=   2.75,PGA(EW)=   2.07,PGV(V)=   0.14,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   2.60,PGV(SUM)=   0.14
